customer_id,interests,preferred_channel,last_engagement_date
C001,"News, Travel",Email,2025-09-12
C002,"Streaming, Finance",App Notification,2025-09-12
C003,"News, Streaming",Email,2025-09-12
C004,"News, Travel",SMS,2025-09-12
C005,"Travel, Finance",App Notification,2025-09-12
C006,"Streaming, News",Email,2025-09-12
C007,"News, Gaming",Email,2025-09-12
C008,"News, Sports",App Notification,2025-09-12
C009,"Streaming, Sports",App Notification,2025-09-12
C010,"Sports, Travel",WhatsApp,2025-09-12
C011,"Streaming, Sports",Email,2025-09-12
C012,"Travel, News",App Notification,2025-09-12
C013,"Streaming, News",SMS,2025-09-12
C014,"Sports, Finance",SMS,2025-09-12
C015,"Finance, Gaming",App Notification,2025-09-12
C016,"Travel, Finance",SMS,2025-09-12
C017,"Travel, Streaming",WhatsApp,2025-09-12
C018,"Travel, Streaming",WhatsApp,2025-09-12
C019,"Streaming, Sports",App Notification,2025-09-12
C020,"News, Streaming",Email,2025-09-12
C021,"Travel, Gaming",App Notification,2025-09-12
C022,"Sports, Streaming",WhatsApp,2025-09-12
C023,"Streaming, News",SMS,2025-09-12
C024,"Travel, News",App Notification,2025-09-12
C025,"Gaming, Sports",Email,2025-09-12
C026,"Travel, Finance",App Notification,2025-09-12
C027,"Finance, Travel",Email,2025-09-12
C028,"Sports, Streaming",App Notification,2025-09-12
C029,"Gaming, Finance",WhatsApp,2025-09-12
C030,"Sports, Gaming",Email,2025-09-12
C031,"News, Finance",App Notification,2025-09-12
C032,"Travel, Sports",SMS,2025-09-12
C033,"News, Gaming",Email,2025-09-12
C034,"Streaming, Gaming",SMS,2025-09-12
C035,"Sports, Finance",SMS,2025-09-12
C036,"News, Finance",SMS,2025-09-12
C037,"Gaming, Travel",SMS,2025-09-12
C038,"Travel, News",WhatsApp,2025-09-12
C039,"News, Streaming",App Notification,2025-09-12
C040,"Travel, Finance",Email,2025-09-12
C041,"Finance, News",Email,2025-09-12
C042,"News, Gaming",SMS,2025-09-12
C043,"Gaming, Streaming",WhatsApp,2025-09-12
C044,"Streaming, Gaming",SMS,2025-09-12
C045,"News, Gaming",SMS,2025-09-12
C046,"Sports, Travel",Email,2025-09-12
C047,"Gaming, Sports",App Notification,2025-09-12
C048,"Travel, Gaming",App Notification,2025-09-12
C049,"Travel, Sports",WhatsApp,2025-09-12
C050,"News, Gaming",WhatsApp,2025-09-12
C051,"Streaming, Gaming",Email,2025-09-12
C052,"Gaming, Streaming",Email,2025-09-12
C053,"Sports, Travel",SMS,2025-09-12
C054,"News, Sports",App Notification,2025-09-12
C055,"Finance, News",SMS,2025-09-12
C056,"Streaming, Travel",App Notification,2025-09-12
C057,"News, Streaming",Email,2025-09-12
C058,"Sports, Streaming",SMS,2025-09-12
C059,"News, Finance",App Notification,2025-09-12
C060,"Finance, News",SMS,2025-09-12
C061,"Sports, News",WhatsApp,2025-09-12
C062,"Finance, Streaming",SMS,2025-09-12
C063,"Finance, News",WhatsApp,2025-09-12
C064,"Streaming, News",Email,2025-09-12
C065,"Finance, News",App Notification,2025-09-12
C066,"Travel, Finance",WhatsApp,2025-09-12
C067,"Travel, Finance",SMS,2025-09-12
C068,"Streaming, News",SMS,2025-09-12
C069,"Travel, Gaming",Email,2025-09-12
C070,"Travel, Sports",App Notification,2025-09-12
C071,"Finance, Travel",WhatsApp,2025-09-12
C072,"Finance, Streaming",App Notification,2025-09-12
C073,"News, Gaming",SMS,2025-09-12
C074,"Travel, News",Email,2025-09-12
C075,"Sports, Gaming",WhatsApp,2025-09-12
C076,"Streaming, Sports",Email,2025-09-12
C077,"Sports, Streaming",Email,2025-09-12
C078,"Finance, Gaming",WhatsApp,2025-09-12
C079,"Travel, Gaming",Email,2025-09-12
C080,"Finance, Streaming",SMS,2025-09-12
C081,"News, Gaming",Email,2025-09-12
C082,"Streaming, Travel",SMS,2025-09-12
C083,"Finance, News",Email,2025-09-12
C084,"Sports, Travel",WhatsApp,2025-09-12
C085,"News, Sports",WhatsApp,2025-09-12
C086,"Gaming, News",Email,2025-09-12
C087,"News, Finance",Email,2025-09-12
C088,"Gaming, Streaming",SMS,2025-09-12
C089,"Gaming, News",WhatsApp,2025-09-12
C090,"Sports, Finance",SMS,2025-09-12
C091,"Finance, Sports",SMS,2025-09-12
C092,"Finance, Streaming",Email,2025-09-12
C093,"Streaming, Gaming",WhatsApp,2025-09-12
C094,"Streaming, Sports",App Notification,2025-09-12
C095,"News, Streaming",Email,2025-09-12
C096,"Sports, Streaming",WhatsApp,2025-09-12
C097,"News, Travel",WhatsApp,2025-09-12
C098,"Gaming, Finance",SMS,2025-09-12
C099,"Sports, Finance",App Notification,2025-09-12
C100,"Travel, Gaming",WhatsApp,2025-09-12
C101,"Travel, Finance",Email,2025-09-12
C102,"News, Gaming",SMS,2025-09-12
C103,"Sports, Travel",WhatsApp,2025-09-12
C104,"Sports, Travel",WhatsApp,2025-09-12
C105,"Travel, Gaming",SMS,2025-09-12
C106,"Gaming, Streaming",Email,2025-09-12
C107,"Travel, Sports",SMS,2025-09-12
C108,"Travel, Streaming",App Notification,2025-09-12
C109,"Travel, Finance",WhatsApp,2025-09-12
C110,"Gaming, News",WhatsApp,2025-09-12
C111,"News, Gaming",App Notification,2025-09-12
C112,"News, Sports",Email,2025-09-12
C113,"Gaming, News",SMS,2025-09-12
C114,"Travel, News",WhatsApp,2025-09-12
C115,"News, Travel",Email,2025-09-12
C116,"Sports, Gaming",App Notification,2025-09-12
C117,"Travel, Streaming",Email,2025-09-12
C118,"Gaming, Finance",WhatsApp,2025-09-12
C119,"News, Travel",WhatsApp,2025-09-12
C120,"News, Gaming",WhatsApp,2025-09-12
C121,"Travel, Sports",App Notification,2025-09-12
C122,"News, Sports",Email,2025-09-12
C123,"Gaming, Streaming",App Notification,2025-09-12
C124,"Gaming, Finance",Email,2025-09-12
C125,"Streaming, Sports",SMS,2025-09-12
C126,"Finance, Sports",WhatsApp,2025-09-12
C127,"News, Travel",WhatsApp,2025-09-12
C128,"Sports, Gaming",WhatsApp,2025-09-12
C129,"Gaming, Streaming",Email,2025-09-12
C130,"Streaming, Gaming",Email,2025-09-12
C131,"News, Finance",SMS,2025-09-12
C132,"News, Gaming",Email,2025-09-12
C133,"Gaming, Travel",SMS,2025-09-12
C134,"Sports, Gaming",SMS,2025-09-12
C135,"Travel, Finance",Email,2025-09-12
C136,"News, Sports",Email,2025-09-12
C137,"Travel, Sports",Email,2025-09-12
C138,"Gaming, News",WhatsApp,2025-09-12
C139,"Streaming, News",SMS,2025-09-12
C140,"Sports, Gaming",SMS,2025-09-12
C141,"Travel, Sports",SMS,2025-09-12
C142,"Sports, Travel",SMS,2025-09-12
C143,"Gaming, Travel",App Notification,2025-09-12
C144,"News, Finance",App Notification,2025-09-12
C145,"Gaming, Streaming",WhatsApp,2025-09-12
C146,"Finance, Travel",App Notification,2025-09-12
C147,"Streaming, News",WhatsApp,2025-09-12
C148,"Sports, Gaming",WhatsApp,2025-09-12
C149,"News, Streaming",WhatsApp,2025-09-12
C150,"Sports, Finance",Email,2025-09-12
C151,"Sports, News",SMS,2025-09-12
C152,"News, Finance",SMS,2025-09-12
C153,"Travel, Sports",WhatsApp,2025-09-12
C154,"Streaming, Finance",SMS,2025-09-12
C155,"Travel, Finance",WhatsApp,2025-09-12
C156,"Gaming, News",SMS,2025-09-12
C157,"Travel, Sports",WhatsApp,2025-09-12
C158,"Streaming, Sports",WhatsApp,2025-09-12
C159,"Travel, Sports",App Notification,2025-09-12
C160,"Streaming, Finance",Email,2025-09-12
C161,"Sports, Streaming",SMS,2025-09-12
C162,"News, Gaming",Email,2025-09-12
C163,"Sports, Finance",Email,2025-09-12
C164,"Gaming, Travel",SMS,2025-09-12
C165,"Finance, Streaming",SMS,2025-09-12
C166,"Gaming, News",App Notification,2025-09-12
C167,"News, Finance",Email,2025-09-12
C168,"Finance, News",WhatsApp,2025-09-12
C169,"Sports, Finance",Email,2025-09-12
C170,"News, Travel",WhatsApp,2025-09-12
C171,"Finance, Sports",Email,2025-09-12
C172,"News, Sports",Email,2025-09-12
C173,"Streaming, Gaming",App Notification,2025-09-12
C174,"Streaming, Finance",App Notification,2025-09-12
C175,"Sports, Finance",WhatsApp,2025-09-12
