employee_id,department,role,completed_trainings,preferred_learning_mode
E001,Marketing,Intern,7,Interactive
E002,Marketing,Intern,4,Interactive
E003,HR,Intern,2,Text
E004,HR,Intern,10,Video
E005,Operations,Manager,8,Interactive
E006,Marketing,Executive,5,Video
E007,Operations,Intern,7,Interactive
E008,IT,Analyst,10,Video
E009,Finance,Manager,6,Interactive
E010,IT,Executive,4,Video
E011,Operations,Manager,6,Interactive
E012,IT,Manager,8,Text
E013,Operations,Analyst,8,Video
E014,Finance,Analyst,7,Text
E015,IT,Intern,6,Text
E016,HR,Intern,5,Video
E017,Finance,Manager,9,Text
E018,Operations,Analyst,0,Text
E019,Finance,Executive,2,Text
E020,Operations,Executive,9,Text
E021,IT,Intern,2,Text
E022,Marketing,Manager,3,Interactive
E023,HR,Manager,2,Interactive
E024,Marketing,Intern,2,Text
E025,Operations,Analyst,1,Text
E026,Operations,Intern,0,Interactive
E027,Marketing,Executive,7,Video
E028,IT,Intern,5,Interactive
E029,HR,Executive,9,Text
E030,Finance,Manager,5,Video
E031,Marketing,Analyst,0,Interactive
E032,Finance,Manager,8,Text
E033,Marketing,Analyst,9,Interactive
E034,HR,Executive,6,Text
E035,Marketing,Intern,8,Text
E036,Finance,Manager,6,Text
E037,HR,Intern,1,Interactive
E038,HR,Manager,10,Text
E039,HR,Executive,4,Video
E040,Marketing,Intern,5,Video
E041,HR,Analyst,9,Interactive
E042,IT,Analyst,0,Interactive
E043,IT,Analyst,0,Video
E044,HR,Analyst,0,Text
E045,Finance,Intern,8,Interactive
E046,HR,Manager,1,Video
E047,Finance,Intern,5,Video
E048,Operations,Analyst,7,Video
E049,Operations,Analyst,2,Video
E050,Finance,Analyst,3,Interactive
E051,HR,Manager,3,Video
E052,Operations,Executive,2,Video
E053,Marketing,Intern,9,Interactive
E054,Marketing,Manager,9,Video
E055,Finance,Manager,8,Interactive
E056,Operations,Manager,10,Text
E057,HR,Intern,10,Interactive
E058,IT,Executive,8,Text
E059,Finance,Intern,1,Interactive
E060,Marketing,Executive,8,Text
E061,Marketing,Executive,1,Video
E062,HR,Executive,6,Video
E063,HR,Executive,2,Video
E064,Marketing,Analyst,8,Video
E065,HR,Intern,8,Interactive
E066,Finance,Analyst,3,Interactive
E067,Operations,Executive,6,Video
E068,HR,Executive,5,Interactive
E069,Marketing,Manager,3,Video
E070,Marketing,Manager,10,Text
E071,IT,Manager,10,Interactive
E072,HR,Executive,3,Interactive
E073,Operations,Manager,4,Interactive
E074,IT,Manager,1,Text
E075,IT,Intern,0,Video
E076,Operations,Intern,9,Interactive
E077,HR,Manager,4,Text
E078,Marketing,Manager,10,Video
E079,Finance,Manager,0,Video
E080,IT,Intern,4,Text
E081,Finance,Intern,4,Text
E082,Finance,Manager,7,Text
E083,IT,Intern,1,Interactive
E084,Finance,Executive,5,Text
E085,IT,Analyst,0,Video
E086,Finance,Intern,9,Interactive
E087,Finance,Analyst,7,Text
E088,Finance,Executive,3,Interactive
E089,IT,Intern,1,Text
E090,IT,Executive,3,Interactive
E091,HR,Manager,10,Interactive
E092,Marketing,Manager,8,Text
E093,IT,Executive,1,Text
E094,HR,Manager,6,Text
E095,Finance,Manager,1,Text
E096,IT,Executive,9,Text
E097,Marketing,Analyst,3,Video
E098,IT,Executive,10,Interactive
E099,Marketing,Manager,4,Text
E100,Finance,Intern,7,Text
E101,Finance,Intern,10,Video
E102,Marketing,Intern,8,Interactive
E103,HR,Analyst,9,Interactive
E104,IT,Intern,3,Video
E105,HR,Manager,2,Interactive
E106,HR,Manager,0,Video
E107,Finance,Manager,4,Interactive
E108,IT,Manager,2,Text
E109,Finance,Manager,0,Video
E110,Finance,Executive,3,Video
E111,Finance,Manager,3,Interactive
E112,Finance,Manager,2,Text
E113,Marketing,Manager,7,Interactive
E114,Marketing,Executive,10,Video
E115,Marketing,Manager,3,Interactive
E116,HR,Executive,5,Interactive
E117,Operations,Manager,3,Video
E118,Marketing,Intern,10,Interactive
E119,Finance,Executive,1,Interactive
E120,HR,Executive,4,Video
E121,Operations,Manager,4,Text
E122,Finance,Analyst,1,Interactive
E123,Finance,Executive,3,Interactive
E124,Finance,Executive,1,Text
E125,HR,Intern,4,Text
E126,Operations,Manager,10,Video
E127,IT,Manager,7,Text
E128,Marketing,Analyst,9,Text
E129,IT,Manager,2,Video
E130,HR,Manager,7,Text
E131,Marketing,Intern,5,Video
E132,Finance,Manager,8,Text
E133,IT,Analyst,8,Video
E134,IT,Executive,7,Video
E135,IT,Manager,5,Interactive
E136,Finance,Executive,0,Video
E137,IT,Executive,5,Interactive
E138,Finance,Intern,4,Text
E139,IT,Intern,7,Video
E140,HR,Analyst,6,Text
E141,Operations,Executive,3,Interactive
E142,HR,Executive,4,Text
E143,Marketing,Manager,4,Interactive
E144,Operations,Manager,6,Interactive
E145,IT,Analyst,6,Video
E146,Finance,Manager,1,Video
E147,Finance,Analyst,5,Interactive
E148,Marketing,Manager,6,Video
E149,Marketing,Intern,1,Video
E150,Finance,Intern,7,Video
E151,Operations,Analyst,7,Text
E152,IT,Analyst,7,Interactive
E153,Finance,Manager,1,Interactive
E154,Finance,Analyst,3,Text
E155,Operations,Analyst,0,Text
E156,IT,Manager,0,Interactive
E157,Marketing,Analyst,9,Text
E158,IT,Manager,6,Interactive
E159,Marketing,Analyst,10,Video
E160,Operations,Intern,10,Text
E161,IT,Intern,7,Video
E162,Operations,Intern,9,Video
E163,HR,Analyst,2,Text
E164,HR,Analyst,1,Interactive
E165,IT,Analyst,7,Video
E166,IT,Manager,3,Text
E167,Operations,Manager,8,Interactive
E168,IT,Executive,5,Text
E169,IT,Manager,3,Text
E170,HR,Manager,7,Interactive
E171,HR,Executive,3,Text
E172,Finance,Executive,10,Video
E173,IT,Manager,8,Interactive
E174,Operations,Executive,0,Interactive
E175,Operations,Executive,5,Text
E176,Operations,Manager,7,Text
E177,HR,Analyst,1,Video
E178,Finance,Executive,10,Interactive
E179,IT,Executive,8,Video
E180,Operations,Manager,2,Text
E181,HR,Intern,6,Text
E182,Operations,Analyst,10,Text
E183,Finance,Intern,6,Video
E184,Finance,Manager,1,Interactive
E185,Marketing,Analyst,8,Text
E186,HR,Intern,1,Video
E187,Finance,Executive,0,Video
E188,Operations,Manager,10,Text
E189,HR,Analyst,4,Text
E190,HR,Executive,10,Video
E191,Finance,Executive,8,Video
E192,Finance,Manager,5,Interactive
E193,Finance,Analyst,7,Interactive
E194,Finance,Executive,6,Text
E195,Operations,Manager,10,Interactive
E196,IT,Manager,3,Text
E197,HR,Executive,3,Video
E198,Marketing,Intern,8,Text
E199,Operations,Executive,8,Video
E200,Finance,Manager,9,Interactive
E201,Marketing,Analyst,10,Interactive
E202,Operations,Manager,10,Video
E203,IT,Intern,7,Text
E204,Finance,Manager,0,Text
E205,HR,Manager,10,Text
E206,HR,Executive,9,Text
E207,HR,Analyst,2,Text
E208,Operations,Executive,5,Interactive
E209,Marketing,Intern,8,Text
E210,IT,Intern,6,Interactive
E211,Finance,Analyst,5,Video
E212,Marketing,Intern,7,Video
E213,Marketing,Intern,10,Text
E214,Operations,Manager,8,Text
E215,HR,Intern,6,Video
E216,IT,Manager,4,Video
E217,Operations,Manager,8,Text
E218,Marketing,Executive,7,Text
E219,IT,Manager,1,Text
E220,Finance,Analyst,4,Interactive
E221,Finance,Executive,10,Interactive
E222,Operations,Executive,2,Video
E223,Marketing,Manager,2,Text
E224,Marketing,Manager,3,Interactive
E225,Marketing,Analyst,0,Text
E226,Finance,Manager,3,Text
E227,Marketing,Intern,3,Video
E228,Marketing,Manager,10,Text
E229,Finance,Executive,7,Interactive
E230,Operations,Intern,1,Video
E231,Marketing,Executive,5,Video
E232,Finance,Executive,4,Text
E233,HR,Analyst,10,Video
E234,Finance,Manager,9,Interactive
E235,Operations,Analyst,4,Interactive
E236,IT,Executive,3,Text
E237,IT,Analyst,3,Interactive
E238,Finance,Manager,7,Video
E239,IT,Executive,8,Text
E240,Operations,Analyst,1,Interactive
E241,Finance,Executive,0,Video
E242,IT,Manager,2,Video
E243,Finance,Executive,8,Video
E244,HR,Analyst,6,Interactive
E245,Finance,Executive,2,Text
E246,Marketing,Intern,7,Text
E247,Finance,Analyst,4,Text
E248,IT,Executive,8,Text
E249,Marketing,Manager,4,Text
E250,IT,Intern,9,Text
E251,IT,Manager,8,Interactive
E252,HR,Executive,3,Video
