campaign_id,type,target_audience,engagement_rate,date_sent
CM001,Email,"C093, C068, C062, C099, C076",0.3,2025-09-12
CM002,SMS,"C079, C097, C083, C058, C022",0.57,2025-09-12
CM003,SMS,"C043, C085, C059, C021, C068",0.34,2025-09-12
CM004,SMS,"C013, C011, C061, C006, C040",0.35,2025-09-12
CM005,Push Notification,"C011, C003, C092, C012, C083",0.07,2025-09-12
CM006,Email,"C002, C014, C059, C036, C019",0.4,2025-09-12
CM007,Push Notification,"C003, C007, C002, C072, C025",0.49,2025-09-12
CM008,Email,"C067, C094, C041, C097, C048",0.24,2025-09-12
CM009,Email,"C069, C069, C087, C027, C038",0.5,2025-09-12
CM010,Push Notification,"C027, C085, C053, C001, C057",0.13,2025-09-12
CM011,SMS,"C072, C015, C078, C073, C048",0.26,2025-09-12
CM012,Push Notification,"C091, C023, C084, C095, C040",0.66,2025-09-12
CM013,Email,"C070, C024, C005, C015, C010",0.47,2025-09-12
CM014,SMS,"C025, C023, C094, C073, C095",0.48,2025-09-12
CM015,SMS,"C045, C003, C037, C082, C096",0.43,2025-09-12
CM016,Push Notification,"C047, C043, C093, C015, C001",0.28,2025-09-12
CM017,Email,"C045, C026, C014, C094, C084",0.5,2025-09-12
CM018,Email,"C024, C024, C077, C013, C080",0.6,2025-09-12
CM019,Push Notification,"C075, C088, C006, C061, C022",0.3,2025-09-12
CM020,Push Notification,"C051, C070, C061, C099, C048",0.47,2025-09-12
CM021,Email,"C090, C043, C075, C023, C019",0.68,2025-09-12
CM022,SMS,"C021, C011, C051, C018, C066",0.65,2025-09-12
CM023,SMS,"C038, C030, C034, C055, C011",0.36,2025-09-12
CM024,Push Notification,"C095, C006, C007, C063, C047",0.12,2025-09-12
CM025,Push Notification,"C056, C026, C020, C086, C100",0.32,2025-09-12
CM026,SMS,"C088, C078, C022, C048, C089",0.1,2025-09-12
CM027,Email,"C027, C019, C039, C027, C048",0.13,2025-09-12
CM028,Email,"C003, C032, C099, C064, C008",0.42,2025-09-12
CM029,SMS,"C010, C021, C011, C099, C034",0.18,2025-09-12
CM030,SMS,"C093, C090, C038, C070, C092",0.12,2025-09-12
CM031,Email,"C091, C092, C006, C035, C080",0.18,2025-09-12
CM032,Push Notification,"C097, C097, C027, C025, C007",0.48,2025-09-12
CM033,SMS,"C053, C032, C047, C067, C062",0.69,2025-09-12
