asset_id,type,topic,engagement_score
M001,Image,Event,0.16
M002,Video,Event,0.49
M003,Audio,Offer,0.1
M004,Audio,Event,0.22
M005,Image,Event,0.52
M006,Video,Network,0.67
M007,Image,Network,0.21
M008,Image,Customer Service,0.87
M009,Image,Network,0.22
M010,Video,Offer,0.27
M011,Video,Network,0.98
M012,Video,Network,0.49
M013,Audio,Customer Service,0.1
M014,Audio,Offer,0.72
M015,Video,Network,0.45
M016,Video,Customer Service,0.24
M017,Audio,Customer Service,0.44
M018,Image,Event,0.43
M019,Audio,Event,0.07
M020,Audio,Network,0.78
M021,Audio,Offer,0.73
M022,Audio,Network,0.92
M023,Image,Offer,0.15
M024,Audio,Customer Service,0.05
M025,Audio,Network,0.89
M026,Image,Event,0.9
M027,Image,Offer,0.19
M028,Video,Event,0.03
M029,Audio,Event,0.06
M030,Audio,Customer Service,0.67
M031,Image,Offer,0.57
M032,Image,Network,0.51
M033,Video,Event,0.37
M034,Video,Network,0.99
M035,Audio,Network,0.88
M036,Image,Customer Service,0.43
M037,Image,Customer Service,0.37
M038,Image,Customer Service,0.17
M039,Video,Offer,0.71
M040,Image,Customer Service,0.41
M041,Video,Offer,0.29
M042,Video,Offer,0.1
M043,Audio,Customer Service,0.94
M044,Audio,Customer Service,0.52
M045,Video,Network,0.07
M046,Audio,Event,0.07
M047,Image,Offer,0.79
M048,Audio,Offer,0.28
M049,Video,Customer Service,0.14
M050,Video,Event,0.55
M051,Video,Network,0.97
M052,Video,Customer Service,0.47
M053,Video,Event,0.76
M054,Image,Offer,0.34
M055,Image,Network,0.67
M056,Image,Customer Service,0.74
M057,Video,Offer,0.68
M058,Video,Offer,0.57
M059,Video,Network,0.95
M060,Video,Event,0.35
M061,Audio,Network,0.54
M062,Image,Network,0.56
M063,Audio,Network,0.79
M064,Video,Event,0.43
M065,Audio,Customer Service,0.54
M066,Video,Network,0.08
M067,Image,Event,0.11
M068,Audio,Offer,0.15
M069,Image,Network,0.36
M070,Image,Customer Service,0.1
M071,Audio,Event,0.74
M072,Video,Event,0.12
M073,Audio,Offer,0.56
M074,Audio,Network,0.09
M075,Audio,Network,0.39
M076,Image,Offer,0.37
M077,Audio,Network,0.55
M078,Audio,Customer Service,0.12
M079,Audio,Network,0.38
M080,Audio,Network,0.66
M081,Audio,Offer,0.72
M082,Image,Event,0.26
M083,Video,Customer Service,0.32
M084,Audio,Network,0.9
M085,Image,Offer,0.65
M086,Audio,Event,0.78
M087,Image,Event,0.97
M088,Image,Event,0.01
M089,Image,Customer Service,0.7
M090,Audio,Network,0.03
M091,Audio,Customer Service,0.21
M092,Image,Network,0.48
M093,Image,Customer Service,0.24
M094,Video,Network,0.92
M095,Audio,Event,0.22
M096,Image,Offer,0.27
M097,Image,Event,0.68
M098,Image,Offer,0.35
M099,Audio,Customer Service,0.09
M100,Audio,Network,0.95
M101,Video,Customer Service,0.53
M102,Image,Event,0.99
M103,Audio,Network,0.06
M104,Image,Network,0.79
M105,Image,Event,0.65
M106,Audio,Offer,0.89
M107,Audio,Offer,0.17
M108,Video,Event,0.53
M109,Audio,Network,0.03
M110,Video,Event,0.62
M111,Image,Offer,0.59
M112,Image,Network,0.26
M113,Image,Event,0.28
M114,Audio,Event,0.5
M115,Audio,Customer Service,0.06
M116,Image,Offer,0.65
M117,Audio,Event,0.51
M118,Image,Customer Service,0.99
M119,Image,Customer Service,0.04
