survey_id,customer_id,score,comment,date
SV0001,C00432,2,Network issue,2025-08-21
SV0002,C00152,4,Happy with Zain,2025-08-22
SV0003,C00152,5,Happy with Zain,2024-07-14
SV0004,C00431,2,Great service,2023-12-07
SV0005,C00150,2,Network issue,2022-04-08
SV0006,C00039,4,Great service,2023-12-29
SV0007,C00090,2,Happy with Zain,2022-05-18
SV0008,C00126,5,Too expensive,2024-04-18
SV0009,C00149,4,Too expensive,2022-09-24
SV0010,C00133,5,Network issue,2025-01-02
SV0011,C00468,3,Too expensive,2023-11-14
SV0012,C00352,1,Happy with Zain,2024-04-01
SV0013,C00010,5,Too expensive,2020-10-08
SV0014,C00105,4,Network issue,2020-02-04
SV0015,C00002,5,Too expensive,2023-11-06
SV0016,C00495,4,Happy with Zain,2022-11-07
SV0017,C00046,5,Too expensive,2023-07-19
SV0018,C00233,2,Happy with Zain,2020-06-12
SV0019,C00500,2,Too expensive,2024-08-01
SV0020,C00458,1,Too expensive,2023-07-26
SV0021,C00496,3,Network issue,2020-07-14
SV0022,C00026,2,Happy with Zain,2023-01-02
SV0023,C00321,5,Great service,2022-07-30
SV0024,C00381,5,Great service,2025-08-31
SV0025,C00157,2,Great service,2024-11-21
SV0026,C00096,5,Happy with Zain,2020-06-11
SV0027,C00044,4,Happy with Zain,2021-02-11
SV0028,C00161,3,Too expensive,2020-07-25
SV0029,C00179,5,Network issue,2022-04-28
SV0030,C00044,3,Happy with Zain,2020-04-11
SV0031,C00347,3,Happy with Zain,2020-09-20
SV0032,C00348,2,Network issue,2023-04-20
SV0033,C00178,1,Great service,2021-05-30
SV0034,C00087,5,Great service,2020-11-24
SV0035,C00269,5,Happy with Zain,2024-06-19
SV0036,C00323,1,Network issue,2021-05-07
SV0037,C00471,4,Too expensive,2020-07-06
SV0038,C00403,3,Happy with Zain,2023-10-26
SV0039,C00140,2,Network issue,2020-05-03
SV0040,C00323,1,Network issue,2022-03-03
SV0041,C00375,2,Too expensive,2025-09-22
SV0042,C00267,3,Great service,2023-09-20
SV0043,C00265,3,Great service,2021-08-04
SV0044,C00271,1,Great service,2025-06-07
SV0045,C00479,1,Too expensive,2023-01-17
SV0046,C00283,4,Great service,2025-02-19
SV0047,C00458,1,Network issue,2022-11-23
SV0048,C00289,1,Great service,2022-02-10
SV0049,C00144,2,Network issue,2021-01-19
SV0050,C00173,3,Network issue,2023-10-10
SV0051,C00227,4,Happy with Zain,2020-11-28
SV0052,C00500,3,Too expensive,2022-10-15
SV0053,C00283,3,Great service,2024-06-21
SV0054,C00020,1,Network issue,2022-05-26
SV0055,C00200,1,Great service,2024-08-30
SV0056,C00112,2,Happy with Zain,2021-08-14
SV0057,C00355,4,Happy with Zain,2024-03-24
SV0058,C00418,3,Too expensive,2025-05-15
SV0059,C00080,2,Happy with Zain,2023-03-12
SV0060,C00462,1,Happy with Zain,2021-08-21
SV0061,C00384,4,Great service,2021-06-24
SV0062,C00455,3,Network issue,2023-03-23
SV0063,C00100,4,Too expensive,2021-06-12
SV0064,C00039,4,Great service,2022-06-26
SV0065,C00363,2,Network issue,2022-01-05
SV0066,C00363,1,Too expensive,2022-07-25
SV0067,C00044,2,Great service,2020-10-10
SV0068,C00332,3,Network issue,2021-08-20
SV0069,C00190,4,Happy with Zain,2020-12-14
SV0070,C00382,1,Great service,2022-03-11
SV0071,C00455,5,Network issue,2022-03-31
SV0072,C00459,5,Too expensive,2025-03-09
SV0073,C00148,3,Happy with Zain,2022-12-10
SV0074,C00416,4,Happy with Zain,2024-05-31
SV0075,C00206,4,Great service,2020-08-09
SV0076,C00438,5,Too expensive,2024-11-25
SV0077,C00325,1,Network issue,2024-11-27
SV0078,C00461,2,Happy with Zain,2025-07-08
SV0079,C00492,3,Happy with Zain,2025-03-14
SV0080,C00320,2,Great service,2022-06-06
SV0081,C00370,1,Great service,2020-07-29
SV0082,C00268,5,Great service,2023-08-03
SV0083,C00096,4,Great service,2020-06-28
SV0084,C00006,2,Network issue,2022-09-25
SV0085,C00325,3,Network issue,2020-06-29
SV0086,C00324,4,Happy with Zain,2021-11-25
SV0087,C00438,3,Too expensive,2023-06-13
SV0088,C00424,5,Great service,2024-11-21
SV0089,C00207,3,Too expensive,2025-02-04
SV0090,C00188,3,Happy with Zain,2021-11-04
SV0091,C00378,4,Happy with Zain,2023-02-10
SV0092,C00066,4,Great service,2020-10-20
SV0093,C00285,1,Great service,2024-11-22
SV0094,C00427,1,Great service,2023-04-14
SV0095,C00394,1,Too expensive,2020-10-05
SV0096,C00206,1,Network issue,2022-11-02
SV0097,C00459,5,Too expensive,2021-01-27
SV0098,C00225,1,Network issue,2020-07-22
SV0099,C00433,5,Great service,2020-11-19
SV0100,C00226,4,Great service,2021-02-05
SV0101,C00257,3,Great service,2020-05-06
SV0102,C00468,5,Network issue,2021-05-03
SV0103,C00300,5,Great service,2024-07-25
