redemption_id,customer_id,reward_type,date
RW0001,C00016,Event Ticket,2023-05-29
RW0002,C00456,Data Voucher,2024-09-04
RW0003,C00303,Data Voucher,2023-09-27
RW0004,C00243,Discount Coupon,2022-10-20
RW0005,C00355,Event Ticket,2020-01-29
RW0006,C00154,Data Voucher,2021-02-18
RW0007,C00485,Data Voucher,2021-01-04
RW0008,C00170,Discount Coupon,2022-11-24
RW0009,C00120,Data Voucher,2024-08-16
RW0010,C00342,Discount Coupon,2022-11-11
RW0011,C00061,Event Ticket,2021-04-17
RW0012,C00296,Event Ticket,2022-01-27
RW0013,C00203,Event Ticket,2020-08-29
RW0014,C00102,Data Voucher,2021-11-16
RW0015,C00466,Data Voucher,2021-03-10
RW0016,C00249,Discount Coupon,2020-01-27
RW0017,C00189,Event Ticket,2025-07-22
RW0018,C00240,Discount Coupon,2024-01-15
RW0019,C00394,Discount Coupon,2020-05-11
RW0020,C00327,Data Voucher,2024-06-25
RW0021,C00463,Event Ticket,2021-02-22
RW0022,C00015,Event Ticket,2022-06-17
RW0023,C00006,Discount Coupon,2024-05-09
RW0024,C00459,Event Ticket,2024-03-21
RW0025,C00259,Data Voucher,2020-07-13
RW0026,C00082,Event Ticket,2023-10-05
RW0027,C00346,Data Voucher,2025-04-07
RW0028,C00073,Data Voucher,2024-07-17
RW0029,C00347,Discount Coupon,2020-12-29
RW0030,C00444,Event Ticket,2023-02-18
RW0031,C00476,Discount Coupon,2025-07-10
RW0032,C00017,Event Ticket,2021-08-10
RW0033,C00088,Discount Coupon,2020-03-25
RW0034,C00119,Discount Coupon,2021-08-18
RW0035,C00493,Data Voucher,2021-05-19
RW0036,C00329,Event Ticket,2022-05-06
RW0037,C00171,Discount Coupon,2025-07-18
RW0038,C00469,Data Voucher,2024-09-19
RW0039,C00327,Data Voucher,2020-12-14
RW0040,C00048,Data Voucher,2025-09-01
RW0041,C00216,Data Voucher,2023-07-30
RW0042,C00040,Discount Coupon,2024-02-01
RW0043,C00408,Event Ticket,2025-03-23
RW0044,C00465,Data Voucher,2023-05-26
RW0045,C00145,Discount Coupon,2020-12-06
RW0046,C00134,Discount Coupon,2024-03-31
RW0047,C00053,Data Voucher,2023-03-15
RW0048,C00068,Event Ticket,2021-07-20
RW0049,C00395,Event Ticket,2021-06-24
RW0050,C00049,Discount Coupon,2020-06-10
RW0051,C00438,Discount Coupon,2022-11-14
RW0052,C00442,Discount Coupon,2023-06-29
RW0053,C00498,Data Voucher,2024-07-03
RW0054,C00048,Event Ticket,2021-11-17
RW0055,C00346,Discount Coupon,2024-01-04
RW0056,C00376,Discount Coupon,2024-02-17
RW0057,C00475,Event Ticket,2025-01-23
RW0058,C00452,Discount Coupon,2024-01-01
RW0059,C00246,Discount Coupon,2025-06-14
RW0060,C00486,Data Voucher,2024-10-06
RW0061,C00108,Discount Coupon,2023-06-08
RW0062,C00124,Data Voucher,2021-07-04
RW0063,C00069,Discount Coupon,2023-08-04
RW0064,C00188,Data Voucher,2022-02-09
RW0065,C00305,Discount Coupon,2023-05-17
RW0066,C00275,Event Ticket,2024-06-04
RW0067,C00182,Event Ticket,2025-06-30
RW0068,C00106,Data Voucher,2023-11-08
RW0069,C00235,Event Ticket,2023-01-16
RW0070,C00372,Data Voucher,2020-01-14
RW0071,C00034,Discount Coupon,2020-02-02
RW0072,C00234,Discount Coupon,2022-07-21
RW0073,C00272,Discount Coupon,2020-02-20
RW0074,C00337,Discount Coupon,2023-04-27
RW0075,C00470,Discount Coupon,2021-09-26
RW0076,C00248,Data Voucher,2021-05-16
RW0077,C00478,Data Voucher,2023-10-17
RW0078,C00408,Discount Coupon,2020-03-01
RW0079,C00048,Event Ticket,2020-12-22
RW0080,C00120,Discount Coupon,2025-04-29
RW0081,C00327,Data Voucher,2024-12-01
RW0082,C00336,Discount Coupon,2020-07-07
RW0083,C00397,Discount Coupon,2025-02-06
RW0084,C00063,Discount Coupon,2022-06-07
RW0085,C00206,Data Voucher,2020-04-17
RW0086,C00322,Event Ticket,2021-11-16
RW0087,C00061,Event Ticket,2021-11-10
RW0088,C00482,Event Ticket,2021-03-27
RW0089,C00493,Data Voucher,2024-08-22
RW0090,C00424,Data Voucher,2021-01-15
RW0091,C00259,Event Ticket,2024-05-28
RW0092,C00147,Data Voucher,2023-01-23
RW0093,C00239,Data Voucher,2024-09-03
RW0094,C00497,Event Ticket,2025-08-23
RW0095,C00081,Discount Coupon,2022-04-05
RW0096,C00309,Event Ticket,2023-12-29
RW0097,C00434,Data Voucher,2024-03-11
RW0098,C00122,Discount Coupon,2024-07-22
RW0099,C00291,Data Voucher,2023-01-09
RW0100,C00391,Event Ticket,2021-09-17
RW0101,C00160,Event Ticket,2021-07-24
RW0102,C00160,Discount Coupon,2024-03-29
RW0103,C00009,Event Ticket,2020-07-22
RW0104,C00422,Data Voucher,2025-06-26
RW0105,C00393,Discount Coupon,2020-07-15
RW0106,C00389,Discount Coupon,2024-10-19
RW0107,C00129,Data Voucher,2021-08-28
RW0108,C00156,Data Voucher,2022-12-03
RW0109,C00313,Event Ticket,2024-07-23
RW0110,C00335,Discount Coupon,2020-07-29
RW0111,C00179,Data Voucher,2021-07-31
RW0112,C00405,Data Voucher,2020-02-21
RW0113,C00169,Data Voucher,2022-06-30
RW0114,C00441,Discount Coupon,2022-03-15
RW0115,C00161,Event Ticket,2022-03-20
RW0116,C00476,Event Ticket,2022-08-19
RW0117,C00417,Event Ticket,2022-08-21
RW0118,C00029,Event Ticket,2022-07-14
RW0119,C00302,Data Voucher,2023-09-23
RW0120,C00083,Discount Coupon,2024-05-20
RW0121,C00201,Event Ticket,2021-10-22
RW0122,C00442,Data Voucher,2021-08-20
RW0123,C00469,Discount Coupon,2022-12-11
RW0124,C00384,Data Voucher,2023-03-03
RW0125,C00141,Data Voucher,2024-04-04
RW0126,C00076,Event Ticket,2022-03-20
RW0127,C00062,Event Ticket,2025-05-28
RW0128,C00372,Discount Coupon,2022-08-10
RW0129,C00350,Event Ticket,2023-10-09
RW0130,C00391,Event Ticket,2020-07-11
RW0131,C00059,Event Ticket,2021-09-02
RW0132,C00008,Data Voucher,2022-12-18
RW0133,C00014,Event Ticket,2020-02-09
RW0134,C00490,Data Voucher,2024-01-08
RW0135,C00236,Discount Coupon,2023-05-01
RW0136,C00191,Event Ticket,2020-02-26
RW0137,C00038,Event Ticket,2021-11-10
RW0138,C00116,Event Ticket,2023-10-04
RW0139,C00209,Data Voucher,2021-02-16
RW0140,C00187,Data Voucher,2025-09-01
RW0141,C00439,Data Voucher,2025-07-06
RW0142,C00097,Discount Coupon,2024-08-26
RW0143,C00309,Data Voucher,2024-10-31
RW0144,C00457,Data Voucher,2022-08-15
RW0145,C00020,Event Ticket,2021-11-12
RW0146,C00059,Data Voucher,2023-12-30
RW0147,C00107,Data Voucher,2022-08-17
RW0148,C00199,Data Voucher,2020-07-13
RW0149,C00366,Discount Coupon,2023-02-27
RW0150,C00217,Event Ticket,2022-04-02
RW0151,C00421,Discount Coupon,2024-06-02
RW0152,C00475,Event Ticket,2025-09-28
RW0153,C00425,Discount Coupon,2020-06-27
RW0154,C00394,Event Ticket,2022-09-28
RW0155,C00283,Data Voucher,2024-11-11
RW0156,C00133,Event Ticket,2024-08-05
RW0157,C00075,Discount Coupon,2025-07-09
RW0158,C00255,Discount Coupon,2024-10-20
RW0159,C00001,Event Ticket,2023-02-26
RW0160,C00243,Data Voucher,2023-10-29
RW0161,C00460,Discount Coupon,2025-05-08
RW0162,C00375,Discount Coupon,2020-08-21
RW0163,C00120,Data Voucher,2022-12-20
RW0164,C00027,Data Voucher,2024-06-02
RW0165,C00242,Event Ticket,2021-12-10
RW0166,C00440,Data Voucher,2021-10-22
RW0167,C00477,Data Voucher,2021-04-25
RW0168,C00113,Event Ticket,2021-12-21
RW0169,C00097,Event Ticket,2022-07-08
RW0170,C00034,Event Ticket,2023-10-18
RW0171,C00106,Event Ticket,2025-02-03
RW0172,C00107,Data Voucher,2024-01-31
RW0173,C00407,Discount Coupon,2020-01-18
RW0174,C00409,Discount Coupon,2021-06-16
RW0175,C00453,Event Ticket,2023-04-04
RW0176,C00488,Event Ticket,2020-11-06
RW0177,C00389,Event Ticket,2023-08-16
RW0178,C00233,Discount Coupon,2020-11-16
RW0179,C00074,Discount Coupon,2023-03-11
RW0180,C00463,Event Ticket,2021-07-28
RW0181,C00253,Discount Coupon,2023-05-03
RW0182,C00378,Data Voucher,2022-05-17
RW0183,C00016,Event Ticket,2023-02-26
RW0184,C00465,Event Ticket,2025-01-02
RW0185,C00315,Event Ticket,2024-08-21
RW0186,C00341,Event Ticket,2022-07-16
RW0187,C00263,Event Ticket,2022-01-12
RW0188,C00099,Discount Coupon,2022-03-01
RW0189,C00033,Data Voucher,2021-05-06
RW0190,C00335,Event Ticket,2024-12-19
RW0191,C00066,Data Voucher,2025-06-08
RW0192,C00489,Data Voucher,2021-05-25
RW0193,C00493,Data Voucher,2023-12-13
RW0194,C00224,Data Voucher,2023-08-26
RW0195,C00430,Discount Coupon,2020-05-07
RW0196,C00373,Data Voucher,2021-02-07
RW0197,C00130,Data Voucher,2020-09-01
RW0198,C00462,Data Voucher,2023-02-01
RW0199,C00118,Discount Coupon,2024-12-15
RW0200,C00202,Event Ticket,2024-12-03
RW0201,C00456,Event Ticket,2022-06-27
RW0202,C00174,Event Ticket,2020-06-23
RW0203,C00347,Event Ticket,2024-11-23
RW0204,C00022,Data Voucher,2024-03-30
RW0205,C00305,Discount Coupon,2022-06-13
RW0206,C00228,Event Ticket,2020-01-29
RW0207,C00188,Event Ticket,2025-09-02
RW0208,C00013,Data Voucher,2024-08-19
RW0209,C00399,Data Voucher,2022-06-20
RW0210,C00284,Event Ticket,2023-03-20
RW0211,C00468,Discount Coupon,2023-05-10
RW0212,C00153,Data Voucher,2025-01-31
RW0213,C00043,Event Ticket,2022-12-15
RW0214,C00209,Data Voucher,2021-01-06
RW0215,C00296,Data Voucher,2025-08-27
RW0216,C00381,Data Voucher,2024-11-28
RW0217,C00325,Event Ticket,2021-02-10
RW0218,C00331,Data Voucher,2020-10-11
RW0219,C00375,Data Voucher,2024-11-05
RW0220,C00153,Discount Coupon,2022-01-09
RW0221,C00243,Event Ticket,2024-11-22
RW0222,C00327,Data Voucher,2021-07-07
RW0223,C00449,Event Ticket,2021-07-04
RW0224,C00356,Discount Coupon,2020-08-06
RW0225,C00142,Discount Coupon,2023-06-21
RW0226,C00451,Data Voucher,2025-06-28
RW0227,C00126,Discount Coupon,2021-12-17
RW0228,C00407,Data Voucher,2025-07-19
RW0229,C00203,Discount Coupon,2021-02-28
RW0230,C00088,Discount Coupon,2022-03-29
RW0231,C00302,Event Ticket,2021-03-04
RW0232,C00449,Data Voucher,2023-09-25
RW0233,C00461,Discount Coupon,2022-04-08
RW0234,C00124,Discount Coupon,2024-12-06
RW0235,C00001,Discount Coupon,2021-08-17
RW0236,C00481,Data Voucher,2022-04-24
RW0237,C00278,Discount Coupon,2025-01-09
RW0238,C00354,Event Ticket,2023-02-21
RW0239,C00021,Discount Coupon,2024-05-03
RW0240,C00153,Data Voucher,2025-02-12
RW0241,C00347,Data Voucher,2022-07-15
RW0242,C00475,Event Ticket,2020-09-04
RW0243,C00400,Event Ticket,2020-06-10
RW0244,C00175,Event Ticket,2023-05-03
RW0245,C00359,Event Ticket,2025-08-31
RW0246,C00285,Discount Coupon,2020-01-07
RW0247,C00063,Discount Coupon,2020-11-15
RW0248,C00202,Discount Coupon,2023-01-15
RW0249,C00017,Event Ticket,2023-07-26
RW0250,C00195,Event Ticket,2022-01-30
RW0251,C00393,Data Voucher,2024-08-20
RW0252,C00447,Event Ticket,2025-03-18
RW0253,C00500,Event Ticket,2024-10-24
RW0254,C00224,Discount Coupon,2021-07-23
RW0255,C00495,Discount Coupon,2021-01-25
RW0256,C00217,Event Ticket,2025-02-19
RW0257,C00241,Data Voucher,2022-01-15
RW0258,C00224,Event Ticket,2020-04-12
RW0259,C00384,Discount Coupon,2021-09-09
RW0260,C00267,Data Voucher,2025-04-10
RW0261,C00276,Event Ticket,2024-06-06
RW0262,C00239,Discount Coupon,2020-09-26
RW0263,C00205,Discount Coupon,2025-09-29
RW0264,C00101,Data Voucher,2023-12-17
RW0265,C00101,Discount Coupon,2025-09-11
RW0266,C00283,Discount Coupon,2021-06-10
RW0267,C00310,Event Ticket,2025-09-17
RW0268,C00309,Data Voucher,2020-01-06
RW0269,C00241,Event Ticket,2023-08-26
RW0270,C00362,Discount Coupon,2025-01-08
RW0271,C00358,Discount Coupon,2021-04-15
RW0272,C00359,Data Voucher,2022-06-22
RW0273,C00111,Event Ticket,2020-04-19
RW0274,C00231,Event Ticket,2023-01-11
RW0275,C00345,Data Voucher,2024-06-06
RW0276,C00198,Event Ticket,2021-06-28
RW0277,C00338,Discount Coupon,2020-03-22
RW0278,C00039,Discount Coupon,2023-01-23
RW0279,C00070,Event Ticket,2023-02-27
RW0280,C00210,Data Voucher,2023-03-06
RW0281,C00347,Data Voucher,2023-04-08
RW0282,C00335,Data Voucher,2021-07-06
RW0283,C00403,Data Voucher,2024-12-30
RW0284,C00025,Data Voucher,2022-11-16
RW0285,C00436,Discount Coupon,2023-10-03
RW0286,C00115,Data Voucher,2024-07-29
RW0287,C00232,Data Voucher,2024-08-15
RW0288,C00268,Event Ticket,2020-05-15
RW0289,C00440,Event Ticket,2025-08-20
RW0290,C00081,Discount Coupon,2022-06-26
RW0291,C00348,Data Voucher,2025-08-10
RW0292,C00370,Data Voucher,2023-10-18
RW0293,C00428,Discount Coupon,2023-03-30
RW0294,C00255,Event Ticket,2022-03-09
RW0295,C00108,Data Voucher,2020-12-28
RW0296,C00286,Data Voucher,2025-02-11
RW0297,C00136,Event Ticket,2022-05-17
RW0298,C00306,Event Ticket,2023-03-19
RW0299,C00431,Data Voucher,2025-09-04
RW0300,C00461,Data Voucher,2024-06-22
RW0301,C00324,Data Voucher,2023-07-04
RW0302,C00373,Discount Coupon,2020-03-19
RW0303,C00435,Data Voucher,2025-03-13
RW0304,C00167,Discount Coupon,2024-06-20
RW0305,C00155,Event Ticket,2022-12-17
RW0306,C00259,Event Ticket,2022-12-13
RW0307,C00392,Event Ticket,2023-09-13
RW0308,C00243,Discount Coupon,2024-06-01
RW0309,C00175,Event Ticket,2023-08-08
RW0310,C00108,Data Voucher,2021-11-01
RW0311,C00242,Data Voucher,2022-01-23
