event_id,customer_id,event_name,attended,date
EV001,C00002,Music Festival,0,2025-06-24
EV002,C00422,Football Tournament,1,2025-03-23
EV003,C00035,Workshop,0,2022-04-16
EV004,C00158,Football Tournament,0,2024-11-05
EV005,C00145,Football Tournament,1,2021-08-27
EV006,C00294,Workshop,0,2021-08-24
EV007,C00421,Workshop,0,2023-04-12
EV008,C00266,Music Festival,0,2025-09-13
EV009,C00478,Football Tournament,0,2020-02-08
EV010,C00055,Music Festival,1,2020-07-23
EV011,C00039,Hackathon,1,2020-03-14
EV012,C00053,Workshop,1,2023-06-28
EV013,C00183,Music Festival,1,2025-03-29
EV014,C00441,Hackathon,1,2025-02-25
EV015,C00413,Workshop,1,2022-08-30
EV016,C00385,Hackathon,0,2020-12-10
EV017,C00433,Music Festival,0,2024-01-13
EV018,C00041,Football Tournament,1,2024-08-31
EV019,C00085,Music Festival,0,2020-08-24
EV020,C00182,Hackathon,1,2022-10-14
EV021,C00029,Music Festival,0,2020-02-08
EV022,C00059,Music Festival,0,2023-04-20
EV023,C00470,Hackathon,0,2022-02-04
EV024,C00354,Hackathon,0,2025-05-07
EV025,C00239,Workshop,1,2023-08-27
EV026,C00274,Workshop,1,2025-07-10
EV027,C00004,Hackathon,0,2020-07-09
EV028,C00098,Workshop,0,2020-11-05
EV029,C00077,Football Tournament,0,2023-09-24
EV030,C00421,Hackathon,0,2020-07-09
EV031,C00140,Football Tournament,1,2023-02-21
EV032,C00135,Workshop,1,2021-09-26
EV033,C00123,Hackathon,0,2023-11-11
EV034,C00176,Music Festival,1,2024-11-09
EV035,C00260,Football Tournament,0,2020-07-11
EV036,C00076,Music Festival,1,2021-07-03
EV037,C00268,Workshop,0,2025-02-25
EV038,C00198,Music Festival,1,2021-09-04
EV039,C00005,Football Tournament,1,2024-10-25
EV040,C00419,Music Festival,0,2023-07-18
EV041,C00041,Workshop,1,2023-12-03
EV042,C00055,Football Tournament,0,2022-02-21
EV043,C00236,Hackathon,1,2020-12-08
EV044,C00186,Hackathon,1,2023-12-11
EV045,C00271,Music Festival,0,2020-07-19
EV046,C00177,Hackathon,1,2022-07-05
EV047,C00087,Workshop,1,2025-02-18
EV048,C00089,Music Festival,0,2025-03-03
EV049,C00345,Music Festival,1,2020-03-25
EV050,C00035,Hackathon,1,2023-04-13
EV051,C00219,Football Tournament,0,2024-10-17
EV052,C00435,Football Tournament,0,2023-05-11
EV053,C00347,Workshop,1,2020-07-22
EV054,C00234,Hackathon,1,2022-09-01
EV055,C00285,Workshop,1,2025-03-01
EV056,C00271,Music Festival,1,2021-11-27
EV057,C00279,Football Tournament,0,2021-05-07
EV058,C00428,Music Festival,1,2025-03-14
EV059,C00080,Workshop,0,2021-01-05
EV060,C00283,Music Festival,1,2021-01-23
EV061,C00271,Music Festival,1,2024-02-15
EV062,C00329,Workshop,0,2020-08-24
EV063,C00381,Music Festival,1,2023-08-09
EV064,C00323,Workshop,0,2022-04-26
EV065,C00189,Football Tournament,0,2025-08-29
EV066,C00115,Hackathon,1,2020-06-26
EV067,C00279,Football Tournament,0,2022-05-04
EV068,C00082,Music Festival,0,2023-11-02
EV069,C00072,Workshop,1,2023-05-04
EV070,C00358,Music Festival,1,2025-05-25
EV071,C00445,Football Tournament,0,2023-06-03
EV072,C00296,Hackathon,0,2023-05-28
EV073,C00398,Workshop,0,2022-11-03
EV074,C00312,Workshop,0,2025-06-27
EV075,C00026,Music Festival,0,2022-08-07
EV076,C00354,Music Festival,1,2021-05-31
EV077,C00116,Football Tournament,0,2023-03-21
EV078,C00096,Music Festival,0,2024-07-03
EV079,C00479,Workshop,0,2021-04-08
EV080,C00432,Hackathon,0,2023-07-09
EV081,C00408,Football Tournament,0,2022-01-07
EV082,C00380,Music Festival,0,2020-07-30
EV083,C00350,Hackathon,0,2022-06-27
EV084,C00143,Football Tournament,1,2024-08-10
EV085,C00262,Football Tournament,0,2023-01-05
EV086,C00170,Music Festival,0,2024-10-14
EV087,C00229,Hackathon,1,2022-03-09
EV088,C00211,Football Tournament,1,2024-05-13
EV089,C00135,Workshop,0,2025-01-20
EV090,C00341,Football Tournament,1,2022-06-06
EV091,C00069,Hackathon,1,2023-04-10
EV092,C00058,Workshop,0,2024-09-21
EV093,C00090,Workshop,1,2024-01-29
EV094,C00302,Music Festival,1,2023-02-27
EV095,C00222,Music Festival,0,2021-04-29
EV096,C00021,Music Festival,1,2023-10-02
EV097,C00056,Hackathon,1,2022-09-03
EV098,C00396,Football Tournament,1,2020-08-17
EV099,C00378,Football Tournament,1,2023-12-17
EV100,C00258,Music Festival,1,2020-12-17
EV101,C00424,Hackathon,0,2023-02-11
EV102,C00029,Music Festival,0,2025-05-11
EV103,C00011,Football Tournament,1,2023-09-12
EV104,C00407,Hackathon,1,2023-06-15
EV105,C00124,Hackathon,1,2023-05-01
