interaction_id,customer_id,content_id,type,date
IN00001,C00490,M045,Share,2021-11-22
IN00002,C00049,M068,Like,2020-01-14
IN00003,C00011,M077,Click,2022-02-10
IN00004,C00335,M155,Like,2022-03-01
IN00005,C00022,M108,View,2022-08-23
IN00006,C00059,M116,View,2024-12-22
IN00007,C00065,M171,Share,2025-07-06
IN00008,C00136,M119,Share,2022-06-12
IN00009,C00028,M102,Like,2025-03-11
IN00010,C00331,M122,Like,2024-11-18
IN00011,C00493,M179,View,2022-01-24
IN00012,C00169,M094,Click,2024-06-06
IN00013,C00207,M195,Share,2020-12-12
IN00014,C00382,M076,Click,2024-01-19
IN00015,C00064,M072,Click,2024-07-14
IN00016,C00406,M069,Share,2020-07-08
IN00017,C00435,M116,View,2023-12-15
IN00018,C00333,M108,Click,2022-12-17
IN00019,C00285,M171,View,2025-08-23
IN00020,C00392,M122,View,2024-04-23
IN00021,C00177,M045,Click,2022-12-29
IN00022,C00362,M104,Click,2020-01-04
IN00023,C00008,M185,Share,2021-09-22
IN00024,C00467,M099,Click,2025-04-10
IN00025,C00175,M112,Like,2022-10-10
IN00026,C00130,M031,Like,2020-04-02
IN00027,C00404,M171,Like,2022-02-17
IN00028,C00460,M026,Like,2023-12-12
IN00029,C00132,M018,Like,2021-03-14
IN00030,C00173,M006,Share,2023-11-28
IN00031,C00323,M100,Share,2021-08-08
IN00032,C00030,M050,Click,2023-09-08
IN00033,C00401,M019,View,2024-10-07
IN00034,C00060,M118,Click,2021-11-09
IN00035,C00283,M135,Share,2025-08-25
IN00036,C00140,M042,Like,2022-08-02
IN00037,C00227,M146,View,2021-06-28
IN00038,C00303,M152,Like,2021-04-22
IN00039,C00250,M074,Click,2020-03-08
IN00040,C00317,M184,Like,2025-06-10
IN00041,C00304,M116,View,2021-09-01
IN00042,C00045,M048,Like,2020-02-27
IN00043,C00351,M092,View,2023-03-23
IN00044,C00332,M090,Share,2024-03-13
IN00045,C00338,M172,Share,2021-12-07
IN00046,C00140,M082,Like,2024-01-30
IN00047,C00389,M171,View,2021-08-21
IN00048,C00029,M135,Like,2022-10-03
IN00049,C00294,M188,Click,2021-01-16
IN00050,C00390,M154,Like,2023-05-19
IN00051,C00334,M061,Click,2022-08-16
IN00052,C00276,M077,Click,2021-07-02
IN00053,C00217,M047,Like,2025-03-08
IN00054,C00425,M044,Click,2022-12-11
IN00055,C00187,M162,Share,2023-03-06
IN00056,C00190,M145,Share,2023-04-15
IN00057,C00160,M088,View,2023-02-17
IN00058,C00052,M130,Like,2023-02-03
IN00059,C00113,M190,Click,2021-12-10
IN00060,C00281,M180,Click,2024-04-26
IN00061,C00033,M119,View,2023-09-18
IN00062,C00119,M076,View,2020-10-14
IN00063,C00046,M128,Click,2024-09-10
IN00064,C00462,M128,Like,2021-10-14
IN00065,C00294,M141,Like,2025-09-04
IN00066,C00082,M087,Like,2021-07-03
IN00067,C00226,M116,Like,2021-03-24
IN00068,C00079,M135,Like,2020-05-26
IN00069,C00422,M188,View,2025-07-23
IN00070,C00328,M026,Share,2021-10-06
IN00071,C00076,M077,Like,2022-09-23
IN00072,C00196,M188,Click,2023-02-25
IN00073,C00343,M158,Share,2020-02-01
IN00074,C00002,M094,Like,2025-06-15
IN00075,C00246,M057,Share,2021-07-01
IN00076,C00037,M144,View,2024-07-02
IN00077,C00451,M102,View,2021-10-02
IN00078,C00194,M167,Share,2022-01-31
IN00079,C00082,M064,Like,2021-12-21
IN00080,C00164,M074,View,2023-02-22
IN00081,C00416,M128,Share,2022-12-22
IN00082,C00471,M044,Share,2024-06-13
IN00083,C00315,M110,Click,2020-11-21
IN00084,C00394,M011,Like,2022-01-08
IN00085,C00054,M144,View,2025-02-23
IN00086,C00151,M083,Share,2022-06-10
IN00087,C00161,M130,Like,2025-04-27
IN00088,C00310,M188,View,2021-04-23
IN00089,C00190,M161,Share,2021-05-16
IN00090,C00381,M032,Like,2022-11-18
IN00091,C00063,M146,Share,2020-04-06
IN00092,C00431,M029,View,2021-10-26
IN00093,C00348,M120,View,2024-09-28
IN00094,C00076,M143,Like,2022-03-24
IN00095,C00239,M172,View,2023-02-14
IN00096,C00134,M188,View,2021-01-02
IN00097,C00153,M141,Click,2020-01-06
IN00098,C00456,M052,View,2023-08-02
IN00099,C00371,M153,Click,2023-08-04
IN00100,C00363,M186,View,2025-04-15
IN00101,C00105,M174,View,2023-11-22
IN00102,C00153,M063,Click,2023-11-16
IN00103,C00116,M175,Share,2020-11-14
IN00104,C00378,M100,Click,2023-03-29
IN00105,C00016,M117,Click,2023-01-22
IN00106,C00464,M002,Share,2025-01-07
IN00107,C00400,M147,Share,2023-04-19
IN00108,C00192,M066,Like,2024-03-21
IN00109,C00315,M182,Click,2022-03-17
IN00110,C00435,M076,Share,2024-10-16
IN00111,C00025,M091,Click,2023-10-05
IN00112,C00263,M018,View,2022-01-16
IN00113,C00118,M193,View,2022-07-18
