request_id,employee_id,type,date_submitted,status
HR001,E009,Leave,2025-09-12,Approved
HR002,E002,Promotion,2025-09-12,Rejected
HR003,E008,Promotion,2025-09-12,Pending
HR004,E011,Promotion,2025-09-12,Approved
HR005,E020,Promotion,2025-09-12,Pending
HR006,E001,Leave,2025-09-12,Pending
HR007,E001,Onboarding,2025-09-12,Approved
HR008,E017,Onboarding,2025-09-12,Approved
HR009,E014,Promotion,2025-09-12,Pending
HR010,E007,Promotion,2025-09-12,Pending
HR011,E001,Promotion,2025-09-12,Approved
HR012,E013,Leave,2025-09-12,Approved
HR013,E017,Leave,2025-09-12,Pending
HR014,E013,Leave,2025-09-12,Rejected
HR015,E002,Leave,2025-09-12,Approved
HR016,E002,Promotion,2025-09-12,Approved
HR017,E004,Promotion,2025-09-12,Approved
HR018,E009,Leave,2025-09-12,Approved
HR019,E014,Leave,2025-09-12,Rejected
HR020,E008,Promotion,2025-09-12,Rejected
HR021,E020,Onboarding,2025-09-12,Approved
HR022,E016,Leave,2025-09-12,Pending
HR023,E008,Onboarding,2025-09-12,Rejected
HR024,E007,Promotion,2025-09-12,Approved
HR025,E004,Promotion,2025-09-12,Rejected
HR026,E005,Promotion,2025-09-12,Rejected
HR027,E014,Leave,2025-09-12,Rejected
HR028,E018,Onboarding,2025-09-12,Rejected
HR029,E002,Promotion,2025-09-12,Approved
HR030,E016,Leave,2025-09-12,Rejected
HR031,E016,Promotion,2025-09-12,Rejected
HR032,E015,Onboarding,2025-09-12,Rejected
HR033,E001,Leave,2025-09-12,Approved
HR034,E012,Promotion,2025-09-12,Approved
HR035,E012,Leave,2025-09-12,Pending
HR036,E013,Promotion,2025-09-12,Approved
HR037,E013,Leave,2025-09-12,Rejected
HR038,E013,Leave,2025-09-12,Rejected
HR039,E014,Leave,2025-09-12,Rejected
HR040,E001,Onboarding,2025-09-12,Approved
HR041,E007,Promotion,2025-09-12,Approved
HR042,E020,Promotion,2025-09-12,Rejected
HR043,E010,Promotion,2025-09-12,Approved
HR044,E018,Leave,2025-09-12,Rejected
HR045,E009,Promotion,2025-09-12,Rejected
HR046,E006,Promotion,2025-09-12,Rejected
HR047,E011,Promotion,2025-09-12,Rejected
HR048,E001,Leave,2025-09-12,Pending
HR049,E016,Promotion,2025-09-12,Approved
HR050,E020,Promotion,2025-09-12,Approved
HR051,E006,Promotion,2025-09-12,Approved
HR052,E017,Promotion,2025-09-12,Pending
HR053,E017,Onboarding,2025-09-12,Rejected
HR054,E012,Onboarding,2025-09-12,Pending
HR055,E001,Promotion,2025-09-12,Rejected
HR056,E016,Promotion,2025-09-12,Approved
HR057,E005,Onboarding,2025-09-12,Pending
HR058,E019,Promotion,2025-09-12,Approved
HR059,E011,Onboarding,2025-09-12,Pending
HR060,E001,Leave,2025-09-12,Rejected
HR061,E015,Promotion,2025-09-12,Rejected
HR062,E013,Onboarding,2025-09-12,Approved
HR063,E001,Leave,2025-09-12,Approved
HR064,E020,Leave,2025-09-12,Rejected
HR065,E004,Leave,2025-09-12,Rejected
HR066,E003,Onboarding,2025-09-12,Rejected
HR067,E020,Leave,2025-09-12,Pending
HR068,E013,Onboarding,2025-09-12,Approved
HR069,E014,Leave,2025-09-12,Pending
HR070,E015,Promotion,2025-09-12,Rejected
HR071,E008,Promotion,2025-09-12,Rejected
HR072,E014,Onboarding,2025-09-12,Rejected
HR073,E007,Leave,2025-09-12,Rejected
HR074,E006,Leave,2025-09-12,Rejected
HR075,E001,Promotion,2025-09-12,Rejected
HR076,E002,Promotion,2025-09-12,Rejected
HR077,E006,Leave,2025-09-12,Rejected
HR078,E019,Promotion,2025-09-12,Approved
HR079,E001,Promotion,2025-09-12,Approved
HR080,E019,Onboarding,2025-09-12,Approved
HR081,E017,Onboarding,2025-09-12,Rejected
HR082,E007,Leave,2025-09-12,Approved
HR083,E015,Promotion,2025-09-12,Rejected
HR084,E019,Onboarding,2025-09-12,Approved
HR085,E007,Leave,2025-09-12,Rejected
HR086,E014,Leave,2025-09-12,Approved
HR087,E010,Promotion,2025-09-12,Rejected
HR088,E018,Leave,2025-09-12,Rejected
HR089,E004,Leave,2025-09-12,Rejected
HR090,E007,Leave,2025-09-12,Pending
HR091,E011,Promotion,2025-09-12,Rejected
HR092,E014,Leave,2025-09-12,Approved
HR093,E011,Leave,2025-09-12,Approved
HR094,E003,Leave,2025-09-12,Pending
HR095,E012,Onboarding,2025-09-12,Pending
HR096,E004,Promotion,2025-09-12,Approved
HR097,E010,Promotion,2025-09-12,Pending
HR098,E012,Promotion,2025-09-12,Rejected
HR099,E009,Leave,2025-09-12,Approved
HR100,E012,Leave,2025-09-12,Rejected
HR101,E015,Leave,2025-09-12,Approved
HR102,E009,Onboarding,2025-09-12,Rejected
HR103,E015,Promotion,2025-09-12,Pending
HR104,E019,Promotion,2025-09-12,Approved
HR105,E002,Promotion,2025-09-12,Pending
HR106,E020,Onboarding,2025-09-12,Rejected
HR107,E014,Promotion,2025-09-12,Approved
