request_id,department,type,amount,status,date_submitted
F001,IT,Purchase,2781.46,Rejected,2025-09-12
F002,Finance,Invoice,2695.98,Pending,2025-09-12
F003,HR,Purchase,3825.81,Pending,2025-09-12
F004,Finance,Reimbursement,2723.76,Pending,2025-09-12
F005,Marketing,Purchase,1419.49,Rejected,2025-09-12
F006,Finance,Invoice,1056.9,Approved,2025-09-12
F007,HR,Software License,989.17,Rejected,2025-09-12
F008,HR,Invoice,3495.61,Rejected,2025-09-12
F009,Finance,Purchase,3268.43,Pending,2025-09-12
F010,Finance,Software License,3102.01,Rejected,2025-09-12
F011,HR,Reimbursement,292.0,Approved,2025-09-12
F012,Operations,Purchase,2996.37,Pending,2025-09-12
F013,HR,Reimbursement,3049.79,Pending,2025-09-12
F014,Operations,Invoice,2289.75,Rejected,2025-09-12
F015,Marketing,Invoice,1337.41,Approved,2025-09-12
F016,HR,Purchase,4190.58,Pending,2025-09-12
F017,Marketing,Invoice,4818.03,Rejected,2025-09-12
F018,HR,Purchase,4140.58,Approved,2025-09-12
F019,Finance,Reimbursement,1293.91,Approved,2025-09-12
F020,Finance,Software License,1800.73,Approved,2025-09-12
F021,IT,Software License,204.03,Pending,2025-09-12
F022,Operations,Reimbursement,1288.24,Rejected,2025-09-12
F023,Finance,Purchase,3826.57,Rejected,2025-09-12
F024,Finance,Invoice,1161.24,Approved,2025-09-12
F025,Operations,Software License,1820.91,Rejected,2025-09-12
F026,HR,Invoice,2655.32,Rejected,2025-09-12
F027,Operations,Reimbursement,4966.79,Pending,2025-09-12
F028,Operations,Purchase,665.59,Pending,2025-09-12
F029,HR,Invoice,3307.17,Rejected,2025-09-12
F030,Marketing,Reimbursement,144.23,Approved,2025-09-12
F031,Finance,Invoice,3217.36,Approved,2025-09-12
F032,Finance,Invoice,1793.98,Pending,2025-09-12
F033,Operations,Software License,4538.24,Pending,2025-09-12
F034,Marketing,Reimbursement,3891.97,Pending,2025-09-12
F035,Marketing,Software License,4522.44,Approved,2025-09-12
F036,Marketing,Invoice,1406.35,Pending,2025-09-12
F037,Finance,Software License,4262.19,Rejected,2025-09-12
F038,IT,Invoice,2214.98,Approved,2025-09-12
F039,IT,Software License,2543.9,Pending,2025-09-12
F040,IT,Software License,2026.09,Approved,2025-09-12
F041,HR,Invoice,4397.15,Rejected,2025-09-12
F042,Operations,Invoice,3422.72,Pending,2025-09-12
F043,Operations,Invoice,1424.47,Rejected,2025-09-12
F044,HR,Purchase,370.77,Pending,2025-09-12
F045,Operations,Purchase,3074.78,Approved,2025-09-12
F046,IT,Software License,343.04,Rejected,2025-09-12
F047,HR,Purchase,2407.75,Pending,2025-09-12
