ticket_id,employee_id,issue_type,priority,date_opened,status
IT001,E002,VPN Setup,Medium,2025-09-12,Open
IT002,E002,Laptop Issue,Medium,2025-09-12,Pending
IT003,E019,Laptop Issue,High,2025-09-12,Resolved
IT004,E002,Email Issue,Medium,2025-09-12,Resolved
IT005,E003,Laptop Issue,High,2025-09-12,Resolved
IT006,E016,Email Issue,Low,2025-09-12,Resolved
IT007,E003,Software Bug,Medium,2025-09-12,Resolved
IT008,E007,Software Bug,High,2025-09-12,Pending
IT009,E018,Laptop Issue,Low,2025-09-12,Resolved
IT010,E020,Software Bug,High,2025-09-12,Resolved
IT011,E011,Email Issue,High,2025-09-12,Open
IT012,E011,Laptop Issue,Low,2025-09-12,Open
IT013,E013,Email Issue,High,2025-09-12,Resolved
IT014,E008,Software Bug,Low,2025-09-12,Pending
IT015,E009,Software Bug,High,2025-09-12,Resolved
IT016,E015,Email Issue,Low,2025-09-12,Pending
IT017,E006,VPN Setup,Medium,2025-09-12,Pending
IT018,E010,Software Bug,Low,2025-09-12,Pending
IT019,E014,VPN Setup,Low,2025-09-12,Pending
IT020,E005,Software Bug,Low,2025-09-12,Resolved
IT021,E015,Email Issue,Low,2025-09-12,Open
IT022,E002,Software Bug,Medium,2025-09-12,Open
IT023,E015,Software Bug,High,2025-09-12,Resolved
IT024,E015,Email Issue,Medium,2025-09-12,Pending
IT025,E017,Email Issue,Medium,2025-09-12,Open
IT026,E017,Laptop Issue,High,2025-09-12,Resolved
IT027,E005,Email Issue,Medium,2025-09-12,Open
IT028,E018,Software Bug,High,2025-09-12,Resolved
IT029,E011,Email Issue,Low,2025-09-12,Pending
IT030,E019,VPN Setup,Low,2025-09-12,Pending
IT031,E003,Email Issue,Medium,2025-09-12,Pending
IT032,E009,Software Bug,High,2025-09-12,Resolved
IT033,E001,Software Bug,Low,2025-09-12,Open
IT034,E009,Software Bug,Medium,2025-09-12,Pending
IT035,E010,Laptop Issue,Low,2025-09-12,Resolved
IT036,E016,Software Bug,Medium,2025-09-12,Resolved
IT037,E018,Laptop Issue,Low,2025-09-12,Resolved
IT038,E008,VPN Setup,Low,2025-09-12,Open
IT039,E013,VPN Setup,High,2025-09-12,Open
IT040,E009,Email Issue,High,2025-09-12,Pending
IT041,E015,Email Issue,Medium,2025-09-12,Open
IT042,E010,Laptop Issue,Medium,2025-09-12,Resolved
IT043,E003,Software Bug,Low,2025-09-12,Resolved
IT044,E009,Laptop Issue,Medium,2025-09-12,Open
IT045,E016,VPN Setup,Low,2025-09-12,Resolved
IT046,E004,Laptop Issue,Medium,2025-09-12,Open
IT047,E001,Email Issue,High,2025-09-12,Pending
IT048,E006,Email Issue,High,2025-09-12,Open
IT049,E011,VPN Setup,Low,2025-09-12,Pending
IT050,E007,Laptop Issue,High,2025-09-12,Pending
IT051,E018,VPN Setup,Low,2025-09-12,Resolved
IT052,E007,Laptop Issue,Medium,2025-09-12,Resolved
IT053,E007,Laptop Issue,Medium,2025-09-12,Open
IT054,E002,Software Bug,Low,2025-09-12,Pending
IT055,E017,VPN Setup,Medium,2025-09-12,Pending
IT056,E011,VPN Setup,High,2025-09-12,Resolved
IT057,E006,Laptop Issue,Low,2025-09-12,Pending
IT058,E003,Laptop Issue,Medium,2025-09-12,Resolved
IT059,E019,VPN Setup,Medium,2025-09-12,Resolved
IT060,E017,VPN Setup,Medium,2025-09-12,Pending
IT061,E011,VPN Setup,Medium,2025-09-12,Resolved
IT062,E017,Laptop Issue,High,2025-09-12,Pending
IT063,E011,Email Issue,Low,2025-09-12,Open
IT064,E006,VPN Setup,Medium,2025-09-12,Open
IT065,E008,VPN Setup,High,2025-09-12,Pending
IT066,E010,Software Bug,High,2025-09-12,Open
IT067,E006,VPN Setup,High,2025-09-12,Open
IT068,E009,Software Bug,Low,2025-09-12,Pending
IT069,E009,VPN Setup,Medium,2025-09-12,Resolved
IT070,E008,Email Issue,Medium,2025-09-12,Open
IT071,E002,VPN Setup,Low,2025-09-12,Open
IT072,E019,Laptop Issue,Low,2025-09-12,Resolved
IT073,E016,Laptop Issue,Low,2025-09-12,Open
IT074,E004,VPN Setup,Medium,2025-09-12,Open
IT075,E010,Software Bug,Low,2025-09-12,Open
IT076,E002,Laptop Issue,Medium,2025-09-12,Resolved
IT077,E018,Software Bug,High,2025-09-12,Pending
IT078,E010,Email Issue,High,2025-09-12,Open
IT079,E014,Laptop Issue,High,2025-09-12,Open
IT080,E020,Software Bug,Medium,2025-09-12,Pending
IT081,E005,Email Issue,Low,2025-09-12,Open
IT082,E016,VPN Setup,High,2025-09-12,Resolved
IT083,E019,Software Bug,Low,2025-09-12,Open
IT084,E013,Laptop Issue,Medium,2025-09-12,Open
IT085,E019,Email Issue,Medium,2025-09-12,Resolved
IT086,E011,Software Bug,Low,2025-09-12,Open
IT087,E014,Software Bug,Medium,2025-09-12,Pending
IT088,E011,Email Issue,Low,2025-09-12,Open
IT089,E018,VPN Setup,High,2025-09-12,Open
IT090,E004,Software Bug,Medium,2025-09-12,Pending
IT091,E011,Software Bug,Medium,2025-09-12,Resolved
IT092,E009,Laptop Issue,High,2025-09-12,Pending
IT093,E016,VPN Setup,High,2025-09-12,Open
IT094,E013,Email Issue,High,2025-09-12,Pending
IT095,E006,VPN Setup,Low,2025-09-12,Pending
IT096,E017,Email Issue,Low,2025-09-12,Open
IT097,E012,VPN Setup,High,2025-09-12,Pending
IT098,E014,Email Issue,Medium,2025-09-12,Pending
IT099,E018,Email Issue,High,2025-09-12,Pending
IT100,E017,VPN Setup,Medium,2025-09-12,Open
IT101,E017,Laptop Issue,Low,2025-09-12,Pending
IT102,E002,Email Issue,Low,2025-09-12,Pending
IT103,E002,Software Bug,Low,2025-09-12,Open
IT104,E001,VPN Setup,Low,2025-09-12,Resolved
IT105,E004,Software Bug,Low,2025-09-12,Pending
IT106,E018,VPN Setup,Low,2025-09-12,Resolved
IT107,E011,Laptop Issue,Medium,2025-09-12,Resolved
IT108,E002,Software Bug,Low,2025-09-12,Open
IT109,E006,Software Bug,High,2025-09-12,Open
IT110,E012,Email Issue,Medium,2025-09-12,Pending
IT111,E014,Email Issue,Medium,2025-09-12,Resolved
IT112,E012,Laptop Issue,Low,2025-09-12,Pending
IT113,E015,VPN Setup,High,2025-09-12,Open
IT114,E020,Software Bug,High,2025-09-12,Open
IT115,E016,Laptop Issue,Low,2025-09-12,Open
IT116,E010,VPN Setup,Low,2025-09-12,Pending
IT117,E014,Email Issue,High,2025-09-12,Pending
IT118,E016,Laptop Issue,Low,2025-09-12,Open
IT119,E016,Email Issue,High,2025-09-12,Open
IT120,E010,Software Bug,High,2025-09-12,Resolved
IT121,E013,Laptop Issue,Low,2025-09-12,Open
IT122,E018,Email Issue,High,2025-09-12,Open
IT123,E019,Email Issue,High,2025-09-12,Pending
IT124,E008,Laptop Issue,High,2025-09-12,Pending
IT125,E014,Email Issue,Medium,2025-09-12,Pending
IT126,E020,VPN Setup,Low,2025-09-12,Open
IT127,E015,Laptop Issue,High,2025-09-12,Resolved
IT128,E005,Email Issue,Medium,2025-09-12,Open
IT129,E009,Software Bug,Low,2025-09-12,Pending
IT130,E002,Software Bug,Medium,2025-09-12,Pending
IT131,E013,Laptop Issue,Medium,2025-09-12,Open
IT132,E003,Software Bug,Low,2025-09-12,Resolved
IT133,E010,VPN Setup,Low,2025-09-12,Pending
IT134,E002,Email Issue,Medium,2025-09-12,Pending
IT135,E020,Email Issue,Medium,2025-09-12,Resolved
IT136,E014,Software Bug,High,2025-09-12,Pending
IT137,E005,Laptop Issue,Low,2025-09-12,Resolved
IT138,E015,Software Bug,High,2025-09-12,Pending
IT139,E018,Laptop Issue,Low,2025-09-12,Resolved
IT140,E003,Software Bug,Medium,2025-09-12,Pending
IT141,E017,Email Issue,Medium,2025-09-12,Open
IT142,E003,Software Bug,Low,2025-09-12,Open
IT143,E003,Software Bug,High,2025-09-12,Open
