request_id,department,vendor,amount_bhd,status,date
PR0001,HR,VendorC,2839.44,Approved,2021-02-25
PR0002,Finance,VendorC,3439.32,Pending,2024-06-01
PR0003,IT,VendorC,3303.31,Pending,2024-05-18
PR0004,HR,VendorC,2018.14,Pending,2022-10-16
PR0005,IT,VendorA,4415.59,Rejected,2020-01-27
PR0006,Marketing,VendorC,175.86,Pending,2021-06-28
PR0007,Marketing,VendorA,3970.31,Rejected,2021-07-18
PR0008,IT,VendorB,1747.02,Pending,2021-08-30
PR0009,Marketing,VendorB,1569.07,Approved,2022-11-05
PR0010,Finance,VendorA,1322.33,Approved,2020-10-16
PR0011,IT,VendorC,2468.32,Pending,2023-11-24
PR0012,IT,VendorA,690.68,Approved,2020-08-18
PR0013,HR,VendorB,4111.47,Approved,2020-01-18
PR0014,IT,VendorC,1276.83,Rejected,2023-06-05
PR0015,Finance,VendorB,2347.51,Rejected,2021-11-15
PR0016,HR,VendorB,1634.02,Rejected,2023-08-02
PR0017,HR,VendorA,2214.72,Approved,2023-04-26
PR0018,HR,VendorB,4970.71,Approved,2020-09-06
PR0019,HR,VendorC,4572.55,Pending,2021-10-02
PR0020,Finance,VendorA,731.57,Pending,2025-04-20
PR0021,Finance,VendorB,4494.65,Rejected,2025-06-04
PR0022,HR,VendorA,304.22,Approved,2021-09-02
PR0023,Marketing,VendorA,1327.5,Approved,2022-02-21
PR0024,IT,VendorA,3208.04,Rejected,2022-09-20
PR0025,Finance,VendorA,2348.25,Pending,2024-03-04
PR0026,Finance,VendorB,3688.62,Pending,2023-10-06
PR0027,IT,VendorB,4128.11,Approved,2020-01-09
PR0028,Finance,VendorB,878.19,Approved,2020-05-20
PR0029,IT,VendorC,4329.21,Rejected,2025-05-01
PR0030,IT,VendorB,105.2,Approved,2020-12-22
PR0031,Marketing,VendorA,621.12,Approved,2024-01-05
PR0032,HR,VendorA,148.83,Approved,2020-06-17
PR0033,Finance,VendorC,3796.08,Pending,2021-08-09
PR0034,IT,VendorA,1937.54,Rejected,2024-12-27
PR0035,Marketing,VendorA,528.74,Rejected,2022-03-20
PR0036,Finance,VendorA,4352.42,Approved,2022-08-23
PR0037,HR,VendorB,1287.36,Pending,2022-08-24
PR0038,IT,VendorA,1926.42,Approved,2025-04-07
