log_id,timestamp,system,event,severity
LG00001,2021-02-21 18:43:05,Network,Login,Low
LG00002,2023-11-29 02:16:42,CRM,Update,Low
LG00003,2025-07-03 16:42:08,HRMS,Error,Low
LG00004,2025-07-30 12:44:48,Network,Timeout,Low
LG00005,2024-11-19 14:19:57,Billing,Error,High
LG00006,2024-02-22 00:31:59,Billing,Update,Low
LG00007,2025-08-01 22:37:34,HRMS,Timeout,High
LG00008,2023-03-25 02:29:23,Billing,Update,Medium
LG00009,2020-01-21 20:42:18,Billing,Update,Medium
LG00010,2024-09-04 19:40:12,HRMS,Login,Medium
LG00011,2025-06-24 05:25:53,CRM,Update,High
LG00012,2022-11-28 17:38:20,Network,Update,Critical
LG00013,2021-11-14 07:17:36,Network,Login,Critical
LG00014,2023-05-27 11:05:04,CRM,Timeout,Critical
LG00015,2023-12-12 13:06:14,CRM,Login,High
LG00016,2021-06-24 10:14:35,Billing,Timeout,Critical
LG00017,2024-02-11 21:51:23,CRM,Login,Low
LG00018,2021-01-13 06:50:01,Billing,Timeout,High
LG00019,2022-06-10 18:38:18,Billing,Timeout,High
LG00020,2025-09-27 17:45:20,Network,Login,Low
LG00021,2021-10-03 20:56:04,HRMS,Timeout,Medium
LG00022,2025-08-08 19:26:51,Billing,Timeout,Medium
LG00023,2021-02-25 15:33:04,Billing,Timeout,High
LG00024,2020-11-03 02:44:13,HRMS,Login,Low
LG00025,2024-03-15 03:46:55,Billing,Login,Critical
LG00026,2022-08-14 04:20:05,Billing,Update,Critical
LG00027,2020-06-08 23:25:00,HRMS,Timeout,Medium
LG00028,2021-03-11 19:57:16,Billing,Update,Low
LG00029,2023-10-31 20:49:19,Billing,Update,Medium
LG00030,2022-06-29 15:00:34,Billing,Error,Low
LG00031,2020-10-30 20:05:47,CRM,Login,Low
LG00032,2021-07-12 02:21:31,CRM,Error,Critical
LG00033,2020-05-11 04:30:36,CRM,Error,Medium
LG00034,2020-03-30 08:58:53,Billing,Login,Critical
LG00035,2023-11-22 07:38:07,Billing,Error,Medium
LG00036,2021-08-16 15:31:58,CRM,Update,Low
LG00037,2021-02-02 13:50:49,Network,Update,High
LG00038,2022-11-08 21:51:16,Network,Timeout,High
LG00039,2022-05-09 22:37:30,Billing,Error,Low
LG00040,2020-05-26 13:11:39,Billing,Error,Medium
LG00041,2022-09-28 08:58:22,HRMS,Error,Low
LG00042,2020-01-15 01:25:02,HRMS,Error,Medium
LG00043,2020-03-27 04:32:53,HRMS,Login,Critical
LG00044,2021-04-10 13:42:14,CRM,Error,High
LG00045,2021-04-23 07:24:05,Network,Error,Critical
LG00046,2020-08-08 04:25:01,Billing,Update,High
LG00047,2021-04-08 02:00:15,Network,Error,Medium
LG00048,2025-07-03 20:13:27,HRMS,Timeout,Critical
LG00049,2021-02-16 08:21:22,Billing,Timeout,Medium
LG00050,2020-05-21 19:54:14,HRMS,Timeout,Medium
LG00051,2020-07-13 22:21:03,CRM,Timeout,Medium
LG00052,2021-04-04 18:14:14,Network,Login,High
LG00053,2025-08-13 16:35:29,Billing,Login,High
