article_id,title,content,tags
KB001,SIM replacement,This is a guide for HR policy,"['SIM', 'replacement']"
KB002,IT access,This is a guide for IT access,"['IT', 'access']"
KB003,IT access,This is a guide for Billing issue,"['Network', 'troubleshooting']"
KB004,Billing issue,This is a guide for SIM replacement,"['IT', 'access']"
KB005,HR policy,This is a guide for Billing issue,"['IT', 'access']"
KB006,SIM replacement,This is a guide for Network troubleshooting,"['IT', 'access']"
KB007,Billing issue,This is a guide for Network troubleshooting,"['Billing', 'issue']"
KB008,IT access,This is a guide for Network troubleshooting,"['IT', 'access']"
KB009,HR policy,This is a guide for HR policy,"['IT', 'access']"
KB010,SIM replacement,This is a guide for IT access,"['Billing', 'issue']"
KB011,SIM replacement,This is a guide for Network troubleshooting,"['Network', 'troubleshooting']"
KB012,HR policy,This is a guide for SIM replacement,"['SIM', 'replacement']"
KB013,Billing issue,This is a guide for Network troubleshooting,"['SIM', 'replacement']"
KB014,IT access,This is a guide for Network troubleshooting,"['IT', 'access']"
KB015,HR policy,This is a guide for IT access,"['HR', 'policy']"
KB016,Billing issue,This is a guide for IT access,"['HR', 'policy']"
KB017,Billing issue,This is a guide for SIM replacement,"['SIM', 'replacement']"
KB018,IT access,This is a guide for Network troubleshooting,"['Billing', 'issue']"
KB019,HR policy,This is a guide for IT access,"['Billing', 'issue']"
KB020,SIM replacement,This is a guide for Network troubleshooting,"['SIM', 'replacement']"
KB021,SIM replacement,This is a guide for Network troubleshooting,"['Billing', 'issue']"
KB022,HR policy,This is a guide for HR policy,"['IT', 'access']"
KB023,IT access,This is a guide for IT access,"['Billing', 'issue']"
KB024,HR policy,This is a guide for SIM replacement,"['HR', 'policy']"
KB025,Billing issue,This is a guide for IT access,"['SIM', 'replacement']"
KB026,SIM replacement,This is a guide for Network troubleshooting,"['IT', 'access']"
KB027,HR policy,This is a guide for SIM replacement,"['HR', 'policy']"
KB028,SIM replacement,This is a guide for SIM replacement,"['Network', 'troubleshooting']"
KB029,IT access,This is a guide for SIM replacement,"['Billing', 'issue']"
KB030,HR policy,This is a guide for Network troubleshooting,"['Billing', 'issue']"
