customer_id,age,gender,city,plan_type,join_date,churned,last_month_usage_gb,complaints_count
C001,58,M,Manama,Postpaid,2023-11-24,0,11.16,5
C002,24,M,Isa Town,Prepaid,2020-10-27,0,4.68,1
C003,50,M,Muharraq,Postpaid,2022-01-27,0,22.46,2
C004,18,M,Isa Town,Postpaid,2021-10-24,1,7.77,2
C005,24,M,Isa Town,Prepaid,2024-05-19,1,42.37,4
C006,34,M,Isa Town,Prepaid,2024-01-31,1,3.94,2
C007,58,F,Muharraq,Prepaid,2025-02-28,0,33.06,2
C008,23,M,Manama,Postpaid,2021-02-17,1,22.67,2
C009,28,F,Riffa,Prepaid,2022-10-22,1,35.09,5
C010,59,M,Muharraq,Prepaid,2020-11-05,0,23.11,2
C011,58,M,Riffa,Prepaid,2021-10-16,0,41.09,2
C012,43,F,Manama,Prepaid,2023-03-24,1,10.63,3
C013,43,F,Muharraq,Postpaid,2020-10-30,0,12.33,4
C014,52,F,Isa Town,Postpaid,2021-09-10,1,10.97,1
C015,50,F,Manama,Prepaid,2023-12-13,0,7.64,1
C016,61,F,Manama,Postpaid,2023-06-04,1,29.79,3
C017,51,F,Manama,Prepaid,2021-10-19,1,38.43,2
C018,25,F,Isa Town,Prepaid,2023-08-24,1,0.16,5
C019,64,F,Muharraq,Prepaid,2024-09-29,1,42.08,4
C020,56,M,Muharraq,Postpaid,2020-09-23,0,26.97,4
C021,18,F,Isa Town,Prepaid,2024-09-23,0,46.45,2
C022,33,M,Muharraq,Prepaid,2024-03-10,0,36.6,0
C023,52,M,Muharraq,Postpaid,2022-05-26,0,13.25,4
C024,45,M,Muharraq,Postpaid,2021-06-23,1,49.76,5
C025,41,F,Isa Town,Prepaid,2025-06-26,0,11.23,2
C026,19,M,Muharraq,Prepaid,2022-05-19,0,35.39,0
C027,32,M,Manama,Postpaid,2021-02-28,0,25.71,2
C028,60,F,Muharraq,Prepaid,2021-03-07,1,12.15,3
C029,44,M,Manama,Prepaid,2024-12-08,1,17.71,3
C030,47,M,Manama,Prepaid,2023-09-20,1,36.41,0
C031,33,M,Muharraq,Postpaid,2024-09-25,0,21.09,2
C032,47,M,Manama,Postpaid,2024-05-07,0,2.53,4
C033,18,M,Muharraq,Prepaid,2023-05-19,1,24.28,1
C034,43,M,Muharraq,Postpaid,2025-07-25,0,49.27,2
C035,47,F,Isa Town,Postpaid,2022-08-04,0,9.49,1
C036,21,M,Riffa,Prepaid,2023-06-17,0,29.21,4
C037,51,M,Manama,Prepaid,2024-11-05,0,3.43,0
C038,61,M,Isa Town,Prepaid,2023-10-17,0,28.95,0
C039,57,M,Isa Town,Postpaid,2025-01-03,1,10.21,5
C040,38,M,Riffa,Postpaid,2023-08-02,0,33.58,2
C041,47,F,Manama,Prepaid,2024-03-22,1,31.06,4
C042,24,M,Muharraq,Postpaid,2020-12-04,0,46.66,0
C043,33,F,Riffa,Prepaid,2021-11-02,1,41.69,5
C044,37,M,Riffa,Prepaid,2022-02-22,0,13.22,0
C045,65,M,Riffa,Postpaid,2021-02-04,0,35.88,1
C046,61,F,Isa Town,Postpaid,2021-11-11,0,4.61,3
C047,35,M,Manama,Postpaid,2021-03-15,0,31.86,2
C048,28,F,Isa Town,Prepaid,2022-02-01,0,3.76,5
C049,27,M,Riffa,Prepaid,2023-11-17,1,6.37,2
C050,41,M,Riffa,Prepaid,2022-07-10,0,33.35,2
C051,53,F,Muharraq,Prepaid,2022-07-20,0,48.81,1
C052,44,M,Muharraq,Postpaid,2021-09-29,1,40.11,5
C053,33,F,Muharraq,Prepaid,2022-01-12,1,43.61,3
C054,32,M,Isa Town,Postpaid,2025-05-20,1,41.03,1
C055,32,M,Muharraq,Postpaid,2023-12-09,1,13.93,0
C056,35,F,Isa Town,Postpaid,2023-09-29,0,5.77,2
C057,29,F,Manama,Prepaid,2021-07-21,1,17.28,2
C058,45,M,Isa Town,Prepaid,2024-05-06,1,2.22,3
C059,18,M,Riffa,Postpaid,2021-07-07,0,47.44,2
C060,57,F,Manama,Postpaid,2022-08-06,1,33.34,2
C061,43,F,Muharraq,Prepaid,2025-08-24,1,33.25,3
C062,61,M,Riffa,Postpaid,2023-11-25,0,15.19,1
C063,45,F,Isa Town,Postpaid,2023-06-26,1,33.78,4
C064,48,M,Manama,Postpaid,2024-02-14,1,4.67,1
C065,61,F,Muharraq,Prepaid,2024-11-29,0,1.22,1
C066,48,M,Isa Town,Postpaid,2024-07-30,0,35.92,3
C067,49,F,Muharraq,Prepaid,2021-11-04,0,44.63,0
C068,45,M,Muharraq,Postpaid,2020-11-09,0,27.87,0
C069,47,M,Isa Town,Postpaid,2022-04-11,1,30.63,5
C070,50,F,Isa Town,Prepaid,2022-01-14,1,22.5,1
C071,58,F,Isa Town,Prepaid,2021-10-02,1,21.99,5
C072,36,M,Riffa,Postpaid,2025-05-31,1,44.65,0
C073,26,M,Muharraq,Postpaid,2025-01-30,0,35.32,0
C074,44,F,Riffa,Postpaid,2022-04-09,1,3.11,3
C075,42,M,Isa Town,Postpaid,2023-12-23,0,47.14,2
C076,42,F,Muharraq,Postpaid,2022-09-04,0,13.65,3
C077,19,F,Riffa,Postpaid,2025-04-09,0,42.03,1
C078,57,M,Isa Town,Prepaid,2022-12-29,0,32.14,1
C079,47,M,Manama,Postpaid,2022-01-08,1,16.37,3
C080,38,F,Isa Town,Postpaid,2021-12-06,1,12.61,0
C081,48,M,Manama,Postpaid,2023-07-04,0,32.51,5
C082,20,M,Muharraq,Prepaid,2022-01-05,0,31.07,1
C083,26,F,Manama,Prepaid,2023-08-16,1,34.97,2
C084,28,M,Muharraq,Postpaid,2025-03-10,0,28.93,2
C085,54,F,Isa Town,Prepaid,2022-09-11,0,29.6,5
C086,33,M,Riffa,Prepaid,2021-10-17,0,17.36,3
C087,60,F,Manama,Postpaid,2025-09-08,0,42.48,3
C088,24,F,Riffa,Postpaid,2023-03-31,0,21.77,5
C089,51,F,Isa Town,Postpaid,2021-02-25,1,41.29,4
C090,35,F,Muharraq,Prepaid,2020-12-07,1,44.08,1
C091,47,F,Riffa,Prepaid,2021-03-31,1,42.55,1
C092,49,M,Riffa,Postpaid,2023-11-02,1,13.98,4
C093,62,F,Manama,Prepaid,2024-08-29,0,12.07,3
