call_id,customer_id,call_type,duration_min,date
CL001,C009,voice,54.62,2025-08-24
CL002,C018,data,48.46,2025-08-08
CL003,C009,voice,35.47,2025-05-27
CL004,C009,data,8.53,2025-06-19
CL005,C092,voice,29.01,2024-09-24
CL006,C041,SMS,39.67,2025-09-06
CL007,C045,voice,36.61,2025-08-25
CL008,C072,data,13.16,2025-04-18
CL009,C063,SMS,43.06,2025-04-24
CL010,C081,SMS,14.08,2024-10-11
CL011,C021,SMS,45.38,2025-04-01
CL012,C040,voice,26.42,2025-08-24
CL013,C054,SMS,26.84,2024-12-20
CL014,C004,voice,16.1,2024-09-27
CL015,C018,voice,20.75,2024-09-25
CL016,C018,SMS,40.67,2025-03-16
CL017,C087,SMS,14.74,2025-05-08
CL018,C005,SMS,4.81,2025-02-16
CL019,C095,data,24.66,2025-01-01
CL020,C099,data,29.37,2025-07-20
CL021,C056,SMS,29.11,2025-09-02
CL022,C092,data,18.8,2024-09-19
CL023,C056,voice,38.63,2024-10-02
CL024,C050,SMS,59.38,2025-06-22
CL025,C016,voice,5.24,2025-07-05
CL026,C003,SMS,24.41,2025-03-26
CL027,C100,voice,43.59,2025-07-23
CL028,C079,data,51.71,2025-05-19
CL029,C019,data,18.57,2025-06-09
CL030,C016,voice,58.91,2025-04-02
CL031,C046,SMS,0.88,2024-10-01
CL032,C076,voice,5.03,2025-06-19
CL033,C034,data,1.34,2025-05-24
CL034,C071,voice,3.98,2025-02-16
CL035,C055,data,20.65,2025-02-15
CL036,C076,data,22.19,2024-11-01
CL037,C001,voice,38.67,2025-02-19
CL038,C028,data,47.01,2025-08-06
CL039,C056,voice,58.78,2025-09-06
CL040,C061,SMS,1.79,2025-01-24
CL041,C095,data,17.99,2024-11-21
CL042,C020,voice,43.34,2025-02-18
CL043,C002,voice,29.16,2024-10-03
CL044,C036,SMS,56.68,2024-12-05
CL045,C024,SMS,51.52,2025-04-15
CL046,C049,data,31.24,2024-12-04
CL047,C058,SMS,35.9,2025-06-12
CL048,C034,data,21.71,2025-08-03
CL049,C062,data,3.74,2025-06-29
CL050,C019,voice,45.24,2025-04-07
CL051,C061,data,47.65,2025-09-09
CL052,C006,data,20.03,2024-09-17
CL053,C040,voice,44.59,2025-06-02
CL054,C053,SMS,56.54,2025-07-06
CL055,C014,SMS,31.72,2024-10-10
CL056,C064,data,19.43,2024-10-28
CL057,C017,SMS,43.66,2024-11-17
CL058,C082,data,29.98,2024-09-28
CL059,C035,voice,19.31,2025-01-17
CL060,C084,data,22.5,2025-05-09
CL061,C003,SMS,20.25,2024-12-10
CL062,C054,SMS,18.72,2024-12-28
CL063,C049,data,15.23,2025-04-21
CL064,C100,data,11.37,2025-03-06
CL065,C039,data,47.97,2024-10-26
CL066,C073,SMS,18.98,2024-10-10
CL067,C036,data,53.51,2024-12-12
CL068,C037,voice,24.33,2025-03-29
CL069,C038,data,19.74,2025-03-12
CL070,C076,voice,42.88,2025-06-08
CL071,C055,voice,3.5,2025-01-20
CL072,C023,data,8.71,2025-08-12
CL073,C055,data,58.73,2024-12-01
CL074,C043,data,25.61,2025-05-31
CL075,C077,data,9.83,2025-08-22
CL076,C049,voice,18.49,2025-06-24
CL077,C036,data,43.86,2024-12-28
CL078,C013,SMS,47.37,2025-05-09
CL079,C085,voice,51.02,2025-03-23
CL080,C067,data,44.33,2024-12-18
CL081,C069,data,42.44,2025-05-25
CL082,C050,SMS,57.72,2025-03-15
CL083,C084,data,23.23,2024-10-01
CL084,C039,SMS,36.97,2025-08-07
CL085,C085,voice,41.67,2025-05-28
CL086,C075,voice,49.18,2025-04-27
CL087,C049,data,28.13,2024-12-23
CL088,C047,SMS,16.88,2024-11-25
CL089,C012,voice,54.46,2024-11-01
CL090,C092,data,28.67,2025-09-04
CL091,C063,voice,40.86,2024-12-05
CL092,C035,SMS,55.65,2025-06-10
CL093,C010,data,23.53,2024-11-28
CL094,C038,data,4.28,2025-01-26
CL095,C078,voice,15.61,2025-07-07
CL096,C070,voice,30.7,2024-11-02
CL097,C053,voice,42.93,2025-09-04
CL098,C067,data,14.27,2025-05-25
CL099,C094,data,19.99,2025-05-07
CL100,C062,voice,17.26,2025-02-25
CL101,C060,voice,35.41,2024-10-23
CL102,C011,data,5.45,2025-03-13
CL103,C024,data,4.3,2024-09-24
CL104,C043,data,35.18,2024-12-22
CL105,C043,voice,57.01,2025-01-30
CL106,C028,data,8.52,2025-07-11
CL107,C037,voice,10.29,2024-10-12
CL108,C055,SMS,24.49,2024-12-23
CL109,C023,data,3.2,2025-04-23
CL110,C072,SMS,23.83,2025-03-12
CL111,C098,voice,50.63,2025-07-24
CL112,C097,data,0.71,2025-01-30
CL113,C020,data,33.11,2024-09-28
CL114,C039,voice,4.66,2024-11-26
CL115,C010,data,7.58,2024-11-18
CL116,C017,voice,5.85,2025-02-16
CL117,C005,voice,47.01,2024-10-01
CL118,C012,SMS,22.48,2025-01-01
CL119,C033,data,9.5,2025-03-29
CL120,C089,SMS,40.4,2025-01-17
CL121,C012,data,16.74,2024-09-21
CL122,C007,SMS,55.09,2025-04-22
CL123,C018,data,32.4,2025-08-04
CL124,C053,SMS,44.0,2025-08-15
CL125,C065,data,1.77,2025-08-10
CL126,C080,voice,42.62,2025-07-05
CL127,C033,data,41.76,2025-04-16
CL128,C020,SMS,2.15,2025-06-16
CL129,C091,voice,58.19,2025-01-14
CL130,C095,data,57.54,2025-07-12
CL131,C038,data,44.5,2025-02-17
CL132,C036,voice,52.07,2025-02-15
CL133,C063,voice,49.0,2025-06-05
CL134,C072,voice,6.78,2025-06-08
CL135,C022,voice,5.12,2024-10-02
