usage_id,customer_id,date,data_used_gb,app_category
U001,C006,2025-07-31,2.96,Social Media
U002,C003,2025-03-13,5.64,Education
U003,C097,2025-01-14,5.61,Streaming
U004,C084,2024-12-14,1.51,Streaming
U005,C019,2025-02-18,8.26,Education
U006,C082,2024-10-10,6.35,Social Media
U007,C002,2025-05-27,4.1,Gaming
U008,C050,2024-09-22,3.08,Gaming
U009,C041,2025-07-13,7.71,Education
U010,C009,2025-03-23,6.01,Streaming
U011,C031,2024-11-04,5.68,Social Media
U012,C098,2024-11-17,1.54,Streaming
U013,C085,2024-11-27,7.79,Streaming
U014,C056,2025-02-06,1.1,Work
U015,C031,2025-07-15,2.52,Work
U016,C006,2025-02-25,3.74,Education
U017,C099,2024-11-26,8.39,Gaming
U018,C033,2024-10-03,3.24,Gaming
U019,C079,2024-11-15,6.57,Gaming
U020,C038,2025-08-23,7.22,Social Media
U021,C029,2024-11-04,1.69,Work
U022,C012,2024-10-19,3.63,Gaming
U023,C060,2025-06-17,6.0,Streaming
U024,C078,2025-07-14,6.99,Gaming
U025,C084,2025-07-12,9.82,Education
U026,C017,2025-05-08,5.51,Social Media
U027,C093,2025-03-10,3.29,Social Media
U028,C100,2025-04-22,3.25,Gaming
U029,C061,2025-09-01,8.13,Streaming
U030,C049,2024-10-21,8.94,Streaming
U031,C012,2024-11-11,5.76,Streaming
U032,C052,2025-06-24,3.85,Streaming
U033,C086,2024-11-08,0.11,Gaming
U034,C035,2025-08-01,4.12,Streaming
U035,C066,2025-01-26,0.21,Gaming
U036,C031,2024-12-26,5.8,Social Media
U037,C027,2025-07-15,8.76,Streaming
U038,C021,2025-02-06,3.76,Gaming
U039,C055,2025-04-02,7.63,Social Media
U040,C007,2024-09-23,1.11,Social Media
U041,C038,2024-11-15,6.86,Gaming
U042,C062,2024-10-19,5.63,Streaming
U043,C055,2025-02-14,9.69,Streaming
U044,C060,2025-04-11,2.68,Streaming
U045,C087,2024-11-26,4.09,Streaming
U046,C028,2025-07-22,1.55,Education
U047,C085,2024-11-16,5.6,Social Media
U048,C072,2024-09-22,7.42,Education
U049,C009,2024-11-16,5.1,Work
U050,C026,2025-02-10,3.58,Education
U051,C100,2025-08-29,9.87,Streaming
U052,C034,2025-04-08,4.44,Gaming
U053,C094,2025-04-01,2.0,Streaming
U054,C033,2024-10-17,8.07,Social Media
U055,C017,2025-09-05,6.42,Gaming
U056,C008,2024-12-18,6.24,Social Media
U057,C092,2025-05-18,2.89,Education
U058,C091,2024-12-19,7.9,Social Media
U059,C034,2025-07-12,1.01,Work
U060,C014,2024-10-04,0.33,Social Media
U061,C078,2025-03-30,1.0,Gaming
U062,C037,2025-07-26,0.64,Streaming
U063,C099,2025-02-23,2.79,Education
U064,C094,2025-08-01,0.7,Gaming
U065,C023,2025-06-16,0.21,Education
U066,C071,2025-08-15,7.23,Streaming
U067,C027,2025-07-04,6.71,Social Media
U068,C087,2024-10-11,0.72,Streaming
U069,C056,2025-08-16,5.18,Education
U070,C060,2025-02-22,8.74,Social Media
U071,C059,2025-06-23,1.98,Gaming
U072,C073,2025-08-03,3.39,Education
U073,C085,2025-05-20,1.23,Social Media
U074,C032,2025-08-22,8.93,Work
U075,C012,2024-12-27,9.47,Social Media
U076,C100,2024-11-23,7.61,Gaming
U077,C006,2024-11-18,8.63,Work
U078,C040,2025-07-14,4.5,Gaming
U079,C049,2024-11-18,7.45,Work
U080,C013,2025-08-13,2.02,Work
U081,C010,2025-01-27,0.89,Work
U082,C051,2024-12-02,7.65,Gaming
U083,C059,2024-10-23,2.34,Social Media
U084,C081,2025-07-04,2.48,Social Media
U085,C087,2024-11-09,5.3,Social Media
U086,C052,2024-12-22,1.04,Education
U087,C083,2025-02-21,7.49,Gaming
U088,C056,2025-09-05,7.71,Social Media
U089,C007,2025-08-13,5.18,Social Media
U090,C065,2024-09-13,2.96,Gaming
U091,C001,2024-12-02,2.12,Streaming
U092,C004,2025-04-05,7.53,Work
U093,C063,2025-06-10,7.5,Work
U094,C095,2025-06-15,1.0,Work
U095,C070,2025-01-08,2.75,Streaming
U096,C087,2024-10-04,2.51,Gaming
U097,C057,2025-07-31,4.1,Gaming
U098,C098,2025-04-25,4.1,Education
U099,C070,2025-04-24,2.37,Education
U100,C054,2025-09-08,6.59,Streaming
U101,C088,2025-01-08,0.38,Education
U102,C071,2025-05-25,3.03,Gaming
U103,C089,2024-12-01,9.75,Social Media
U104,C089,2025-04-21,1.7,Streaming
U105,C072,2024-10-28,2.75,Social Media
U106,C020,2025-05-26,7.78,Education
U107,C048,2025-09-09,2.8,Social Media
U108,C030,2025-03-11,8.18,Social Media
U109,C031,2025-03-28,3.8,Education
U110,C040,2024-10-13,4.56,Streaming
U111,C074,2025-08-05,0.28,Work
U112,C058,2024-10-25,1.93,Streaming
U113,C042,2025-01-31,1.77,Gaming
U114,C033,2025-01-17,1.9,Streaming
U115,C031,2024-09-29,6.7,Social Media
U116,C084,2025-09-03,0.96,Streaming
U117,C058,2025-04-06,8.97,Streaming
U118,C036,2025-02-16,1.48,Work
U119,C056,2024-10-27,7.27,Education
U120,C059,2025-02-16,8.69,Work
U121,C007,2025-02-12,8.68,Education
U122,C079,2025-02-03,6.73,Gaming
U123,C047,2025-01-11,1.74,Streaming
U124,C004,2024-11-13,3.35,Work
U125,C099,2025-07-24,6.03,Education
U126,C036,2025-04-02,6.73,Gaming
U127,C041,2025-01-01,3.11,Work
U128,C093,2025-09-04,2.27,Gaming
U129,C067,2025-04-15,1.19,Streaming
U130,C093,2024-12-17,6.33,Social Media
U131,C065,2025-06-13,9.52,Education
U132,C030,2025-04-14,1.86,Education
U133,C016,2024-09-20,3.63,Gaming
U134,C059,2025-06-03,1.86,Work
U135,C055,2025-03-16,6.69,Education
U136,C062,2025-03-30,7.8,Education
U137,C071,2024-12-31,8.11,Work
U138,C005,2024-09-13,3.48,Social Media
U139,C092,2025-06-12,1.44,Work
U140,C073,2025-09-10,8.13,Streaming
U141,C065,2025-06-14,5.54,Gaming
U142,C055,2025-07-18,2.07,Education
U143,C086,2024-09-19,3.52,Education
U144,C028,2024-09-28,1.53,Social Media
U145,C080,2024-09-15,5.61,Gaming
U146,C050,2025-05-31,3.29,Work
U147,C050,2024-10-19,5.5,Social Media
U148,C064,2025-08-29,5.37,Education
U149,C082,2025-07-18,9.95,Work
U150,C065,2025-04-17,9.43,Education
U151,C092,2024-11-11,7.81,Education
U152,C048,2025-06-21,0.91,Gaming
U153,C081,2025-08-08,1.1,Work
U154,C043,2025-06-23,8.1,Education
U155,C010,2025-08-23,4.15,Education
U156,C015,2025-07-31,7.68,Streaming
U157,C098,2024-12-08,2.03,Gaming
U158,C090,2024-09-23,0.35,Social Media
U159,C043,2024-12-15,2.54,Gaming
U160,C067,2025-04-09,1.09,Work
