ticket_id,customer_id,issue_category,priority,date_opened,status
T001,C079,Network,Medium,2025-09-12,Pending
T002,C021,Service,High,2025-09-12,Pending
T003,C065,Technical,High,2025-09-12,Pending
T004,C087,Billing,Low,2025-09-12,Resolved
T005,C001,Technical,Low,2025-09-12,Pending
T006,C090,Technical,High,2025-09-12,Pending
T007,C001,Technical,Low,2025-09-12,Open
T008,C089,Billing,Medium,2025-09-12,Resolved
T009,C063,Billing,Medium,2025-09-12,Pending
T010,C050,Technical,Low,2025-09-12,Open
T011,C061,Billing,High,2025-09-12,Resolved
T012,C053,Billing,Medium,2025-09-12,Open
T013,C020,Technical,High,2025-09-12,Pending
T014,C057,Technical,Medium,2025-09-12,Pending
T015,C088,Service,High,2025-09-12,Open
T016,C088,Network,Medium,2025-09-12,Pending
T017,C007,Service,Medium,2025-09-12,Open
T018,C024,Service,Medium,2025-09-12,Pending
T019,C087,Service,Medium,2025-09-12,Resolved
T020,C003,Network,High,2025-09-12,Pending
T021,C060,Service,High,2025-09-12,Pending
T022,C001,Billing,Low,2025-09-12,Resolved
T023,C040,Technical,Medium,2025-09-12,Open
T024,C081,Network,Low,2025-09-12,Pending
T025,C015,Network,Medium,2025-09-12,Pending
T026,C050,Service,Low,2025-09-12,Pending
T027,C039,Billing,Low,2025-09-12,Pending
T028,C067,Service,High,2025-09-12,Pending
T029,C039,Service,High,2025-09-12,Open
T030,C078,Network,High,2025-09-12,Resolved
T031,C075,Technical,Low,2025-09-12,Open
T032,C072,Service,Medium,2025-09-12,Open
T033,C056,Technical,High,2025-09-12,Open
T034,C050,Network,High,2025-09-12,Resolved
T035,C027,Service,Low,2025-09-12,Resolved
T036,C030,Service,Low,2025-09-12,Open
T037,C036,Technical,High,2025-09-12,Pending
T038,C019,Service,Medium,2025-09-12,Resolved
T039,C082,Billing,High,2025-09-12,Open
T040,C100,Billing,Low,2025-09-12,Open
T041,C069,Billing,Medium,2025-09-12,Resolved
T042,C068,Billing,Low,2025-09-12,Pending
T043,C048,Network,Medium,2025-09-12,Resolved
T044,C015,Technical,Medium,2025-09-12,Resolved
T045,C038,Service,High,2025-09-12,Open
T046,C022,Service,Low,2025-09-12,Resolved
T047,C007,Technical,High,2025-09-12,Open
T048,C068,Billing,Medium,2025-09-12,Resolved
T049,C016,Technical,High,2025-09-12,Pending
T050,C051,Billing,Medium,2025-09-12,Resolved
T051,C029,Service,Medium,2025-09-12,Open
T052,C096,Service,High,2025-09-12,Resolved
T053,C004,Technical,Low,2025-09-12,Resolved
T054,C031,Technical,High,2025-09-12,Open
T055,C090,Network,Low,2025-09-12,Resolved
T056,C081,Billing,Medium,2025-09-12,Pending
T057,C021,Billing,High,2025-09-12,Open
T058,C007,Service,High,2025-09-12,Open
T059,C052,Technical,Medium,2025-09-12,Pending
T060,C086,Network,Medium,2025-09-12,Pending
T061,C093,Technical,Medium,2025-09-12,Resolved
T062,C027,Service,High,2025-09-12,Pending
T063,C002,Billing,Low,2025-09-12,Resolved
T064,C097,Technical,Medium,2025-09-12,Pending
T065,C038,Billing,Medium,2025-09-12,Pending
T066,C076,Technical,Medium,2025-09-12,Resolved
T067,C059,Billing,Medium,2025-09-12,Resolved
T068,C059,Service,High,2025-09-12,Pending
T069,C086,Technical,Medium,2025-09-12,Resolved
T070,C087,Technical,Medium,2025-09-12,Pending
T071,C014,Service,High,2025-09-12,Open
T072,C051,Technical,Low,2025-09-12,Resolved
T073,C032,Network,Low,2025-09-12,Open
T074,C037,Billing,High,2025-09-12,Pending
T075,C024,Billing,High,2025-09-12,Open
T076,C038,Service,High,2025-09-12,Pending
T077,C078,Technical,Medium,2025-09-12,Pending
T078,C068,Technical,Low,2025-09-12,Open
T079,C066,Service,Low,2025-09-12,Open
T080,C003,Network,Medium,2025-09-12,Resolved
T081,C040,Billing,High,2025-09-12,Pending
T082,C064,Network,Low,2025-09-12,Pending
T083,C043,Service,High,2025-09-12,Pending
T084,C072,Service,High,2025-09-12,Resolved
T085,C083,Service,Low,2025-09-12,Pending
T086,C050,Service,Low,2025-09-12,Resolved
T087,C072,Service,Low,2025-09-12,Pending
T088,C073,Service,Medium,2025-09-12,Open
T089,C098,Service,High,2025-09-12,Open
T090,C060,Network,Low,2025-09-12,Open
T091,C026,Service,Low,2025-09-12,Open
T092,C071,Billing,High,2025-09-12,Resolved
T093,C013,Network,Low,2025-09-12,Open
T094,C002,Service,Medium,2025-09-12,Pending
T095,C022,Technical,High,2025-09-12,Pending
T096,C055,Network,Low,2025-09-12,Open
T097,C017,Billing,Low,2025-09-12,Pending
T098,C020,Service,Low,2025-09-12,Open
T099,C044,Billing,Medium,2025-09-12,Resolved
T100,C078,Technical,High,2025-09-12,Resolved
T101,C027,Technical,Medium,2025-09-12,Open
T102,C001,Technical,Medium,2025-09-12,Pending
T103,C098,Network,Medium,2025-09-12,Open
T104,C019,Technical,Medium,2025-09-12,Pending
T105,C012,Network,High,2025-09-12,Resolved
T106,C030,Service,Low,2025-09-12,Resolved
T107,C084,Billing,High,2025-09-12,Resolved
T108,C089,Billing,Medium,2025-09-12,Resolved
T109,C053,Service,High,2025-09-12,Pending
