post_id,platform,sentiment,topic,date
S001,Instagram,Positive,Event,2024-12-31
S002,Facebook,Negative,Network,2025-06-18
S003,Facebook,Neutral,Customer Service,2025-01-13
S004,Twitter,Positive,Customer Service,2025-02-17
S005,Instagram,Neutral,Offer,2025-01-08
S006,Twitter,Negative,Network,2024-09-19
S007,Instagram,Neutral,Event,2025-06-14
S008,Instagram,Neutral,Network,2025-06-04
S009,Facebook,Positive,Offer,2024-12-09
S010,Twitter,Negative,Customer Service,2024-10-01
S011,Instagram,Negative,Customer Service,2025-06-25
S012,Twitter,Negative,Network,2025-08-04
S013,Twitter,Neutral,Event,2025-02-14
S014,Facebook,Positive,Offer,2025-05-27
S015,Twitter,Positive,Event,2024-10-24
S016,Instagram,Positive,Event,2025-05-27
S017,Facebook,Negative,Customer Service,2025-05-02
S018,Twitter,Negative,Customer Service,2025-07-25
S019,Instagram,Neutral,Event,2025-07-15
S020,Facebook,Positive,Customer Service,2025-07-15
S021,Twitter,Positive,Network,2025-08-25
S022,Facebook,Negative,Offer,2025-01-12
S023,Instagram,Negative,Network,2025-07-20
S024,Twitter,Negative,Event,2025-08-06
S025,Instagram,Negative,Offer,2024-12-01
S026,Instagram,Neutral,Customer Service,2025-07-14
S027,Instagram,Neutral,Network,2024-09-16
S028,Twitter,Negative,Customer Service,2024-11-25
S029,Instagram,Positive,Network,2025-07-29
S030,Instagram,Positive,Event,2024-12-29
S031,Twitter,Neutral,Network,2025-03-29
S032,Facebook,Positive,Offer,2024-09-12
S033,Instagram,Negative,Customer Service,2025-03-10
S034,Facebook,Negative,Network,2025-03-24
S035,Instagram,Negative,Network,2025-05-02
S036,Facebook,Positive,Network,2025-07-13
S037,Instagram,Positive,Customer Service,2024-11-05
S038,Twitter,Negative,Event,2024-11-25
S039,Twitter,Positive,Customer Service,2025-08-20
S040,Instagram,Negative,Offer,2025-07-02
S041,Facebook,Neutral,Network,2025-01-28
S042,Facebook,Positive,Offer,2025-01-18
S043,Twitter,Positive,Event,2024-10-02
S044,Twitter,Negative,Offer,2024-10-22
S045,Twitter,Negative,Customer Service,2025-07-17
S046,Twitter,Positive,Event,2025-02-17
S047,Twitter,Positive,Offer,2024-10-26
S048,Twitter,Negative,Network,2025-04-21
S049,Twitter,Positive,Customer Service,2024-12-01
S050,Facebook,Negative,Offer,2025-07-19
S051,Facebook,Neutral,Offer,2025-02-27
S052,Facebook,Negative,Network,2025-01-11
S053,Instagram,Neutral,Customer Service,2024-10-03
S054,Twitter,Positive,Offer,2024-10-25
S055,Twitter,Positive,Event,2025-02-27
S056,Twitter,Positive,Event,2025-07-16
S057,Facebook,Positive,Event,2025-05-04
S058,Instagram,Neutral,Offer,2025-05-19
S059,Instagram,Negative,Offer,2025-02-21
S060,Twitter,Neutral,Network,2025-02-16
S061,Facebook,Neutral,Customer Service,2024-11-25
S062,Twitter,Positive,Customer Service,2025-04-17
S063,Twitter,Negative,Network,2025-09-05
S064,Instagram,Neutral,Customer Service,2025-02-09
S065,Facebook,Neutral,Offer,2024-09-23
S066,Facebook,Neutral,Offer,2025-08-18
S067,Instagram,Positive,Event,2025-01-31
S068,Facebook,Negative,Offer,2024-09-29
S069,Instagram,Neutral,Offer,2025-02-27
S070,Twitter,Neutral,Network,2025-04-25
S071,Twitter,Positive,Customer Service,2025-07-11
S072,Twitter,Positive,Network,2025-07-24
S073,Facebook,Positive,Customer Service,2024-11-05
S074,Instagram,Negative,Customer Service,2025-07-24
S075,Instagram,Negative,Event,2025-03-18
S076,Facebook,Negative,Network,2024-09-18
S077,Instagram,Positive,Customer Service,2025-05-15
S078,Facebook,Neutral,Network,2025-03-10
S079,Instagram,Negative,Offer,2025-03-20
S080,Facebook,Positive,Network,2025-05-30
S081,Twitter,Positive,Event,2025-02-24
S082,Instagram,Negative,Offer,2025-04-06
S083,Facebook,Neutral,Customer Service,2025-03-17
S084,Facebook,Neutral,Network,2025-03-15
S085,Instagram,Negative,Customer Service,2024-12-14
S086,Facebook,Negative,Event,2024-11-30
S087,Facebook,Negative,Event,2025-01-17
S088,Twitter,Positive,Customer Service,2025-02-06
S089,Twitter,Positive,Offer,2025-03-25
S090,Facebook,Negative,Event,2025-02-02
S091,Facebook,Negative,Network,2025-05-21
S092,Twitter,Positive,Network,2025-09-11
S093,Twitter,Positive,Customer Service,2025-02-22
S094,Twitter,Neutral,Network,2024-12-13
S095,Instagram,Negative,Event,2025-03-14
S096,Facebook,Negative,Network,2025-08-21
S097,Facebook,Neutral,Network,2024-12-06
S098,Twitter,Negative,Event,2025-07-28
S099,Facebook,Negative,Event,2025-08-23
S100,Twitter,Positive,Network,2025-04-08
S101,Instagram,Neutral,Offer,2025-02-20
S102,Instagram,Negative,Event,2025-08-07
S103,Twitter,Positive,Offer,2024-12-15
S104,Facebook,Neutral,Event,2025-07-07
S105,Facebook,Positive,Event,2025-04-16
S106,Twitter,Positive,Customer Service,2025-01-19
S107,Facebook,Positive,Customer Service,2024-10-24
S108,Instagram,Neutral,Network,2025-09-10
S109,Twitter,Neutral,Offer,2025-07-20
S110,Twitter,Positive,Event,2025-07-02
S111,Instagram,Negative,Customer Service,2024-11-30
S112,Twitter,Positive,Customer Service,2025-02-24
S113,Instagram,Negative,Event,2024-11-06
S114,Twitter,Negative,Event,2025-05-10
S115,Twitter,Positive,Customer Service,2024-10-06
S116,Twitter,Positive,Customer Service,2025-01-09
S117,Twitter,Positive,Event,2025-02-22
S118,Twitter,Positive,Customer Service,2025-06-06
S119,Facebook,Neutral,Customer Service,2025-08-31
S120,Twitter,Neutral,Network,2024-12-22
S121,Instagram,Neutral,Network,2025-03-27
S122,Twitter,Positive,Customer Service,2025-08-09
S123,Twitter,Negative,Network,2024-11-17
S124,Twitter,Neutral,Network,2024-12-28
S125,Twitter,Positive,Network,2025-07-13
S126,Twitter,Positive,Offer,2025-01-02
S127,Facebook,Negative,Offer,2025-04-22
S128,Facebook,Positive,Event,2025-07-12
S129,Twitter,Negative,Network,2025-06-30
S130,Twitter,Negative,Event,2025-07-06
S131,Twitter,Neutral,Offer,2025-05-04
S132,Facebook,Positive,Event,2025-02-23
S133,Twitter,Negative,Offer,2025-02-12
S134,Instagram,Neutral,Customer Service,2025-01-09
S135,Instagram,Negative,Offer,2025-04-07
S136,Twitter,Neutral,Offer,2025-05-15
S137,Facebook,Neutral,Offer,2024-11-12
S138,Facebook,Neutral,Network,2025-07-05
S139,Instagram,Negative,Offer,2024-11-30
S140,Instagram,Neutral,Offer,2024-10-20
S141,Instagram,Neutral,Event,2025-08-09
S142,Instagram,Neutral,Offer,2025-02-08
S143,Twitter,Positive,Offer,2024-12-07
S144,Twitter,Neutral,Event,2025-09-06
S145,Facebook,Positive,Customer Service,2024-10-13
S146,Twitter,Negative,Offer,2024-12-02
S147,Instagram,Positive,Network,2025-07-31
S148,Instagram,Negative,Offer,2025-07-12
S149,Instagram,Neutral,Offer,2024-10-04
S150,Instagram,Negative,Customer Service,2024-10-20
S151,Facebook,Negative,Network,2025-06-05
S152,Facebook,Negative,Customer Service,2025-05-29
S153,Facebook,Positive,Offer,2025-01-29
S154,Instagram,Positive,Network,2025-04-12
S155,Twitter,Neutral,Customer Service,2024-09-20
S156,Facebook,Neutral,Customer Service,2024-12-21
