transaction_id,customer_id,amount,method,date,status
TX00001,C00208,149.12,Top-up,2025-07-08,Pending
TX00002,C00472,190.3,Top-up,2024-05-19,Success
TX00003,C00299,197.37,Add-on,2021-05-26,Success
TX00004,C00486,34.69,Add-on,2021-03-22,Success
TX00005,C00167,45.58,Roaming,2022-08-10,Failed
TX00006,C00227,24.06,Top-up,2021-02-25,Success
TX00007,C00229,31.33,Bill Payment,2024-08-15,Success
TX00008,C00040,146.69,Top-up,2023-03-26,Failed
TX00009,C00426,81.26,Roaming,2023-04-02,Failed
TX00010,C00158,15.91,Bill Payment,2025-01-27,Success
TX00011,C00255,169.42,Add-on,2020-02-12,Pending
TX00012,C00345,187.26,Top-up,2023-02-11,Failed
TX00013,C00247,34.69,Bill Payment,2020-09-18,Failed
TX00014,C00480,134.3,Top-up,2022-09-21,Pending
TX00015,C00292,92.12,Add-on,2022-10-26,Success
TX00016,C00116,141.04,Bill Payment,2025-06-09,Pending
TX00017,C00171,100.95,Bill Payment,2020-04-01,Success
TX00018,C00275,126.38,Add-on,2025-09-26,Failed
TX00019,C00135,32.37,Add-on,2023-08-08,Success
TX00020,C00211,191.44,Bill Payment,2025-04-06,Success
TX00021,C00363,50.24,Roaming,2021-03-18,Failed
TX00022,C00450,15.82,Top-up,2023-08-11,Success
TX00023,C00142,101.59,Top-up,2022-08-24,Pending
TX00024,C00378,93.19,Top-up,2020-12-01,Success
TX00025,C00387,97.67,Top-up,2024-09-22,Pending
TX00026,C00211,131.6,Top-up,2023-08-14,Success
TX00027,C00472,2.71,Bill Payment,2022-03-05,Failed
TX00028,C00215,10.68,Add-on,2021-02-05,Pending
TX00029,C00270,190.05,Roaming,2023-07-14,Pending
TX00030,C00373,77.13,Roaming,2022-11-15,Success
TX00031,C00170,194.19,Bill Payment,2023-01-01,Success
TX00032,C00262,10.59,Top-up,2024-09-03,Failed
TX00033,C00130,118.71,Top-up,2025-04-28,Success
TX00034,C00063,174.11,Add-on,2023-08-12,Success
TX00035,C00092,53.08,Bill Payment,2020-11-01,Pending
TX00036,C00244,20.52,Add-on,2020-05-03,Success
TX00037,C00146,159.37,Top-up,2022-05-08,Pending
TX00038,C00356,90.33,Roaming,2025-02-06,Success
TX00039,C00138,118.15,Bill Payment,2022-01-01,Success
TX00040,C00027,58.09,Top-up,2023-11-26,Failed
TX00041,C00252,67.95,Add-on,2020-04-19,Failed
TX00042,C00488,26.06,Roaming,2023-07-23,Success
TX00043,C00356,76.28,Add-on,2020-08-21,Pending
TX00044,C00206,127.45,Bill Payment,2021-07-30,Pending
TX00045,C00368,19.72,Top-up,2022-09-29,Success
TX00046,C00478,41.91,Roaming,2020-04-04,Success
TX00047,C00330,70.99,Top-up,2023-06-21,Failed
TX00048,C00137,2.29,Add-on,2022-06-15,Failed
TX00049,C00286,64.47,Bill Payment,2022-07-19,Success
TX00050,C00251,89.42,Top-up,2022-02-23,Failed
TX00051,C00472,4.11,Add-on,2024-05-31,Pending
TX00052,C00144,185.1,Roaming,2023-06-23,Failed
TX00053,C00072,53.07,Top-up,2022-09-01,Success
TX00054,C00290,161.78,Bill Payment,2020-11-06,Failed
TX00055,C00459,182.24,Roaming,2023-06-15,Failed
TX00056,C00084,160.8,Add-on,2020-02-18,Failed
TX00057,C00369,11.3,Top-up,2023-12-25,Pending
TX00058,C00472,146.94,Roaming,2021-04-13,Success
TX00059,C00500,178.51,Top-up,2021-10-24,Success
TX00060,C00370,154.85,Add-on,2021-05-08,Success
TX00061,C00323,143.95,Add-on,2020-07-05,Failed
TX00062,C00136,113.04,Top-up,2022-12-06,Success
TX00063,C00083,111.62,Add-on,2021-11-20,Pending
TX00064,C00178,44.15,Bill Payment,2025-08-21,Failed
TX00065,C00426,129.48,Bill Payment,2022-06-08,Success
TX00066,C00338,64.86,Bill Payment,2025-07-03,Pending
TX00067,C00326,140.39,Add-on,2025-07-09,Failed
TX00068,C00187,105.27,Top-up,2024-10-24,Success
TX00069,C00318,37.93,Top-up,2023-10-01,Success
TX00070,C00363,101.26,Add-on,2020-03-01,Success
TX00071,C00024,67.27,Top-up,2021-01-02,Success
TX00072,C00106,98.18,Add-on,2020-05-01,Pending
TX00073,C00255,38.48,Roaming,2020-11-25,Failed
TX00074,C00465,31.15,Roaming,2023-10-29,Failed
TX00075,C00053,40.85,Add-on,2024-03-23,Success
TX00076,C00144,108.26,Top-up,2023-02-12,Pending
TX00077,C00452,74.26,Bill Payment,2024-06-30,Success
TX00078,C00485,20.78,Roaming,2020-09-29,Failed
TX00079,C00251,191.19,Roaming,2020-08-09,Success
TX00080,C00098,68.63,Roaming,2022-11-18,Failed
TX00081,C00357,59.28,Top-up,2023-03-06,Success
TX00082,C00282,24.9,Bill Payment,2024-02-24,Success
TX00083,C00312,166.07,Add-on,2025-09-06,Pending
TX00084,C00287,175.25,Top-up,2023-08-18,Failed
TX00085,C00103,63.66,Top-up,2020-12-04,Pending
TX00086,C00292,30.75,Bill Payment,2024-09-29,Success
TX00087,C00065,22.15,Bill Payment,2023-05-04,Success
TX00088,C00457,27.96,Add-on,2023-02-26,Failed
TX00089,C00186,59.98,Top-up,2022-08-10,Success
TX00090,C00302,38.38,Top-up,2024-04-21,Failed
TX00091,C00349,127.13,Roaming,2025-06-09,Failed
TX00092,C00019,110.44,Bill Payment,2020-07-12,Pending
TX00093,C00074,141.37,Top-up,2021-09-02,Failed
TX00094,C00497,15.55,Bill Payment,2020-02-20,Failed
TX00095,C00213,98.87,Bill Payment,2021-01-08,Success
TX00096,C00398,168.85,Bill Payment,2024-04-02,Pending
TX00097,C00400,79.84,Roaming,2021-01-11,Pending
TX00098,C00349,139.5,Bill Payment,2023-11-23,Success
TX00099,C00341,137.61,Bill Payment,2025-04-13,Pending
TX00100,C00438,191.22,Bill Payment,2020-04-04,Failed
TX00101,C00090,69.7,Top-up,2022-11-18,Failed
TX00102,C00107,58.94,Top-up,2020-07-23,Success
TX00103,C00286,65.32,Bill Payment,2020-01-21,Success
TX00104,C00139,32.9,Roaming,2025-02-18,Pending
TX00105,C00280,197.25,Add-on,2024-06-09,Pending
TX00106,C00288,85.44,Top-up,2023-05-26,Failed
TX00107,C00248,56.91,Bill Payment,2022-02-24,Failed
TX00108,C00295,35.27,Add-on,2024-05-08,Success
TX00109,C00491,158.62,Top-up,2024-01-17,Failed
TX00110,C00307,160.25,Add-on,2021-05-30,Failed
TX00111,C00253,188.13,Roaming,2023-07-17,Success
TX00112,C00232,187.57,Top-up,2020-03-01,Success
TX00113,C00266,15.46,Add-on,2023-08-12,Success
TX00114,C00441,95.6,Roaming,2022-03-30,Pending
TX00115,C00382,92.38,Top-up,2023-09-24,Success
TX00116,C00147,46.87,Top-up,2025-08-06,Success
TX00117,C00371,14.4,Top-up,2024-06-12,Failed
TX00118,C00235,190.35,Add-on,2025-09-06,Pending
TX00119,C00433,125.43,Roaming,2020-04-09,Success
TX00120,C00004,84.27,Roaming,2021-09-02,Pending
TX00121,C00344,117.2,Roaming,2024-02-19,Failed
TX00122,C00381,150.39,Add-on,2022-07-01,Success
TX00123,C00287,98.11,Bill Payment,2023-06-01,Success
TX00124,C00396,200.0,Bill Payment,2022-10-10,Pending
TX00125,C00284,82.65,Bill Payment,2020-10-16,Failed
TX00126,C00130,122.71,Top-up,2020-05-24,Success
TX00127,C00369,3.62,Bill Payment,2022-11-11,Failed
TX00128,C00179,33.92,Add-on,2022-05-14,Success
TX00129,C00499,50.33,Bill Payment,2024-08-10,Success
TX00130,C00397,179.18,Bill Payment,2021-12-31,Failed
TX00131,C00412,124.41,Add-on,2024-04-04,Pending
TX00132,C00111,62.97,Bill Payment,2020-05-28,Success
TX00133,C00344,187.14,Top-up,2024-11-10,Pending
TX00134,C00481,90.32,Roaming,2022-11-15,Failed
TX00135,C00065,149.52,Bill Payment,2023-11-19,Failed
TX00136,C00429,198.74,Add-on,2024-04-30,Success
TX00137,C00314,102.93,Roaming,2023-12-13,Success
TX00138,C00469,5.32,Bill Payment,2020-10-08,Failed
TX00139,C00218,160.5,Top-up,2023-08-13,Success
TX00140,C00249,100.65,Roaming,2022-01-23,Pending
TX00141,C00291,10.95,Bill Payment,2021-04-25,Pending
TX00142,C00126,24.96,Add-on,2020-06-15,Success
TX00143,C00040,134.26,Top-up,2021-09-25,Success
TX00144,C00391,65.73,Roaming,2025-03-31,Failed
TX00145,C00296,146.05,Top-up,2020-03-08,Pending
TX00146,C00474,97.12,Top-up,2020-09-30,Success
TX00147,C00016,113.06,Add-on,2021-09-02,Failed
TX00148,C00366,8.83,Bill Payment,2023-10-07,Failed
TX00149,C00315,196.17,Add-on,2022-03-06,Failed
TX00150,C00133,199.09,Add-on,2021-05-30,Failed
TX00151,C00184,29.53,Bill Payment,2020-03-03,Success
TX00152,C00500,43.46,Roaming,2020-04-17,Pending
TX00153,C00419,47.45,Roaming,2023-03-25,Failed
TX00154,C00086,94.45,Bill Payment,2022-12-09,Success
TX00155,C00045,97.23,Roaming,2022-09-29,Pending
TX00156,C00301,39.16,Top-up,2024-11-26,Pending
TX00157,C00176,189.16,Add-on,2022-11-08,Success
TX00158,C00099,82.52,Add-on,2020-09-01,Failed
TX00159,C00094,76.92,Bill Payment,2023-09-08,Pending
TX00160,C00410,169.52,Add-on,2021-10-17,Success
TX00161,C00008,141.4,Roaming,2025-03-20,Failed
TX00162,C00130,131.77,Top-up,2021-05-04,Success
TX00163,C00157,163.64,Roaming,2021-04-23,Success
TX00164,C00225,15.98,Add-on,2024-10-04,Success
TX00165,C00443,70.86,Roaming,2021-12-31,Pending
TX00166,C00172,112.72,Add-on,2021-10-30,Success
TX00167,C00263,79.86,Add-on,2024-12-23,Pending
TX00168,C00383,103.19,Add-on,2021-01-24,Failed
TX00169,C00052,130.75,Roaming,2023-12-12,Pending
TX00170,C00399,172.66,Roaming,2021-01-29,Failed
TX00171,C00233,127.41,Add-on,2023-02-27,Pending
TX00172,C00299,145.99,Top-up,2022-02-04,Success
TX00173,C00178,131.52,Roaming,2024-10-17,Pending
TX00174,C00059,72.29,Top-up,2020-09-15,Success
TX00175,C00194,32.09,Top-up,2024-10-05,Failed
TX00176,C00269,107.7,Top-up,2023-09-30,Pending
TX00177,C00173,13.96,Roaming,2024-03-28,Pending
TX00178,C00092,136.52,Roaming,2025-04-20,Failed
TX00179,C00250,180.71,Top-up,2020-11-09,Failed
TX00180,C00288,144.8,Top-up,2024-10-15,Pending
TX00181,C00441,38.49,Top-up,2024-12-10,Failed
TX00182,C00306,63.73,Roaming,2022-07-24,Success
TX00183,C00062,61.3,Bill Payment,2020-04-12,Success
TX00184,C00215,85.18,Top-up,2023-10-14,Pending
TX00185,C00202,140.76,Bill Payment,2024-05-06,Success
TX00186,C00314,29.04,Bill Payment,2024-09-02,Success
TX00187,C00444,118.79,Bill Payment,2022-09-26,Success
