record_id,region,signal_strength,latency_ms,downtime_minutes,date
NP00001,Muharraq,4,166,16,2024-10-19
NP00002,Manama,4,90,45,2020-04-20
NP00003,Isa Town,5,172,45,2020-01-08
NP00004,Isa Town,2,52,37,2023-03-27
NP00005,Muharraq,4,86,53,2025-06-23
NP00006,Manama,3,11,16,2021-09-04
NP00007,Isa Town,4,55,24,2021-02-05
NP00008,Riffa,5,107,29,2021-06-08
NP00009,Isa Town,4,117,29,2025-06-24
NP00010,Manama,3,172,53,2025-05-22
NP00011,Manama,3,124,45,2021-08-21
NP00012,Muharraq,5,92,31,2023-01-30
NP00013,Riffa,1,147,42,2022-10-19
NP00014,Manama,4,85,55,2024-01-05
NP00015,Muharraq,5,95,29,2022-07-10
NP00016,Isa Town,2,26,32,2020-04-08
NP00017,Manama,1,38,11,2025-05-07
NP00018,Riffa,4,25,41,2021-04-14
NP00019,Riffa,2,108,53,2024-01-23
NP00020,Manama,1,143,46,2025-02-10
NP00021,Manama,1,123,40,2020-12-21
NP00022,Riffa,4,79,19,2024-05-24
NP00023,Riffa,3,55,48,2022-12-21
NP00024,Isa Town,1,134,16,2021-12-02
NP00025,Muharraq,4,87,53,2023-09-16
NP00026,Manama,3,86,56,2025-02-23
NP00027,Manama,2,178,9,2020-09-05
NP00028,Muharraq,1,60,4,2024-10-27
NP00029,Manama,5,16,23,2023-03-04
NP00030,Manama,5,192,14,2023-11-20
NP00031,Muharraq,2,132,27,2025-07-31
NP00032,Isa Town,5,192,41,2025-02-22
NP00033,Muharraq,1,152,54,2024-03-16
NP00034,Isa Town,4,104,39,2024-05-17
NP00035,Isa Town,5,152,19,2025-04-06
NP00036,Muharraq,2,96,41,2023-06-19
NP00037,Isa Town,3,102,13,2023-05-22
NP00038,Riffa,3,120,54,2021-06-16
NP00039,Riffa,1,95,29,2023-03-06
NP00040,Riffa,4,185,32,2024-03-13
NP00041,Isa Town,5,42,31,2024-01-24
NP00042,Riffa,2,66,10,2024-05-20
NP00043,Riffa,1,121,33,2024-11-20
NP00044,Isa Town,4,102,3,2022-02-01
NP00045,Riffa,2,155,1,2021-01-31
NP00046,Muharraq,4,34,9,2022-04-14
NP00047,Manama,3,77,56,2022-09-23
NP00048,Muharraq,4,175,17,2022-09-03
NP00049,Isa Town,1,151,44,2024-08-21
NP00050,Riffa,3,154,10,2023-12-01
NP00051,Isa Town,3,26,40,2025-09-14
NP00052,Riffa,3,188,34,2024-02-25
NP00053,Riffa,4,131,8,2022-01-21
