customer_id,income_bracket,household_size,nationality
C00001,High,5,Bahraini
C00002,Medium,7,Expats-GCC
C00003,Medium,1,Bahraini
C00004,Low,7,Bahraini
C00005,Low,2,Expats-Other
C00006,High,6,Expats-GCC
C00007,High,3,Bahraini
C00008,High,5,Expats-GCC
C00009,Low,4,Expats-Asia
C00010,Low,3,Expats-GCC
C00011,Low,2,Expats-Other
C00012,High,6,Bahraini
C00013,Low,1,Expats-GCC
C00014,Low,3,Expats-Asia
C00015,Medium,5,Expats-Other
C00016,Low,4,Expats-Other
C00017,Medium,4,Expats-GCC
C00018,Low,4,Expats-Other
C00019,Low,4,Bahraini
C00020,High,5,Expats-Asia
C00021,Medium,5,Bahraini
C00022,Medium,4,Expats-GCC
C00023,Medium,3,Bahraini
C00024,High,5,Expats-Other
C00025,High,5,Expats-Other
C00026,High,1,Bahraini
C00027,Medium,5,Expats-GCC
C00028,Medium,3,Bahraini
C00029,Low,7,Expats-GCC
C00030,Low,7,Expats-GCC
C00031,Low,5,Expats-Other
C00032,High,7,Bahraini
C00033,Low,3,Expats-Asia
C00034,Medium,2,Expats-GCC
C00035,High,1,Expats-Other
C00036,Low,3,Expats-Asia
C00037,High,3,Expats-Other
C00038,High,4,Expats-GCC
C00039,High,7,Expats-GCC
C00040,Low,2,Bahraini
C00041,Low,7,Expats-Other
C00042,Low,6,Bahraini
C00043,Low,5,Expats-Asia
C00044,Low,6,Bahraini
C00045,High,7,Expats-Asia
C00046,Medium,1,Expats-Other
C00047,Low,3,Expats-Other
C00048,High,3,Bahraini
C00049,Low,1,Expats-Other
C00050,High,5,Bahraini
C00051,Low,3,Bahraini
C00052,Low,7,Expats-Asia
C00053,High,3,Expats-GCC
C00054,High,3,Expats-Asia
C00055,Medium,6,Bahraini
C00056,Medium,4,Bahraini
C00057,Low,2,Expats-GCC
C00058,Low,2,Expats-Asia
C00059,Low,5,Bahraini
C00060,Medium,3,Bahraini
C00061,Medium,1,Bahraini
C00062,Low,7,Expats-Other
C00063,High,6,Expats-GCC
C00064,High,2,Expats-GCC
C00065,Low,3,Expats-GCC
C00066,Low,1,Bahraini
C00067,Medium,3,Bahraini
C00068,High,2,Bahraini
C00069,High,5,Expats-GCC
C00070,High,1,Expats-Asia
C00071,Low,2,Expats-Asia
C00072,Low,1,Bahraini
C00073,Medium,3,Expats-Asia
C00074,Low,6,Expats-GCC
C00075,High,7,Expats-GCC
C00076,Low,3,Expats-GCC
C00077,Medium,5,Bahraini
C00078,Medium,7,Expats-Asia
C00079,High,3,Bahraini
C00080,High,1,Bahraini
C00081,Medium,3,Bahraini
C00082,Low,2,Bahraini
C00083,Medium,1,Expats-Asia
C00084,High,1,Expats-Asia
C00085,High,3,Expats-GCC
C00086,Medium,4,Expats-Other
C00087,Medium,7,Expats-Asia
C00088,Low,1,Expats-GCC
C00089,Low,4,Bahraini
C00090,High,2,Expats-Asia
C00091,Low,4,Bahraini
C00092,Low,4,Expats-Other
C00093,Medium,3,Bahraini
C00094,High,4,Bahraini
C00095,Medium,1,Expats-Other
C00096,Medium,3,Bahraini
C00097,Low,7,Expats-Asia
C00098,Medium,6,Expats-Other
C00099,High,5,Bahraini
C00100,Low,7,Expats-Other
C00101,High,3,Expats-GCC
C00102,Medium,7,Bahraini
C00103,Medium,4,Expats-GCC
C00104,Medium,2,Expats-Asia
C00105,High,4,Bahraini
C00106,Low,1,Expats-GCC
C00107,Low,5,Expats-Other
C00108,Medium,4,Expats-GCC
C00109,Low,4,Expats-GCC
C00110,High,2,Expats-Other
C00111,Medium,1,Expats-Other
C00112,Medium,5,Bahraini
C00113,Low,2,Bahraini
C00114,High,4,Expats-Other
C00115,High,7,Expats-GCC
C00116,Medium,1,Expats-Asia
C00117,Low,5,Bahraini
C00118,Medium,7,Expats-GCC
C00119,High,2,Expats-GCC
C00120,High,7,Expats-GCC
C00121,High,4,Expats-Other
C00122,Medium,5,Expats-Other
C00123,Low,1,Expats-Other
C00124,Low,4,Bahraini
C00125,Medium,6,Bahraini
C00126,Medium,5,Expats-GCC
C00127,High,7,Expats-GCC
C00128,Medium,7,Expats-GCC
C00129,Low,4,Bahraini
C00130,High,3,Expats-Other
C00131,High,7,Expats-Other
C00132,Medium,4,Bahraini
C00133,Low,6,Expats-Asia
C00134,Medium,7,Expats-Asia
C00135,High,5,Expats-Asia
C00136,Medium,7,Bahraini
C00137,Medium,2,Bahraini
C00138,Low,6,Expats-GCC
