product_id,name,price_bhd,category,active
P001,Roaming Pack,19.53,Combo,1
P002,Roaming Pack,5.18,Data,1
P003,Student Offer,11.64,Combo,0
P004,Family Bundle,27.77,Voice,1
P005,Roaming Pack,6.33,Data,0
P006,Family Bundle,22.4,Data,0
P007,Family Bundle,7.81,Data,1
P008,Unlimited Social,29.13,Voice,1
P009,Student Offer,25.2,Voice,0
P010,Family Bundle,7.01,Voice,0
P011,Roaming Pack,27.62,Combo,0
P012,Roaming Pack,12.36,Data,1
P013,Family Bundle,21.49,Data,0
P014,Unlimited Social,20.86,Data,1
P015,Family Bundle,24.51,Data,0
P016,Unlimited Social,6.01,Combo,1
P017,Unlimited Social,18.65,Voice,0
P018,Unlimited Social,29.12,Combo,1
P019,Roaming Pack,27.3,Data,0
P020,Unlimited Social,18.79,Combo,1
P021,Student Offer,9.3,Voice,1
P022,Unlimited Social,26.28,Combo,0
P023,Student Offer,20.66,Voice,0
P024,Family Bundle,18.93,Voice,1
P025,Student Offer,28.21,Data,1
P026,Family Bundle,9.26,Voice,1
P027,Family Bundle,8.15,Combo,1
P028,Unlimited Social,4.04,Voice,1
P029,Roaming Pack,18.18,Data,1
P030,Roaming Pack,1.5,Voice,0
P031,Roaming Pack,28.58,Data,0
P032,Family Bundle,7.99,Data,1
P033,Unlimited Social,29.4,Data,0
P034,Student Offer,29.44,Combo,1
P035,Family Bundle,12.99,Data,1
P036,Student Offer,21.59,Combo,1
P037,Roaming Pack,5.22,Voice,0
P038,Unlimited Social,27.79,Combo,0
P039,Roaming Pack,9.23,Voice,1
P040,Family Bundle,25.51,Data,1
P041,Student Offer,24.77,Combo,0
P042,Unlimited Social,15.9,Data,0
P043,Unlimited Social,29.63,Voice,0
P044,Family Bundle,13.24,Data,0
P045,Roaming Pack,6.38,Combo,1
P046,Family Bundle,24.47,Voice,0
P047,Unlimited Social,7.48,Combo,0
P048,Student Offer,8.43,Combo,0
P049,Roaming Pack,10.48,Voice,0
P050,Unlimited Social,28.41,Combo,1
P051,Student Offer,19.63,Combo,1
P052,Unlimited Social,4.92,Combo,0
P053,Roaming Pack,2.58,Data,1
P054,Student Offer,28.47,Combo,0
P055,Unlimited Social,27.55,Data,1
P056,Family Bundle,25.69,Voice,1
P057,Unlimited Social,24.34,Combo,0
P058,Family Bundle,7.66,Combo,1
P059,Unlimited Social,4.62,Data,0
P060,Family Bundle,9.68,Combo,1
P061,Student Offer,16.4,Data,0
P062,Roaming Pack,9.09,Data,1
P063,Roaming Pack,22.23,Data,0
P064,Student Offer,9.28,Data,1
P065,Unlimited Social,3.96,Voice,0
P066,Family Bundle,9.95,Combo,0
P067,Roaming Pack,5.7,Data,1
P068,Family Bundle,14.97,Voice,1
P069,Unlimited Social,6.96,Data,0
P070,Student Offer,8.77,Data,0
P071,Family Bundle,4.67,Combo,1
P072,Family Bundle,2.56,Voice,1
P073,Family Bundle,23.57,Data,0
P074,Unlimited Social,14.35,Data,0
P075,Family Bundle,28.73,Combo,0
P076,Roaming Pack,11.11,Data,1
P077,Unlimited Social,8.6,Voice,1
P078,Family Bundle,17.64,Combo,0
P079,Unlimited Social,28.05,Data,1
P080,Roaming Pack,5.77,Data,1
P081,Family Bundle,17.51,Data,0
P082,Student Offer,17.45,Voice,1
P083,Roaming Pack,17.96,Voice,0
P084,Student Offer,9.86,Data,0
P085,Family Bundle,6.31,Data,0
P086,Roaming Pack,11.93,Voice,0
P087,Family Bundle,12.68,Voice,0
P088,Unlimited Social,26.47,Data,1
P089,Family Bundle,6.36,Voice,1
P090,Family Bundle,19.22,Data,1
P091,Student Offer,26.88,Data,0
P092,Unlimited Social,28.02,Combo,1
P093,Roaming Pack,23.7,Combo,0
P094,Roaming Pack,16.72,Combo,1
P095,Unlimited Social,25.42,Data,1
P096,Unlimited Social,19.67,Data,1
P097,Student Offer,28.05,Combo,1
P098,Roaming Pack,13.85,Combo,1
P099,Student Offer,15.68,Data,0
P100,Student Offer,4.53,Combo,0
P101,Student Offer,2.09,Voice,0
P102,Unlimited Social,6.6,Data,0
P103,Roaming Pack,21.33,Voice,0
P104,Student Offer,8.76,Combo,1
P105,Family Bundle,8.22,Combo,1
P106,Roaming Pack,14.75,Voice,0
P107,Unlimited Social,2.6,Data,1
P108,Roaming Pack,18.14,Combo,0
P109,Family Bundle,19.55,Data,0
P110,Roaming Pack,28.0,Voice,1
P111,Family Bundle,14.91,Combo,1
P112,Family Bundle,17.66,Data,0
P113,Family Bundle,18.96,Combo,1
P114,Family Bundle,3.97,Combo,1
P115,Unlimited Social,6.52,Voice,1
P116,Roaming Pack,26.05,Voice,0
P117,Roaming Pack,15.85,Combo,0
P118,Student Offer,22.2,Data,0
P119,Student Offer,5.0,Data,1
P120,Unlimited Social,2.49,Data,0
P121,Family Bundle,6.17,Voice,1
P122,Family Bundle,12.02,Combo,1
P123,Student Offer,29.23,Combo,0
P124,Unlimited Social,13.53,Voice,0
P125,Student Offer,3.6,Voice,1
P126,Student Offer,11.2,Combo,0
P127,Student Offer,24.02,Combo,1
P128,Unlimited Social,4.59,Combo,1
P129,Unlimited Social,3.64,Voice,1
P130,Student Offer,5.05,Data,0
P131,Family Bundle,24.24,Voice,0
P132,Unlimited Social,7.6,Combo,1
P133,Student Offer,2.37,Data,1
P134,Student Offer,3.87,Combo,0
P135,Roaming Pack,21.88,Voice,0
P136,Unlimited Social,21.49,Data,1
P137,Roaming Pack,14.64,Combo,1
P138,Unlimited Social,15.73,Data,0
P139,Student Offer,24.28,Data,0
P140,Roaming Pack,10.68,Combo,0
P141,Roaming Pack,13.63,Voice,1
P142,Roaming Pack,17.43,Combo,0
P143,Family Bundle,18.41,Voice,0
P144,Roaming Pack,5.71,Voice,0
P145,Student Offer,27.35,Combo,1
P146,Unlimited Social,27.89,Combo,1
P147,Family Bundle,16.59,Data,1
P148,Unlimited Social,28.16,Combo,0
P149,Student Offer,27.72,Voice,0
P150,Family Bundle,15.38,Data,0
P151,Roaming Pack,15.47,Voice,1
P152,Family Bundle,24.55,Combo,0
P153,Unlimited Social,18.9,Data,0
P154,Family Bundle,18.38,Combo,0
P155,Unlimited Social,8.08,Voice,0
P156,Student Offer,23.68,Voice,1
P157,Student Offer,28.57,Combo,0
P158,Family Bundle,11.84,Combo,0
P159,Unlimited Social,19.03,Data,1
P160,Student Offer,8.99,Combo,0
P161,Roaming Pack,15.62,Combo,0
P162,Unlimited Social,11.68,Data,1
P163,Unlimited Social,5.61,Data,0
P164,Unlimited Social,20.99,Combo,1
P165,Family Bundle,16.25,Voice,1
P166,Family Bundle,17.52,Combo,1
P167,Unlimited Social,26.77,Data,0
P168,Student Offer,24.05,Voice,1
P169,Family Bundle,21.46,Voice,1
P170,Family Bundle,7.95,Voice,1
P171,Family Bundle,9.86,Voice,0
P172,Roaming Pack,2.98,Voice,1
P173,Family Bundle,11.28,Combo,1
P174,Roaming Pack,8.1,Combo,0
P175,Unlimited Social,14.33,Voice,0
P176,Unlimited Social,15.05,Combo,0
P177,Family Bundle,13.25,Voice,0
P178,Family Bundle,22.12,Data,0
P179,Unlimited Social,29.31,Voice,1
P180,Unlimited Social,12.55,Data,1
P181,Unlimited Social,5.91,Combo,1
P182,Roaming Pack,21.33,Combo,0
P183,Student Offer,8.12,Combo,1
P184,Unlimited Social,7.98,Voice,0
P185,Family Bundle,11.33,Combo,0
P186,Roaming Pack,12.38,Combo,0
P187,Family Bundle,24.58,Voice,0
P188,Roaming Pack,7.87,Voice,0
P189,Student Offer,21.79,Voice,0
P190,Roaming Pack,21.04,Voice,0
P191,Roaming Pack,2.82,Combo,1
P192,Family Bundle,23.79,Combo,1
P193,Roaming Pack,6.89,Data,0
P194,Family Bundle,9.67,Data,1
P195,Unlimited Social,22.09,Data,0
P196,Unlimited Social,22.5,Data,1
P197,Unlimited Social,21.13,Data,0
P198,Student Offer,10.8,Combo,0
P199,Roaming Pack,24.24,Voice,1
P200,Family Bundle,3.27,Voice,1
P201,Student Offer,15.29,Data,0
P202,Student Offer,21.4,Voice,0
P203,Roaming Pack,28.25,Combo,0
P204,Family Bundle,28.26,Combo,1
P205,Student Offer,22.7,Combo,1
P206,Family Bundle,19.4,Combo,1
P207,Student Offer,26.52,Voice,0
P208,Family Bundle,22.5,Combo,1
P209,Student Offer,11.96,Voice,1
P210,Roaming Pack,14.91,Voice,0
P211,Unlimited Social,11.2,Data,0
P212,Student Offer,13.75,Data,1
P213,Student Offer,1.51,Voice,0
P214,Roaming Pack,15.57,Data,1
P215,Family Bundle,29.53,Voice,0
P216,Unlimited Social,4.49,Voice,1
P217,Family Bundle,18.95,Voice,0
P218,Unlimited Social,13.33,Data,1
P219,Family Bundle,3.08,Voice,1
P220,Family Bundle,11.13,Voice,1
P221,Unlimited Social,28.46,Voice,1
P222,Student Offer,17.94,Combo,0
P223,Student Offer,26.48,Data,0
P224,Roaming Pack,10.9,Combo,1
P225,Unlimited Social,25.93,Voice,0
P226,Student Offer,13.36,Voice,0
P227,Roaming Pack,2.75,Combo,0
P228,Unlimited Social,21.24,Data,1
P229,Unlimited Social,6.99,Combo,0
P230,Student Offer,12.38,Combo,1
P231,Student Offer,6.44,Voice,1
P232,Family Bundle,25.13,Voice,0
P233,Family Bundle,7.86,Data,0
P234,Family Bundle,26.74,Data,1
P235,Student Offer,6.47,Combo,0
P236,Student Offer,25.74,Voice,1
P237,Unlimited Social,26.13,Data,1
P238,Family Bundle,9.41,Combo,1
P239,Unlimited Social,5.02,Combo,0
P240,Unlimited Social,22.29,Voice,0
P241,Student Offer,27.45,Voice,0
P242,Family Bundle,12.9,Voice,0
P243,Family Bundle,6.25,Voice,1
P244,Family Bundle,8.21,Combo,1
P245,Roaming Pack,14.38,Voice,0
P246,Family Bundle,13.73,Combo,1
P247,Student Offer,27.67,Combo,1
P248,Family Bundle,16.04,Voice,1
P249,Student Offer,16.36,Combo,0
P250,Roaming Pack,18.71,Data,0
P251,Unlimited Social,9.25,Voice,1
P252,Unlimited Social,10.94,Voice,0
P253,Family Bundle,22.1,Voice,0
P254,Student Offer,19.75,Data,1
P255,Student Offer,8.97,Combo,1
P256,Unlimited Social,22.03,Combo,1
P257,Student Offer,25.47,Data,1
P258,Roaming Pack,27.35,Combo,1
P259,Family Bundle,5.77,Combo,0
P260,Student Offer,18.89,Combo,1
P261,Student Offer,22.51,Data,1
P262,Unlimited Social,20.08,Voice,0
P263,Unlimited Social,27.92,Data,0
P264,Roaming Pack,8.53,Data,1
P265,Student Offer,24.47,Voice,0
P266,Family Bundle,7.78,Data,1
P267,Roaming Pack,25.31,Data,1
P268,Unlimited Social,23.47,Combo,0
P269,Student Offer,13.01,Voice,1
P270,Family Bundle,27.37,Data,1
P271,Unlimited Social,6.57,Data,0
P272,Family Bundle,3.07,Combo,1
P273,Roaming Pack,14.51,Voice,0
P274,Roaming Pack,15.46,Data,1
P275,Family Bundle,7.18,Combo,1
P276,Student Offer,20.09,Voice,1
P277,Unlimited Social,6.53,Combo,0
P278,Student Offer,7.34,Data,0
P279,Roaming Pack,8.25,Data,0
P280,Student Offer,13.98,Data,1
P281,Roaming Pack,3.87,Data,1
P282,Roaming Pack,14.32,Combo,0
P283,Student Offer,22.54,Data,0
P284,Student Offer,21.99,Voice,1
P285,Roaming Pack,21.39,Data,1
P286,Roaming Pack,9.42,Combo,0
P287,Roaming Pack,1.35,Voice,0
P288,Unlimited Social,17.39,Voice,0
P289,Roaming Pack,2.64,Combo,0
P290,Unlimited Social,7.48,Combo,1
P291,Unlimited Social,10.46,Combo,1
P292,Unlimited Social,20.8,Combo,0
P293,Family Bundle,5.29,Combo,0
P294,Roaming Pack,2.29,Data,0
P295,Unlimited Social,23.52,Combo,0
P296,Family Bundle,29.77,Combo,0
P297,Student Offer,27.33,Combo,0
P298,Family Bundle,18.05,Voice,1
P299,Roaming Pack,18.24,Combo,1
P300,Roaming Pack,29.13,Data,1
P301,Roaming Pack,3.75,Data,0
P302,Family Bundle,12.21,Data,1
P303,Family Bundle,18.5,Voice,0
P304,Family Bundle,1.25,Voice,1
P305,Student Offer,18.54,Combo,1
P306,Student Offer,16.27,Voice,1
P307,Roaming Pack,28.8,Combo,0
P308,Family Bundle,18.39,Combo,1
P309,Unlimited Social,7.28,Voice,1
P310,Roaming Pack,11.4,Combo,0
P311,Roaming Pack,24.46,Combo,0
P312,Family Bundle,20.31,Data,0
P313,Student Offer,24.14,Data,1
P314,Roaming Pack,27.12,Voice,1
P315,Student Offer,12.11,Combo,1
P316,Unlimited Social,14.13,Voice,1
P317,Unlimited Social,19.44,Voice,0
P318,Family Bundle,12.28,Combo,0
P319,Roaming Pack,1.38,Combo,0
P320,Unlimited Social,22.49,Combo,0
P321,Family Bundle,21.39,Voice,0
P322,Unlimited Social,17.69,Combo,0
P323,Roaming Pack,11.21,Combo,0
P324,Unlimited Social,5.43,Combo,1
P325,Family Bundle,13.37,Combo,1
P326,Student Offer,8.87,Data,1
