project_id,name,start_date,end_date,status,manager_id
P0001,Project 1,2024-03-09,2024-11-27,Planning,E08775
P0002,Project 2,2024-07-08,2024-12-17,On Hold,E08253
P0003,Project 3,2020-11-29,2025-08-10,Planning,E09267
P0004,Project 4,2025-04-20,2024-12-02,Active,E01205
P0005,Project 5,2024-03-22,2024-12-01,Completed,E04302
P0006,Project 6,2022-01-26,2024-10-24,Planning,E07893
P0007,Project 7,2022-02-18,2025-04-12,Planning,E05678
P0008,Project 8,2023-02-27,2024-12-28,Active,E00820
P0009,Project 9,2023-02-15,2025-04-10,Completed,E03627
P0010,Project 10,2023-12-16,2025-07-29,Active,E04476
P0011,Project 11,2025-04-01,2025-08-20,Active,E01596
P0012,Project 12,2024-04-10,2025-02-09,Active,E04089
P0013,Project 13,2025-06-17,2024-12-04,Planning,E00244
P0014,Project 14,2021-01-05,2025-01-28,Completed,E03856
P0015,Project 15,2021-05-04,2025-05-20,Planning,E01904
P0016,Project 16,2022-06-03,2025-02-24,On Hold,E05969
P0017,Project 17,2024-12-24,2025-09-17,Planning,E06509
P0018,Project 18,2023-12-25,2025-02-03,Active,E05910
P0019,Project 19,2022-07-15,2025-07-20,On Hold,E07441
P0020,Project 20,2024-02-16,2025-06-11,On Hold,E07683
P0021,Project 21,2023-08-16,2025-03-31,On Hold,E05526
P0022,Project 22,2020-11-13,2025-05-05,Active,E03380
P0023,Project 23,2021-06-10,2024-10-29,Completed,E00020
P0024,Project 24,2023-04-10,2025-08-09,On Hold,E06981
P0025,Project 25,2022-11-28,2024-12-23,Active,E00172
P0026,Project 26,2021-01-19,2025-03-21,Planning,E07377
P0027,Project 27,2023-09-15,2025-02-10,Completed,E05229
P0028,Project 28,2022-10-17,2024-10-23,On Hold,E02858
P0029,Project 29,2021-02-11,2025-06-02,Completed,E09511
P0030,Project 30,2021-10-26,2025-04-08,Planning,E06734
P0031,Project 31,2025-01-27,2024-12-26,Completed,E03328
P0032,Project 32,2024-06-07,2024-11-14,Completed,E03946
P0033,Project 33,2024-03-30,2025-04-08,Planning,E05660
P0034,Project 34,2021-03-31,2025-05-20,Completed,E02295
P0035,Project 35,2025-08-30,2025-03-15,On Hold,E09182
P0036,Project 36,2020-11-17,2025-02-14,On Hold,E05819
P0037,Project 37,2024-02-25,2025-03-06,Planning,E06168
P0038,Project 38,2023-03-10,2025-07-12,On Hold,E01732
P0039,Project 39,2023-07-05,2025-01-23,On Hold,E04809
P0040,Project 40,2025-04-06,2024-12-24,On Hold,E07139
P0041,Project 41,2024-03-21,2025-05-14,Planning,E05529
P0042,Project 42,2022-09-17,2025-04-13,Completed,E03516
P0043,Project 43,2024-02-25,2025-01-18,Active,E06472
P0044,Project 44,2024-09-14,2025-07-08,Active,E04397
P0045,Project 45,2022-03-29,2025-01-03,Active,E02202
P0046,Project 46,2024-04-27,2024-12-18,Planning,E02582
P0047,Project 47,2024-04-13,2025-03-31,Planning,E06260
P0048,Project 48,2025-03-07,2025-02-28,Active,E07789
P0049,Project 49,2023-11-24,2025-08-14,On Hold,E08572
P0050,Project 50,2023-06-02,2025-02-10,Completed,E06286
P0051,Project 51,2025-02-24,2025-08-25,Completed,E04460
P0052,Project 52,2023-05-19,2025-06-05,Completed,E09580
P0053,Project 53,2023-11-24,2024-12-25,Planning,E06922
P0054,Project 54,2021-02-09,2025-01-08,Active,E07664
P0055,Project 55,2023-05-19,2025-06-29,On Hold,E06967
P0056,Project 56,2021-03-22,2025-01-31,Active,E05831
P0057,Project 57,2025-02-23,2024-11-06,Completed,E04665
P0058,Project 58,2025-06-07,2025-02-21,Active,E01042
P0059,Project 59,2022-04-10,2025-06-14,On Hold,E02226
P0060,Project 60,2023-06-20,2025-02-17,Completed,E05416
P0061,Project 61,2021-03-29,2024-11-29,Active,E04667
P0062,Project 62,2022-10-29,2024-12-16,Completed,E08960
P0063,Project 63,2024-04-22,2025-01-07,Active,E06668
P0064,Project 64,2024-10-29,2025-03-19,On Hold,E01594
P0065,Project 65,2022-06-24,2025-06-12,Planning,E04505
P0066,Project 66,2022-07-06,2025-07-08,Active,E02758
P0067,Project 67,2023-06-04,2025-05-01,Planning,E06763
