task_id,project_id,assignee_id,description,priority,status,due_date
T00001,P3154,E07908,Mean business stop history know.,Low,Blocked,2025-05-24
T00002,P0224,E03936,Civil country blue consider own.,Medium,Open,2025-04-04
T00003,P0140,E05533,Itself mouth method left kid sometimes drop camera.,Medium,Blocked,2025-01-11
T00004,P3358,E03928,Position institution marriage fire other wrong big.,Low,In Progress,2024-12-13
T00005,P5026,E06150,Cut event down worry again beautiful speech.,Medium,Completed,2024-11-06
T00006,P1718,E00441,No hospital drug like.,Low,Completed,2025-07-14
T00007,P0688,E04384,Candidate while home face partner.,Medium,Open,2024-12-28
T00008,P3636,E02780,Type throughout too writer.,High,Blocked,2025-09-07
T00009,P0678,E08921,Wish home begin phone choose agency.,High,Blocked,2024-11-22
T00010,P4751,E09460,Attention few put debate cost owner yet.,Low,Open,2025-09-01
T00011,P5071,E04943,Pay too word the.,Medium,Blocked,2024-09-28
T00012,P0567,E02584,Report sort everything none season note.,Low,Open,2025-02-24
T00013,P0203,E00302,Force goal article statement set above end business.,Medium,Completed,2025-09-17
T00014,P5861,E07808,Still soldier American past owner.,Low,Open,2024-12-18
T00015,P2723,E03606,Decide yard education skill pass sister admit call.,High,Blocked,2025-07-16
T00016,P3818,E04100,Serious admit sure challenge right production.,Medium,Open,2025-01-06
T00017,P2651,E02893,Quickly any many expect operation news discussion.,High,Open,2025-07-31
T00018,P0522,E06223,Challenge strategy condition film produce message clear single.,High,Completed,2025-03-03
T00019,P2190,E03304,According issue democratic ground future process.,High,In Progress,2025-04-14
T00020,P8147,E00189,Stock morning deal beautiful yes wall.,Medium,Completed,2025-01-10
T00021,P2581,E04046,Station then project happen page more.,High,In Progress,2024-11-01
T00022,P0982,E01191,Somebody him American sing consumer key.,Low,Open,2025-08-02
T00023,P5290,E09190,Usually after southern way.,Medium,Blocked,2025-08-10
T00024,P0015,E04417,Raise this when chance.,High,Completed,2024-12-26
T00025,P6566,E02448,Perform statement force check when.,Low,In Progress,2025-07-21
