survey_id,subject_id,category,topic,rating,date
S00001,E00253,Employee,Satisfaction,1,2024-02-09
S00002,E00398,Employee,Satisfaction,3,2025-01-01
S00003,C04517,Customer,Net Promoter Score,4,2023-11-18
S00004,E00035,Employee,Support,2,2024-12-07
S00005,E00388,Customer,Satisfaction,1,2024-05-27
S00006,E00121,Customer,Satisfaction,2,2025-04-25
S00007,E00190,Customer,Experience,4,2024-09-24
S00008,E00005,Customer,Net Promoter Score,1,2024-03-21
S00009,C01178,Employee,Support,1,2023-12-09
S00010,E00077,Employee,Net Promoter Score,3,2024-05-17
S00011,E00213,Employee,Net Promoter Score,3,2024-04-02
S00012,C00548,Employee,Experience,4,2024-07-21
S00013,C00997,Employee,Support,4,2024-04-05
S00014,C03840,Customer,Satisfaction,2,2024-06-17
S00015,E00205,Customer,Satisfaction,5,2025-02-13
S00016,E00490,Customer,Experience,1,2024-07-28
S00017,C03182,Employee,Experience,3,2025-03-05
S00018,E00385,Employee,Experience,3,2023-11-04
S00019,E00108,Customer,Satisfaction,1,2025-09-05
S00020,E00077,Customer,Support,1,2024-05-15
S00021,E00403,Customer,Experience,2,2023-11-25
S00022,C02590,Employee,Experience,2,2024-05-02
S00023,E00319,Employee,Satisfaction,2,2025-09-27
S00024,C02903,Customer,Experience,3,2024-08-02
S00025,C00477,Employee,Satisfaction,4,2024-01-09
S00026,C03919,Employee,Experience,3,2025-08-06
S00027,E00104,Customer,Support,1,2024-04-15
S00028,E00300,Employee,Satisfaction,1,2025-06-29
S00029,E00245,Employee,Experience,5,2023-10-16
S00030,E00066,Employee,Experience,2,2025-07-29
S00031,C00517,Customer,Net Promoter Score,4,2024-02-18
S00032,C00979,Employee,Support,5,2024-09-06
S00033,E00322,Employee,Satisfaction,5,2024-10-29
S00034,E00183,Employee,Satisfaction,3,2025-03-05
S00035,C02384,Customer,Support,5,2025-04-21
S00036,E00459,Customer,Experience,4,2024-02-19
S00037,C04153,Employee,Support,1,2024-05-13
S00038,C02089,Employee,Net Promoter Score,3,2023-11-29
S00039,C04775,Employee,Support,3,2024-05-23
S00040,C04659,Customer,Experience,5,2023-11-19
S00041,C02455,Customer,Net Promoter Score,5,2025-08-11
S00042,E00376,Customer,Satisfaction,1,2024-10-30
S00043,E00417,Customer,Experience,4,2024-05-08
S00044,E00484,Customer,Experience,4,2024-06-26
S00045,C03809,Employee,Experience,2,2024-04-01
S00046,E00006,Customer,Support,1,2024-11-30
S00047,E00293,Employee,Net Promoter Score,5,2025-07-03
S00048,E00427,Customer,Satisfaction,3,2025-09-12
S00049,E00050,Customer,Experience,5,2024-12-25
S00050,E00406,Customer,Net Promoter Score,4,2025-01-03
S00051,C04108,Employee,Satisfaction,3,2024-02-13
S00052,C00148,Customer,Support,3,2025-06-26
S00053,E00293,Customer,Experience,3,2025-03-01
S00054,E00320,Customer,Experience,1,2025-07-09
S00055,C04286,Employee,Experience,2,2025-05-10
S00056,C01113,Employee,Support,4,2023-11-01
S00057,E00307,Employee,Support,1,2024-06-29
S00058,E00496,Customer,Net Promoter Score,5,2025-09-22
S00059,E00336,Customer,Net Promoter Score,3,2023-12-20
S00060,C01049,Employee,Experience,3,2025-07-05
S00061,E00175,Employee,Support,2,2024-04-08
S00062,C03630,Employee,Satisfaction,5,2024-04-10
S00063,C04407,Employee,Net Promoter Score,5,2024-09-03
S00064,C02150,Employee,Support,5,2025-07-17
S00065,E00115,Customer,Satisfaction,5,2024-11-21
S00066,C02070,Employee,Satisfaction,5,2023-11-12
S00067,E00234,Customer,Support,1,2025-07-26
S00068,E00147,Employee,Support,3,2024-09-24
S00069,E00406,Employee,Experience,1,2025-07-05
S00070,E00073,Customer,Satisfaction,5,2024-09-29
S00071,C01183,Customer,Satisfaction,4,2024-01-15
S00072,C01902,Customer,Support,3,2025-05-24
S00073,C00293,Employee,Net Promoter Score,2,2024-09-01
S00074,E00094,Customer,Satisfaction,5,2025-06-04
S00075,E00403,Employee,Net Promoter Score,5,2024-03-25
S00076,C00367,Customer,Support,2,2025-01-07
S00077,C02765,Customer,Support,3,2024-01-31
S00078,C01433,Customer,Satisfaction,1,2025-03-17
S00079,E00222,Customer,Satisfaction,1,2024-10-13
S00080,C04761,Customer,Support,3,2024-06-07
S00081,C02255,Customer,Net Promoter Score,5,2025-02-18
S00082,E00252,Employee,Net Promoter Score,5,2023-11-25
S00083,E00068,Customer,Net Promoter Score,3,2024-01-24
S00084,C02738,Employee,Experience,2,2024-09-23
S00085,E00319,Customer,Experience,2,2023-12-11
S00086,E00033,Customer,Net Promoter Score,5,2025-08-30
S00087,C02240,Customer,Net Promoter Score,2,2023-12-20
S00088,C01258,Customer,Support,2,2025-08-02
S00089,C04918,Employee,Net Promoter Score,2,2024-01-11
S00090,C02463,Employee,Experience,2,2024-07-07
S00091,E00075,Employee,Experience,1,2023-12-21
S00092,C04443,Customer,Satisfaction,2,2024-02-18
S00093,C00223,Customer,Support,4,2025-03-30
S00094,C02346,Employee,Satisfaction,1,2024-05-29
S00095,C01576,Customer,Experience,3,2025-03-21
S00096,E00457,Customer,Satisfaction,4,2024-10-15
S00097,C02424,Customer,Satisfaction,3,2024-08-01
S00098,C03889,Customer,Satisfaction,3,2025-07-25
S00099,E00048,Customer,Net Promoter Score,1,2025-05-10
S00100,C04766,Customer,Support,5,2025-04-06
S00101,E00330,Employee,Satisfaction,1,2024-07-29
S00102,E00399,Employee,Experience,5,2025-07-10
S00103,C00071,Customer,Support,3,2025-08-24
S00104,C04947,Customer,Net Promoter Score,5,2024-08-06
S00105,E00353,Customer,Support,4,2025-07-01
S00106,E00196,Customer,Support,3,2025-09-17
S00107,E00053,Employee,Experience,1,2024-07-12
S00108,E00367,Employee,Support,1,2025-06-05
S00109,C03476,Employee,Net Promoter Score,3,2025-10-03
S00110,E00200,Customer,Support,4,2024-01-26
S00111,E00085,Employee,Satisfaction,4,2025-04-14
S00112,E00342,Customer,Experience,5,2024-03-23
S00113,E00407,Customer,Support,3,2025-08-16
S00114,C03529,Employee,Support,5,2024-01-20
S00115,C01579,Customer,Satisfaction,4,2025-06-13
S00116,C03664,Customer,Satisfaction,4,2025-02-22
S00117,E00179,Employee,Net Promoter Score,2,2025-02-14
S00118,C02789,Employee,Satisfaction,5,2025-06-19
S00119,E00301,Customer,Satisfaction,2,2025-08-17
S00120,C02983,Customer,Net Promoter Score,5,2023-11-12
S00121,C00235,Customer,Satisfaction,4,2024-06-11
S00122,C02825,Employee,Support,4,2023-11-11
S00123,E00108,Employee,Experience,2,2024-09-21
S00124,C00473,Customer,Experience,1,2024-09-04
S00125,E00411,Customer,Net Promoter Score,2,2024-04-30
S00126,C00773,Employee,Support,5,2025-04-24
S00127,E00284,Customer,Support,2,2024-12-08
S00128,C00819,Employee,Net Promoter Score,1,2025-01-24
S00129,E00248,Employee,Net Promoter Score,3,2025-06-07
S00130,E00360,Employee,Net Promoter Score,1,2025-10-03
S00131,C04612,Employee,Experience,3,2025-06-16
S00132,C00843,Customer,Net Promoter Score,4,2025-05-12
S00133,E00060,Employee,Satisfaction,4,2024-06-21
S00134,E00031,Employee,Experience,3,2024-04-27
S00135,E00487,Customer,Satisfaction,3,2024-09-17
S00136,E00039,Employee,Satisfaction,1,2023-10-11
S00137,C03422,Employee,Support,5,2025-09-11
S00138,E00151,Customer,Net Promoter Score,2,2024-02-15
S00139,E00289,Customer,Experience,4,2025-07-07
S00140,C01035,Employee,Experience,3,2025-07-14
S00141,C02624,Employee,Satisfaction,1,2024-05-07
S00142,E00214,Employee,Net Promoter Score,2,2024-10-23
S00143,C03089,Employee,Experience,1,2024-02-15
S00144,E00032,Customer,Experience,2,2023-12-10
S00145,C00398,Customer,Support,3,2024-01-25
S00146,C00725,Employee,Experience,1,2024-03-04
S00147,C01365,Employee,Satisfaction,2,2024-02-12
S00148,E00168,Customer,Satisfaction,4,2024-11-28
S00149,C02787,Customer,Support,5,2025-02-23
S00150,C02767,Employee,Support,1,2024-04-24
S00151,E00478,Customer,Experience,1,2024-09-13
S00152,C03228,Employee,Net Promoter Score,3,2025-06-11
S00153,C01571,Employee,Support,1,2025-09-04
S00154,E00235,Customer,Satisfaction,5,2025-06-24
S00155,E00020,Employee,Satisfaction,4,2025-03-23
S00156,C00413,Employee,Support,3,2023-10-13
S00157,E00286,Customer,Support,3,2025-09-03
S00158,C03099,Customer,Experience,4,2024-10-08
S00159,E00025,Customer,Support,1,2025-04-22
S00160,C01043,Customer,Satisfaction,2,2024-01-24
S00161,E00303,Customer,Experience,3,2025-08-02
S00162,E00192,Customer,Experience,3,2024-07-26
S00163,C01820,Employee,Support,3,2025-04-06
S00164,C01720,Customer,Satisfaction,2,2025-09-23
S00165,C00984,Employee,Experience,4,2025-06-30
S00166,C01558,Employee,Experience,4,2024-10-29
S00167,E00027,Customer,Net Promoter Score,5,2025-07-16
S00168,C01777,Customer,Support,3,2024-06-23
S00169,C04523,Customer,Satisfaction,4,2024-03-05
S00170,C03686,Employee,Satisfaction,4,2025-03-10
S00171,C03052,Employee,Experience,3,2025-04-22
S00172,C02522,Employee,Satisfaction,3,2024-03-15
S00173,C00690,Employee,Satisfaction,1,2025-06-03
S00174,C00602,Employee,Satisfaction,3,2025-07-02
S00175,E00213,Customer,Experience,3,2025-07-17
S00176,E00081,Customer,Experience,4,2025-09-26
S00177,E00080,Customer,Net Promoter Score,4,2024-12-29
S00178,C04876,Employee,Support,2,2024-09-24
S00179,E00027,Customer,Satisfaction,1,2024-06-18
S00180,E00321,Employee,Net Promoter Score,5,2024-06-03
S00181,C04434,Customer,Satisfaction,2,2025-07-30
S00182,C02726,Employee,Net Promoter Score,4,2024-01-29
S00183,C03449,Employee,Net Promoter Score,2,2025-09-15
S00184,C04601,Customer,Support,2,2024-09-03
S00185,E00496,Customer,Satisfaction,1,2024-02-26
S00186,E00106,Employee,Satisfaction,5,2025-09-29
S00187,C00656,Customer,Net Promoter Score,2,2024-06-28
S00188,E00254,Employee,Support,5,2024-07-03
S00189,C00218,Employee,Satisfaction,2,2025-07-15
S00190,C03863,Employee,Satisfaction,3,2025-06-14
S00191,E00268,Customer,Satisfaction,4,2024-11-08
S00192,E00480,Customer,Net Promoter Score,2,2025-04-10
S00193,C01335,Customer,Experience,5,2023-10-16
S00194,E00118,Employee,Satisfaction,3,2024-11-16
S00195,C03536,Customer,Support,3,2025-09-11
S00196,C04415,Customer,Experience,2,2025-04-18
S00197,C01536,Employee,Satisfaction,1,2025-08-12
S00198,C02356,Customer,Experience,4,2024-01-08
S00199,C02016,Employee,Experience,4,2025-01-14
S00200,C02210,Employee,Support,5,2025-06-25
S00201,E00485,Customer,Experience,1,2024-03-23
S00202,E00395,Customer,Net Promoter Score,2,2025-02-19
S00203,C03007,Customer,Experience,3,2025-08-05
S00204,E00316,Customer,Net Promoter Score,2,2024-12-18
S00205,C03535,Customer,Experience,3,2025-07-08
S00206,E00265,Employee,Net Promoter Score,3,2025-08-19
S00207,C04387,Employee,Support,5,2024-03-21
S00208,E00069,Employee,Support,3,2024-08-30
S00209,C04421,Customer,Experience,2,2024-02-11
S00210,C01986,Customer,Support,1,2025-09-04
S00211,E00433,Customer,Support,1,2025-02-16
S00212,E00148,Customer,Experience,4,2025-06-28
S00213,E00238,Employee,Net Promoter Score,5,2024-04-27
S00214,C02182,Employee,Satisfaction,5,2025-06-07
S00215,C00565,Employee,Experience,4,2023-10-22
S00216,E00092,Customer,Net Promoter Score,4,2024-06-04
S00217,C03606,Customer,Net Promoter Score,1,2024-08-21
S00218,E00490,Customer,Experience,2,2025-03-30
S00219,C04509,Employee,Satisfaction,1,2025-09-25
S00220,E00355,Customer,Satisfaction,5,2024-10-02
S00221,E00241,Employee,Net Promoter Score,5,2023-10-29
S00222,E00293,Employee,Satisfaction,5,2024-09-28
S00223,E00128,Employee,Experience,4,2024-05-12
S00224,C02926,Employee,Satisfaction,1,2024-10-05
S00225,C02815,Customer,Net Promoter Score,4,2024-12-04
S00226,E00450,Customer,Net Promoter Score,5,2025-09-07
S00227,E00492,Employee,Satisfaction,4,2024-08-04
S00228,C01824,Customer,Net Promoter Score,1,2025-03-04
S00229,C02836,Customer,Support,3,2025-07-20
S00230,E00080,Employee,Support,5,2025-02-12
S00231,E00003,Customer,Satisfaction,4,2023-11-11
S00232,E00215,Employee,Net Promoter Score,5,2025-01-26
S00233,C02061,Customer,Satisfaction,4,2024-05-08
S00234,C03056,Employee,Net Promoter Score,4,2024-12-31
S00235,E00350,Employee,Satisfaction,4,2024-08-18
S00236,C02976,Employee,Experience,5,2025-02-11
S00237,C01416,Employee,Support,3,2024-09-28
S00238,E00165,Employee,Net Promoter Score,5,2024-04-13
S00239,E00317,Employee,Experience,5,2023-11-25
S00240,C04937,Employee,Experience,3,2025-06-17
S00241,C04836,Customer,Net Promoter Score,1,2025-01-23
S00242,E00019,Customer,Net Promoter Score,5,2024-06-20
S00243,E00128,Customer,Experience,4,2024-05-04
S00244,C03279,Employee,Experience,3,2023-12-01
