task_id,project_id,assignee_id,description,priority,status,due_date
T00001,P0044,E00069,Bank particular free moment.,Medium,Completed,2024-09-24
T00002,P0046,E00042,Contain current will material choose.,High,Blocked,2024-10-21
T00003,P0015,E00107,Page beautiful tell modern hour song his standard.,Medium,Open,2025-07-22
T00004,P0012,E00044,Region affect stuff wonder probably number become.,Medium,Completed,2025-09-18
T00005,P0029,E00035,Difference product ago lawyer voice herself program.,Medium,Completed,2025-02-12
T00006,P0045,E00057,Within once hour and.,High,In Progress,2024-11-29
T00007,P0019,E00088,Leader it difference community hair.,Low,Blocked,2025-07-13
T00008,P0001,E00075,Not wonder time treat per light professor.,Low,Completed,2025-06-26
T00009,P0002,E00138,Gun radio peace church theory level.,Low,Blocked,2024-11-06
T00010,P0019,E00182,Final peace street level material personal.,High,Completed,2024-11-29
T00011,P0009,E00095,Above whom interest future meet reach.,High,In Progress,2025-08-07
T00012,P0037,E00180,Information as until model purpose listen walk.,High,Blocked,2025-03-26
T00013,P0034,E00167,Technology stand store fall defense recent create.,Medium,In Progress,2025-08-03
T00014,P0029,E00111,Even many collection customer majority.,High,In Progress,2025-07-28
T00015,P0002,E00146,Those she go hour the enough.,Low,Open,2025-01-24
T00016,P0011,E00040,Pretty hold people standard plan win.,Medium,Blocked,2025-06-23
T00017,P0025,E00032,Government pick scene every kitchen education.,Medium,In Progress,2025-01-19
T00018,P0050,E00197,Response can age.,High,Open,2025-02-04
T00019,P0039,E00125,Manager over accept right quickly security.,Low,In Progress,2025-05-05
T00020,P0001,E00156,These politics else there down source.,Medium,Open,2025-01-29
T00021,P0039,E00112,Term allow whose modern hear mother cup.,High,In Progress,2025-04-07
T00022,P0023,E00026,Oil cost parent easy over field.,High,Completed,2025-06-21
T00023,P0040,E00020,Recent everybody sit.,Low,Blocked,2025-03-16
T00024,P0022,E00167,Decade whose then beautiful ability they despite.,Low,In Progress,2025-07-17
T00025,P0008,E00113,Stuff fire animal scene center.,Low,In Progress,2025-02-03
T00026,P0043,E00090,Thank later ok deal through.,Low,In Progress,2025-08-28
T00027,P0032,E00154,Exactly interview reality young west hour it.,Medium,Open,2024-10-07
T00028,P0035,E00100,Surface weight tough cultural six.,Low,Completed,2025-05-08
T00029,P0042,E00061,Born organization site remember serious.,Medium,Blocked,2025-01-05
T00030,P0023,E00141,Apply become condition majority.,Medium,In Progress,2024-10-10
T00031,P0050,E00095,Body them foreign hot with energy thing.,Low,Blocked,2025-03-17
T00032,P0006,E00127,Dark cultural door strong interview enjoy Democrat.,Low,Open,2025-01-19
T00033,P0044,E00030,Especially water month decision game watch.,Medium,In Progress,2025-08-23
T00034,P0016,E00059,Improve control level risk.,Low,Open,2025-08-05
T00035,P0013,E00048,Free series art be suffer record quite.,Medium,Blocked,2024-11-06
T00036,P0037,E00107,Outside dream responsibility two.,Medium,Blocked,2025-08-05
T00037,P0049,E00065,Body could left hair popular minute father.,Low,In Progress,2025-05-28
T00038,P0016,E00018,Training eat in may across.,Low,Completed,2025-08-25
T00039,P0006,E00153,Sing activity official serve physical send suddenly.,Medium,In Progress,2025-02-03
T00040,P0040,E00075,Stand environment many.,High,Completed,2025-09-12
T00041,P0011,E00037,Day Mrs population kid room mention cultural.,Medium,Blocked,2024-09-27
T00042,P0013,E00023,Military shoulder leg item tend.,Medium,Completed,2025-05-23
T00043,P0014,E00005,Test there per.,High,Open,2025-03-18
T00044,P0014,E00165,Around act brother later than media social.,High,Completed,2025-07-08
T00045,P0045,E00146,Early way into season for.,Low,In Progress,2025-05-10
T00046,P0005,E00092,Way yes thousand nearly probably.,Medium,Completed,2025-08-19
T00047,P0013,E00182,Democratic customer control personal leave thought job suddenly.,Medium,Blocked,2025-07-22
T00048,P0032,E00023,Interest person approach sea.,Low,Blocked,2024-11-21
T00049,P0020,E00108,Together parent our.,High,In Progress,2025-05-09
T00050,P0022,E00022,Cultural again outside through travel group.,High,Completed,2025-09-11
T00051,P0021,E00044,Enter about each key poor bring.,Low,In Progress,2025-01-31
T00052,P0014,E00036,Sound radio decade clear.,Medium,In Progress,2024-11-05
T00053,P0020,E00131,Participant Democrat next TV above factor customer professor.,High,Completed,2025-04-06
T00054,P0047,E00048,Serve realize his.,High,Blocked,2025-04-01
T00055,P0049,E00157,Feeling themselves site allow.,High,In Progress,2024-12-19
T00056,P0046,E00066,Travel get most remember.,High,Blocked,2024-12-12
T00057,P0023,E00113,Grow series magazine language daughter specific wait.,Medium,Completed,2024-11-18
T00058,P0036,E00062,Point force money bit teach movie.,High,In Progress,2025-03-20
T00059,P0023,E00046,Share that job ever capital.,Low,Blocked,2025-01-31
T00060,P0001,E00175,Mean continue gun position.,Medium,Completed,2025-06-01
T00061,P0001,E00111,Situation product bad town option during view.,Medium,Open,2024-11-08
T00062,P0010,E00051,Road system per suddenly energy maybe.,High,Open,2025-02-12
T00063,P0021,E00072,Address remember family never one boy.,Low,In Progress,2025-06-11
T00064,P0020,E00067,Say member carry effort imagine fact.,Medium,In Progress,2024-12-19
T00065,P0001,E00116,Ago usually include us get good.,Medium,Open,2025-06-06
T00066,P0007,E00103,Happy forward member teach meet.,Low,In Progress,2025-06-11
T00067,P0032,E00163,Land simply feel should.,Low,In Progress,2025-03-08
T00068,P0042,E00069,Value even off conference exist remain call.,High,Open,2025-03-31
T00069,P0017,E00027,Surface say speech eat.,Low,Completed,2025-04-30
T00070,P0009,E00098,Although management represent them throughout outside exist story.,High,Blocked,2025-04-20
T00071,P0013,E00106,Left enter rest throughout job car.,Medium,In Progress,2025-05-30
T00072,P0030,E00040,Small probably major child hair determine.,High,Open,2025-08-19
T00073,P0012,E00104,Since issue enjoy safe.,Medium,Completed,2024-10-01
T00074,P0019,E00052,Buy choice simply check challenge.,Medium,Blocked,2025-03-19
T00075,P0027,E00131,Culture artist executive happy both physical.,High,Blocked,2025-01-03
T00076,P0040,E00111,Trade PM any fund whether from drive.,Medium,Completed,2025-01-08
T00077,P0025,E00123,Performance from store type soon when.,High,In Progress,2025-02-26
T00078,P0025,E00153,What professional data some until low wife.,High,Blocked,2025-06-30
T00079,P0046,E00050,Meeting night site green account write.,Low,Open,2025-06-23
T00080,P0045,E00060,Air individual response family.,Low,In Progress,2024-10-23
T00081,P0009,E00125,Have form likely fly.,High,In Progress,2024-11-21
T00082,P0007,E00116,Responsibility lead discuss hospital himself animal visit race.,Low,In Progress,2024-12-21
T00083,P0042,E00107,Property inside model western.,High,Blocked,2025-08-13
T00084,P0008,E00155,National position agency because happy so necessary.,High,Blocked,2025-04-30
T00085,P0005,E00076,Blue subject community class.,High,Completed,2025-01-06
T00086,P0040,E00025,Particularly couple question.,High,Completed,2024-12-19
T00087,P0008,E00079,Wait item matter amount travel.,High,Blocked,2025-05-25
T00088,P0023,E00109,Myself player million want yes.,Low,Blocked,2024-10-16
T00089,P0048,E00011,Past month exist voice mind sell include.,Low,Completed,2025-03-08
T00090,P0038,E00084,Eat think thing source school myself.,High,In Progress,2025-01-11
T00091,P0026,E00008,Control control she itself.,Medium,In Progress,2025-03-18
T00092,P0011,E00129,Road including ever air.,Medium,Completed,2025-03-12
T00093,P0046,E00104,Create range coach manager star image kind.,Low,Completed,2025-07-08
T00094,P0050,E00022,Million raise near kitchen take evening.,Low,Blocked,2025-04-19
T00095,P0025,E00018,Hold knowledge because usually either.,High,Completed,2025-07-19
T00096,P0040,E00044,Work notice reflect economic special.,High,In Progress,2025-01-22
T00097,P0011,E00188,Idea president cultural evidence walk phone.,Medium,Blocked,2025-07-10
T00098,P0034,E00154,Serve suggest voice source environmental western home industry.,Low,Completed,2025-09-23
T00099,P0003,E00109,Ask today product Mrs style office so.,High,Open,2024-12-21
T00100,P0013,E00015,Window population entire nice case tough difficult debate.,High,In Progress,2025-03-20
T00101,P0019,E00189,Similar apply hit Republican data including turn.,High,Blocked,2025-06-09
T00102,P0048,E00187,White many each up skin foreign his.,High,Open,2025-07-13
T00103,P0006,E00048,Put last human standard trouble wonder.,Low,In Progress,2025-07-23
T00104,P0031,E00055,Maybe no able though front sure capital.,Low,In Progress,2025-02-15
T00105,P0015,E00136,Prepare end eight own Democrat increase difference.,High,Completed,2025-03-13
T00106,P0041,E00147,In effort its cover edge education.,Medium,Open,2024-10-09
T00107,P0045,E00176,Character wonder member kitchen lay.,Low,In Progress,2024-10-30
T00108,P0003,E00119,Case economic bar off occur month.,Low,In Progress,2025-05-27
T00109,P0013,E00012,Source impact physical.,Low,In Progress,2024-12-19
T00110,P0024,E00189,These natural anyone because enjoy could.,High,In Progress,2024-11-30
T00111,P0015,E00058,Remember may upon together.,High,Completed,2025-02-21
T00112,P0005,E00028,Control majority opportunity respond single.,High,Open,2024-11-10
T00113,P0016,E00161,Nature ability American word song.,High,Blocked,2025-05-07
T00114,P0049,E00190,Say make although character.,Medium,In Progress,2025-05-02
T00115,P0035,E00170,Environment learn stuff sing truth oil short.,Medium,In Progress,2025-02-03
T00116,P0029,E00142,Again suggest list reflect goal per believe both.,Medium,Blocked,2025-01-08
T00117,P0029,E00137,Tough mean create fine test physical.,Low,In Progress,2025-03-18
T00118,P0026,E00002,But always baby other check threat.,High,Completed,2024-11-14
T00119,P0012,E00034,Near lay fund very statement book.,High,Blocked,2025-09-24
T00120,P0049,E00105,Whom choice exist bar call.,Medium,Open,2025-01-05
T00121,P0020,E00066,Conference interesting goal task.,High,Completed,2024-11-27
T00122,P0033,E00097,I toward whose fund against.,Medium,Blocked,2025-06-30
T00123,P0018,E00051,Law forward change lead catch.,Low,Blocked,2024-10-13
T00124,P0010,E00006,If through section century right.,Medium,Open,2024-11-04
T00125,P0020,E00174,Threat green security.,High,Completed,2025-07-29
T00126,P0037,E00158,Near among often five whatever significant.,High,Open,2025-09-14
T00127,P0038,E00130,Recently before him thank.,High,Blocked,2025-05-01
T00128,P0010,E00013,Will half somebody off.,Low,Open,2024-12-17
T00129,P0005,E00054,Admit ten evening example old.,Low,Open,2025-01-18
T00130,P0034,E00070,That industry list argue.,Low,In Progress,2025-03-04
T00131,P0038,E00031,Could team relationship dinner challenge.,Medium,Open,2024-11-27
T00132,P0038,E00181,Include month free up former.,High,Open,2024-11-03
T00133,P0049,E00020,Central alone attention.,High,Blocked,2025-07-04
T00134,P0038,E00106,Follow fight mean single.,Low,In Progress,2024-10-30
T00135,P0002,E00161,Determine expect simple rich difference indicate shake according.,Medium,Open,2025-03-19
T00136,P0030,E00193,Record cover red apply officer music.,Medium,Completed,2025-01-05
T00137,P0004,E00073,Side enjoy late large policy chair.,Medium,In Progress,2025-07-08
T00138,P0011,E00113,Stock section kid.,Low,In Progress,2024-11-03
T00139,P0037,E00143,Game record performance necessary.,High,Open,2025-05-30
T00140,P0010,E00181,Television turn physical not likely.,High,Completed,2025-03-07
T00141,P0042,E00068,Hear more law painting heart great behind.,Low,Blocked,2025-09-07
T00142,P0006,E00173,Whose similar dream shake attorney.,Medium,In Progress,2024-10-14
T00143,P0044,E00105,Return throughout operation similar paper nature.,Low,Completed,2024-12-23
T00144,P0004,E00134,Maintain deep threat explain.,High,Completed,2025-03-25
T00145,P0008,E00168,Own staff reveal amount go response picture.,High,Blocked,2025-08-29
T00146,P0015,E00034,Stock without free dark subject level.,Low,Open,2025-05-25
T00147,P0013,E00126,Ten according end conference activity Mrs.,Low,Completed,2025-05-19
T00148,P0031,E00183,Chair walk consumer book product civil.,High,Completed,2024-10-03
T00149,P0005,E00010,Within store price skin.,Low,Blocked,2025-07-20
T00150,P0027,E00041,Building job team after.,Low,Blocked,2024-11-06
T00151,P0047,E00086,Though small job about power operation such about.,High,Completed,2025-04-15
T00152,P0008,E00184,Any their yes matter image collection agency.,Medium,In Progress,2025-08-30
T00153,P0024,E00137,Left statement surface size be provide less.,Low,Completed,2025-06-06
T00154,P0006,E00111,Can where black from positive significant outside.,Low,Completed,2025-02-17
T00155,P0032,E00133,Agreement make dark fish organization hospital.,Low,Open,2025-07-13
T00156,P0027,E00073,Wrong stage chance government.,Medium,Blocked,2025-07-19
T00157,P0027,E00129,Wife happy drive until.,Medium,Blocked,2025-07-26
T00158,P0007,E00049,Someone room site particular goal any ground.,Low,Open,2025-02-26
T00159,P0007,E00199,These reveal indeed list guy.,Low,In Progress,2024-11-07
T00160,P0039,E00167,Room majority market meeting.,Low,Completed,2025-09-04
