call_id,customer_id,call_type,duration_min,date,cell_tower_id
2d4089f6-9587-4233-9f10-f585bdb7a67b,C01151,voice,27.59,2024-10-12,T181
66da686e-7749-4652-9108-5f9b943bf952,C09075,voice,22.13,2024-12-24,T029
d53ada3a-58e0-42e1-9767-1ce37247ac8a,C00216,data,29.75,2025-02-04,T147
db0e2ab7-9f71-471a-b15c-ce9dc74fc417,C04816,SMS,25.57,2025-01-11,T130
af327d99-ae16-4b39-9a8b-a9f93b732be8,C04988,SMS,6.97,2025-05-01,T063
61cfd670-fada-476f-a208-9fccd9fc9a1d,C06126,SMS,15.37,2025-03-06,T152
2a0cb98c-6678-4e9c-9772-ae541797c917,C03214,voice,58.01,2025-07-18,T113
229daba1-2dcf-43a1-95d5-5fa633ec98df,C01184,SMS,29.92,2025-09-19,T139
c36ec876-f8e5-4ab6-ba23-2517d231cae3,C05831,voice,3.66,2025-04-17,T013
930ca76a-e27f-41f3-9cc2-3c0d2ab9228d,C01616,voice,22.61,2025-05-21,T197
95b8b74b-a338-4893-b9f0-c7b5894fb7de,C04884,SMS,24.28,2024-12-07,T017
af433de4-a438-4f87-bdee-0ddfa899a9f9,C02035,data,29.44,2025-07-23,T060
3feeb5ed-c589-43ef-9b38-3e5157087023,C05615,data,40.45,2025-09-20,T117
7a6c2d92-2190-4d33-a27e-6d51743c9ec3,C08534,data,16.45,2025-02-01,T027
c796ae02-13e9-48fe-b776-f8131949a415,C07985,SMS,26.12,2025-08-08,T070
611a0c4b-bda6-443a-8527-d84053bc74aa,C03868,voice,14.84,2024-11-16,T125
f9a6dbf2-1288-40b6-b8c7-2a0c05f2a517,C08253,SMS,59.97,2024-12-09,T152
407d6000-e981-4ad2-9260-f03b863a6d6e,C05612,voice,39.5,2025-03-18,T161
8dcbd116-ab6d-4bdf-b971-87bd7746da0d,C01655,SMS,58.59,2025-01-25,T178
71a86e49-0d42-4b49-a275-71a0a2f315aa,C04584,data,20.04,2025-04-27,T127
9d7c00db-3f01-4396-987b-4c64e8adcc89,C07050,voice,39.89,2024-12-11,T093
f3238574-2f49-42a6-9a6d-d02215b218fa,C07872,data,38.62,2024-12-13,T146
6812ea07-d2a9-4df5-8cbd-e3896871df7a,C06707,SMS,45.1,2025-06-05,T025
52ffee78-8b0f-4e1a-9149-c1bfa593cf53,C06883,voice,46.85,2024-10-12,T126
b069960a-74cd-4258-a629-523992c8d3c9,C01079,data,33.97,2024-11-20,T190
f4a1ab35-65b2-475e-8192-1939dd77dbdc,C00053,voice,34.48,2025-06-29,T130
01612c06-4ebf-4b31-b5e8-8c9544078f44,C02089,voice,38.13,2025-06-12,T197
3943cc7f-0421-4fb8-b544-e56f5edce00b,C00707,data,4.98,2025-03-18,T099
