purchase_id,customer_id,product_id,payment_type,installments_total,remaining_amount,status,purchase_date
5e09a9ee-af88-4dec-bb1e-143b196f4dfa,C00462,73,Full,1,0.0,Pending,2024-10-27
0f8035f5-5bd2-4c98-a513-5ea0fa53e34d,C00206,8,Full,1,0.0,Pending,2024-07-12
f2f25eef-1f45-4bfd-b7dc-67e030974b2b,C00266,53,Installment,12,228.08,Failed,2025-06-05
364c911a-a9ab-464a-9777-e8cb74685b98,C00112,82,Full,1,0.0,Pending,2025-01-06
0cf2b69b-0577-4ea9-b899-924698de8ebb,C00301,11,Installment,3,525.72,Completed,2025-04-22
c9776598-203c-4c25-bd23-5def3e5a87e3,C00066,44,Full,1,0.0,Failed,2024-11-10
8de08fc2-c3e1-4a85-946e-f10411906f50,C00241,62,Installment,12,47.91,Pending,2024-02-23
3ba5cd2f-dea4-4c19-9024-3d723748967f,C00010,8,Installment,2,403.02,Failed,2024-05-22
989240ac-e689-43a9-89e4-8e8c25c61c45,C00597,6,Full,1,0.0,Pending,2023-09-27
fcce96f6-250a-4578-bbe9-4499dbc080fd,C00535,1,Installment,11,131.55,Failed,2023-12-29
1c24220e-2cab-47e7-8c6b-66e5402adf9c,C00986,98,Installment,9,7.66,Completed,2025-01-20
5bb5c40c-03cd-42e3-a1bd-db4106998731,C00776,44,Installment,7,291.56,Completed,2025-04-24
040a3aae-52e2-4fd9-96bf-10ab3ce915e7,C00699,44,Installment,5,408.18,Completed,2024-01-30
6bc4123e-bde1-4c1b-a073-3f6d0d6a05b3,C00682,52,Installment,11,225.37,Pending,2024-10-13
72c22a16-79eb-4168-9045-56e5bee3eb79,C00999,46,Installment,3,85.48,Pending,2025-04-15
73b6a09b-1bea-46ac-97fa-7f0483639007,C00468,90,Installment,4,740.8,Pending,2024-09-27
ba2c98ce-0b19-488e-9d77-a45ef206c269,C00617,16,Installment,5,118.7,Completed,2025-04-19
4d37a539-857d-43b3-a8ad-df36ddf275eb,C00463,80,Installment,10,158.83,Completed,2024-08-24
ffa361be-0f92-40e1-87f9-7d05f6ca6b8b,C00677,25,Full,1,0.0,Failed,2024-09-09
1ba362e7-afa4-45e5-ad20-449666d06371,C00981,42,Full,1,0.0,Failed,2024-09-17
e63658c9-12d0-498d-b18d-4d05e8e22743,C00369,6,Installment,12,220.49,Completed,2023-11-23
204e178c-10d0-4d11-a5f9-34bf9bb96155,C00240,78,Installment,8,296.45,Failed,2024-04-13
b64fa54a-8c61-4654-95da-75c1a21150f9,C00628,11,Installment,8,197.14,Completed,2024-05-19
4b7e6b3c-87d2-42a6-98ee-ac2bfe9fecaa,C00675,90,Full,1,0.0,Failed,2024-08-21
cb08587d-1963-426d-ae21-8b099afd4015,C00395,38,Full,1,0.0,Failed,2025-02-19
e0b15aba-a6a2-4967-a79b-44b6da509fed,C00147,67,Full,1,0.0,Pending,2025-04-09
6e191042-370b-4063-9d90-e79eb888f6ed,C00510,12,Installment,12,244.23,Failed,2024-08-20
d3d1bf0f-56c4-48e4-a9ef-afb13a7e8e14,C00896,60,Full,1,0.0,Completed,2024-08-21
50032b35-1857-4baf-bac7-e2b96a7e4c36,C00978,15,Installment,12,118.86,Failed,2024-08-01
f41ea3ac-5fd2-4109-8140-752caa448259,C00247,32,Full,1,0.0,Pending,2024-01-14
175a81ec-112f-4612-b969-9ed2ec48bf55,C00772,85,Full,1,0.0,Pending,2025-05-25
be9d61ee-18b8-4245-ae8f-75a117dded81,C00446,92,Full,1,0.0,Pending,2025-03-18
0f5ae9d3-8e6e-4003-a14f-3f12cfd01cbd,C00952,42,Installment,6,318.0,Pending,2024-11-26
ab85fd59-5463-4dc7-8fca-7b6a8fc42092,C00737,33,Installment,12,28.36,Pending,2023-12-23
f0ede303-aa53-419c-9fa4-bb9f5a856750,C00682,18,Installment,3,211.19,Failed,2025-03-26
0d2b91ef-b897-4ec5-aa74-bb18de3b496f,C00341,29,Full,1,0.0,Failed,2025-09-01
1a85910d-5a05-4c11-8ffc-a6b199b479d4,C00352,49,Installment,12,235.04,Failed,2024-11-20
7b70c3b8-a81f-4ec3-a79c-658a36760ce5,C00804,72,Installment,5,589.04,Pending,2024-03-06
8e676a01-d86a-4460-99a1-120e1bb43332,C00266,15,Installment,3,475.43,Pending,2024-06-19
39e58ff0-92f8-47d4-8750-3f1dc33a1f6c,C00092,44,Full,1,0.0,Failed,2025-05-07
c4767556-f97b-42dd-8f9b-72aed85c16bd,C00965,15,Installment,4,356.57,Completed,2025-05-15
8e867f3c-a487-4eab-accb-461a9d132363,C00977,49,Full,1,0.0,Completed,2023-10-14
b18753e6-d457-4ad9-a867-a096edd877c8,C00064,76,Full,1,0.0,Completed,2024-04-07
c32d4526-b3e4-410a-85f5-0c522e2fbf77,C00434,41,Installment,12,77.83,Pending,2024-05-07
2e709838-0190-4620-99dc-abd056febfb9,C00533,85,Full,1,0.0,Pending,2025-06-21
11d059b2-6699-4d99-a847-bce790fa6b57,C00405,2,Installment,7,191.95,Pending,2024-01-06
177d6e7e-07d9-44ce-b8c8-8faea2178f84,C00836,38,Full,1,0.0,Completed,2025-03-23
74222167-6b7a-4460-a04e-46cb3712f2d1,C00697,59,Full,1,0.0,Failed,2024-05-31
530ac1c7-b8ba-4368-8fc7-77685ebbcca5,C00291,19,Full,1,0.0,Failed,2025-04-14
e222b6a6-15bf-4e97-98a2-1f1c914dcfae,C00328,40,Full,1,0.0,Completed,2023-11-02
0cbd3c03-9e2a-44ac-8122-b5b3284c03d2,C00869,91,Installment,12,51.91,Pending,2025-01-29
6c8c3b6a-a974-4079-b16f-da0a45a88829,C00507,38,Installment,2,1272.56,Completed,2024-09-14
372f871a-45ee-432d-aa07-f2137129cec7,C00157,92,Full,1,0.0,Failed,2025-03-29
1c6345ab-6e0e-41e8-985d-3f861d2324e6,C00957,29,Full,1,0.0,Pending,2024-04-19
86e52753-7c93-46cc-97d7-a560adb14670,C00878,63,Installment,6,323.5,Failed,2025-01-24
